requirement_id,title,design_source,implementation_files,unit_test,integration_test,gui_e2e,evidence,verdict,limitation,human_gate
REQ-S5-001,Complete sample preset,02;03;04,bridgeStructure/sampleInputs.ts;BridgeStructureInputPanel.tsx,simpleSingleSpanSample.test.ts;step5p6p7IntegrationCloseout.test.ts,step5p6p7IntegrationCloseout (apply+generate solids),PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,UNVERIFIED placeholder dims (CAT-S5-*),none_for_presence
REQ-S5-002,Editable preset,04;08,sampleInputs;GuidedModeShell;panels,guidedMode.test.tsx;simpleSingleSpanSample,same SoR draft mutations,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,confirm re-apply UX GUI pending,none
REQ-S5-003,Sample to 3D pipeline,04;16,sampleInputs.applyAndGenerate*;generateBsdd;visualization,simpleSingleSpanSample;step5p6p7,THREED via viz model builder,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,not formal design,NOT_GRANTED retained
REQ-S5-004,Pavement input+solids,09;18;19,pavementModel;pavementGeometry;pavementMarkingSolids;PavementMarkingInputPanel;pavementQuantity,step5p3PavementMarkings.test.ts,qty UNVERIFIED_DEVELOPMENT_ONLY,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,ownership vs LINER unbound until 4-E,none
REQ-S5-005,Road markings on pavement,10;19,pavementModel;pavementMarkingSolids;apolloStlExport,step5p3;step5p6p7 exportable=false,STL exclude default,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,viz-only DEC-S5-0004,none
REQ-S5-006,Guided Mode G01-G15,05;06;07,guided/slides.ts;GuidedModeShell.tsx;chrome.ts,guidedMode.test.tsx;step5p6p7 P7,15 slides adjacent nav unit,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,keyboard/a11y/mobile GUI pending,none
REQ-S5-007,Guided+Detail same SoR,08,GuidedModeShell detail escape;workflow navigation,guidedMode.test.tsx detail escape,no second store in code review,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,full GUI round-trip pending,none
REQ-S5-008,3D audit/traceability,11;15,component_source docs;bridgeStructureSolids assumptions,step5_1 audit docs;assumption codes,P4 adds DEC assumption codes only,PENDING_AUDIT_C,docs+code,PASS_WITH_LIMITATIONS,corrections limited; topology not re-derived,ER-001 for topology lock
REQ-S5-009,Cross beam vs cross frame identity,12,bridgeStructureSolids displayLabel dual JP/EN; BSDD kinds unchanged,step5p4p5TopologyLAngle.test.ts;bridgeStructureVisualization (label filter fix),label identity PASS; attachment formula unchanged,PENDING_AUDIT_C,code+diff#348,PASS_LABEL_ONLY,USER_CONCERN position NOT corrected in P4,ER-001 PENDING_ENGINEERING_REVIEW
REQ-S5-010,Lateral L-angle,13,lateralAngleTypes/Model;bridgeStructureSolids;ApolloVisualizationRenderer,step5p4p5;step5p6p7 sectionType=1,two-plate L approx (not polygon extrude),PENDING_AUDIT_C,code+vitest,PASS_WITH_LIMITATIONS,orientation pending ER-002; CAT-S5-LAT-UNVERIFIED,ER-002
REQ-S5-011,Haunch sample path,14,sampleInputs haunchConfiguration;appurtenanceHaunchSolids;Step4C,simpleSingleSpanSample;step5p6p7 haunch solid,STL via exportable haunch,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,TRAPEZOID display avg-width box (Step4C limit),none new
REQ-S5-012,Curb/wall railing sample path,14,sampleInputs appurtenances;appurtenanceHaunchSolids,simpleSingleSpanSample;step5p6p7 appurtenance solid,STL path inherited Step4C,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,dims UNVERIFIED catalog,none
REQ-S5-013,Structural placement traceability,15,localFrame on solids;assumption codes;BSDD entity ids,step5p4p5;viz ID stability tests,IDs stable across regen,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,datum formal lock deferred,none
REQ-S5-014,Safety labels on samples,01;02;04,sampleInputs disclaimer constants;UI labels,step5p6p7 E2E-S5-007 markers,disclaimer text contains NOT_GRANTED/PROHIBITED,PENDING_AUDIT_C,code+vitest,PASS_AUTOMATED,must remain on GUI,none
