feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-1-001,project_management,工事名フォルダ,データ保存先,Phase1_required,設計データの保存フォルダを決定,工事名,文字列,NONE,NONE,NONE,NONE,NONE,NONE,新規作成時に工事名を入力しフォルダを自動生成,MAN-021 2-2-2 ②,C:\y-Design-Bridge\工事名,NONE,NONE,NONE,NONE,MAN-021,MAN-021,10,2-2-2 ②,新規作成ダイアログ,NONE,NONE,NONE,Evidence,「データはここで入力した工事名のフォルダの中に作成されます（既定ではC:\y-Design-Bridge\工事名といフォルダになります）」,NONE,NONE,NONE,NONE,extracted
F4-1-002,project_management,新規作成,橋梁設計の新規開始,Phase1_required,新規に橋梁設計を開始する,桁形式,選択,NONE,NONE,NONE,NONE,NONE,NONE,新規作成ボタンから桁形式を選択してOK,MAN-021 2-2-2 ①; MAN-002 1.2,NONE,NONE,NONE,NONE,NONE,MAN-021; MAN-002,MAN-021,10; 4,2-2-2 ①; 1.2,構造形式選択ダイアログ,NONE,NONE,NONE,Evidence,MAN-021「新規作成ボタンの後 構造形式の選択画面」; MAN-002「新規に橋梁を設計する場合は新規作成を選択」,NONE,NONE,NONE,NONE,extracted
F4-1-003,project_management,既存データ選択,設計データの再開,Phase1_required,既存の設計データ(.mdb)から設計を再開する,設計データファイル,ファイル選択,NONE,NONE,NONE,NONE,NONE,NONE,既存データ選択ボタンから.mdbファイルを選択,MAN-002 1.3,NONE,NONE,NONE,NONE,NONE,MAN-002,MAN-002,6,1.3,既存データ選択ダイアログ,NONE,NONE,NONE,Evidence,「設計データ（Mdbファイル：橋梁名称橋梁名称.mdb）を選択して下さい」,NONE,NONE,NONE,NONE,extracted
F4-1-004,alignment_import,線形データ取込,既存線形データの読込み,Phase1_required,既に終了したAlign線形計算データを取り込む,線形データファイル(.alg),ファイル選択,NONE,NONE,NONE,NONE,NONE,NONE,線形計算実行選択画面の「既存の線形データ」を選択し.algを選択,MAN-021 2-2-2 ④,NONE,NONE,NONE,NONE,NONE,MAN-021,MAN-021,12,2-2-2 ④,線形計算実行選択画面,NONE,NONE,NONE,Evidence,「中段は既に別途Align線形計算が終了していてそのデータを取り込むことを示しています」「該当する線形データ（拡張子.alg）を選択して下さい」,NONE,NONE,NONE,NONE,extracted
F4-1-005,longitudinal_alignment,縦断線定義,構造部材への線形割り当て,Phase1_required,縦断線を構造部材に定義する,縦断線データ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,線形計算結果を確認し横断線をデータセット,MAN-021 2-2-2 ⑤,NONE,NONE,NONE,NONE,NONE,MAN-021,MAN-021,13,2-2-2 ⑤,線形線構造部材定義画面,NONE,NONE,NONE,Evidence,「縦断線はAlign線形計算で定義済みなので確認をして下さい」,NONE,NONE,NONE,NONE,extracted
F4-1-006,cross_section_lines,横断線定義,横桁・対傾構のデータセット,Phase1_required,横断線に部材をデータセットする,横断線データ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,縦断線確認後、横断線に横桁・対傾構等の部材をセット,MAN-021 2-2-2 ⑤,NONE,NONE,NONE,NONE,NONE,MAN-021,MAN-021,13,2-2-2 ⑤,線形線構造部材定義画面,NONE,NONE,NONE,Evidence,「横断線は横桁対傾構などの部材をデータセットして下さい」,NONE,NONE,NONE,NONE,extracted
F4-1-007,unit_system,単位系選択,SI単位系と重力単位系,Phase1_required,設計計算の単位系を選択する,単位系,選択,NONE,NONE,NONE,SI単位系/重力単位系,NONE,NONE,設計条件オプションにて選択,MAN-021 4-2-1,NONE,NONE,NONE,NONE,NONE,MAN-021,MAN-021,27,4-2-1,NONE,NONE,NONE,NONE,Evidence,「従来単位系とSI単位系は設計条件オプションにて選択します」「単位系SI単位系重力単位系」,NONE,NONE,NONE,NONE,extracted
F4-1-008,unit_system,単位系自動変換なし,切替時の入力変換不可,Phase1_required,単位系切替時に荷重等の入力データが自動変換されないことを明記,単位系切替,フラグ,NONE,NONE,NONE,NONE,なし,NONE,単位系を切り替えると荷重等の入力データの自動変換機能なし,MAN-021 4-2-1,NONE,NONE,NONE,NONE,NONE,MAN-021,MAN-021,27,4-2-1,NONE,NONE,NONE,NONE,Evidence,「単位系を切り替えることによる荷重などの入力データの自動変換機能はありません」,NONE,NONE,NONE,NONE,extracted
F4-1-009,unit_system,ハンチ単位伝播,他プログラムへの単位伝播,Phase1_required,ハンチ計算で指定した単位系が他プログラムに伝播する,ハンチ計算の単位設定,NONE,NONE,NONE,NONE,NONE,あり,NONE,自動設計時にハンチ計算で単位を指定すると他プログラムに伝播,MAN-021 4-2-1,NONE,NONE,NONE,NONE,NONE,MAN-021,MAN-021,27,4-2-1,NONE,NONE,NONE,NONE,Evidence,「自動設計時にはハンチ計算にて指定すれば他プログラムは全て選択された単位系となります」,NONE,NONE,NONE,NONE,extracted
F4-1-010,unit_system,単体プログラム単位設定,単体使用時の設計条件選択,Phase1_optional,単体プログラムとして使用する場合に各プログラムの設計条件で単位を選択,設計条件の単位設定,選択,NONE,NONE,NONE,NONE,NONE,NONE,単体プログラム使用時は各プログラムの設計条件で選択,MAN-021 4-2-1,NONE,NONE,NONE,NONE,NONE,MAN-021,MAN-021,27,4-2-1,NONE,NONE,NONE,NONE,Evidence,「単体プログラムとして使用する場合は各プログラムの設計条件で選択します」,NONE,NONE,NONE,NONE,extracted
