entity_id,name,ownership,lifecycle,required_phase1,source,versioning,immutable_mutable,notes
ENT-APO-0001,EngineeringProject,Shared manifest (reference only),DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,optional,schemas/contracts/v0.1/engineering-project.schema.json,schemaVersion + revisionId,revision_immutable,Reference container; does not copy domain payloads
ENT-APO-0002,BridgeSuperstructureDesignDocument,Apollo Superstructure Design,DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW (schema_draft.json),schemaVersion + revisionId + contentChecksum,revision_immutable,Apollo SoR candidate per ADR-APO-001; not operational
ENT-APO-0003,Project,Apollo Superstructure Design (context block),DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW,embedded in BSDD revision,mutable_within_revision,User label and metadata; documentId is identity root
ENT-APO-0004,Bridge,Apollo Superstructure Design,DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW; maps BridgeDefinition,embedded in BSDD,mutable_until_APPROVED,Phase1: straight/90deg skew/simple span only
ENT-APO-0005,Span,Apollo Superstructure Design,DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW; maps BridgeDefinitionSpan,cardinality 1 in Phase1,mutable_until_APPROVED,ASM-P1-001 single span
ENT-APO-0006,GirderLine,Apollo Superstructure Design,DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW; maps BridgeDefinitionGirder,stable girderLineId,mutable_until_APPROVED,Equal-depth plate girders; 4-6 typical
ENT-APO-0007,Deck,Apollo Superstructure Design,DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW; maps BridgeDefinitionDeck,stable deckId,mutable_until_APPROVED,Non-composite RC slab only; composite deferred
ENT-APO-0008,MaterialDefinition,Apollo Superstructure Design (governance-gated),DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required_shell,PLANNING_NEW; handoff ENT-CAND-0006,stable materialId,mutable_until_ADOPTED,Numerics null until ADOPTED; BLK-S1-001
ENT-APO-0009,LoadCase,Apollo Superstructure Design,DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW; handoff ENT-CAND-0008; ProjectModel.loadCases,stable loadCaseId,mutable_until_APPROVED,dead/slab/live kinds Phase1
ENT-APO-0010,Load,Apollo Superstructure Design,DRAFT|VALIDATED|APPROVED|SUPERSEDED|ARCHIVED,required,PLANNING_NEW; handoff ENT-CAND-0009,stable loadId,mutable_until_ADOPTED,magnitude null until governance unblock
