element_id,pdf_page_number,printed_page_number,chapter_id,section_id,element_type,title_raw,source_locator,extraction_status,confidence,notes
CAL-P00842-CAL-SEC-3.7-001,842,837,CAL-CH3,CAL-SEC-3.7,section_header,3.7 疲労設計,calc_pdf_p842,TEXT_EXTRACTED,HIGH,Fatigue design section title
CAL-P00843-CAL-SEC-3.7.1-001,843,838,CAL-CH3,CAL-SEC-3.7.1,subsection_header,3.7.1 主桁の疲労設計,calc_pdf_p843,TEXT_EXTRACTED,HIGH,Main girder fatigue design
CAL-P00843-CAL-SEC-3.7.1-002,843,838,CAL-CH3,CAL-SEC-3.7.1,figure,疲労照査フローチャート,calc_pdf_p843,TEXT_EXTRACTED,HIGH,Fatigue check flowchart
CAL-P00844-CAL-SEC-3.7.1-001,844,839,CAL-CH3,CAL-SEC-3.7.1,figure,疲労照査荷重位置図 8010mm幅 100kN輪荷重,calc_pdf_p844,TEXT_EXTRACTED,MEDIUM,Fatigue load position diagram
CAL-P00845-CAL-SEC-3.7.1-001,845,840,CAL-CH3,CAL-SEC-3.7.1,subsection_header,3.7.1.2 疲労照査必要性判定,calc_pdf_p845,TEXT_EXTRACTED,HIGH,Necessity determination
CAL-P00845-CAL-SEC-3.7.1-002,845,840,CAL-CH3,CAL-SEC-3.7.1,text_block,3径間連続非合成鈑桁橋 等級D-G SM520/SM490Y/SM400 支間40.020m ADTTSLi=379台 照査必要 道示II表8.2.1,calc_pdf_p845,TEXT_EXTRACTED,HIGH,3-span continuous non-composite D-G grades ADTT=379
CAL-P00845-CAL-SEC-3.7.1-003,845,840,CAL-CH3,CAL-SEC-3.7.1,text_block,設計供用100年 F荷重200kN if=10/(50+L) gammaF=gammaF1*gammaF2*gammaF3*gammaa gammaF1=3.0 gammaa=0.8,calc_pdf_p845,TEXT_EXTRACTED,HIGH,100yr life F=200kN gammaF=3.0
CAL-P00846-CAL-SEC-3.7.1-001,846,841,CAL-CH3,CAL-SEC-3.7.1,text_block,gammaF2=(LogLB1+1.50)/3.0 2/3<=gammaF2<=1.00 gammaF3=1.00(正負交番しない場合表8.2.2) gammaa=0.8(多主桁橋),calc_pdf_p846,TEXT_EXTRACTED,HIGH,Correction factors gammaF2/3/a
CAL-P00847-CAL-SEC-3.7.1-001,847,842,CAL-CH3,CAL-SEC-3.7.1,text_block,要素中間点断面力補間:直線1/2/3交点から補間点=交点2+(交点1-交点2)*Lx/L,calc_pdf_p847,TEXT_EXTRACTED,HIGH,Element midpoint interpolation method
CAL-P00848-CAL-SEC-3.7.1-001,848,843,CAL-CH3,CAL-SEC-3.7.1,table,照査位置11箇所:上FLG+垂直補剛E/上FLG+スタッドE/下FLG+垂直補剛E/腹板上FLG D/腹板下FLG D/腹板上+垂直補剛E/腹板下+垂直補剛E/水平補剛上G/水平補剛下G/腹板+横桁上FLG G/腹板+横桁下FLG G,calc_pdf_p848,TEXT_EXTRACTED,MEDIUM,11 check points grades D/E/G
