feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-2-001,slab_thickness,床版厚の指定,NONE,Phase1_required,床版厚の指定,床版厚,NONE,NONE,NONE,全入力で各横断・桁毎に指定可能だが設計計算では考慮不可,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-004,4,NONE,2.1,NONE,NONE,NONE,Evidence,床版厚を指定して下さい。全入力にて各横断・桁毎の床版厚が指定出来ますが、設計計算では考慮出来ませんので、別途荷重調整等が必要となります。,NONE,NONE,NONE,NONE,extracted
F4-2-002,haunch,ハンチ高の設定,NONE,Phase1_required,ハンチ高の設定,ハンチ高（入力条件・計算条件）,NONE,NONE,NONE,各桁すべて設定が必要,NONE,NONE,NONE,NONE,NONE,計算結果表示,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),alignment/design_data,design_data/main_girder,MAN-004,4,NONE,2.2,NONE,NONE,NONE,Evidence,入力条件および計算条件を入力後「計算実行 >>」ボタンをクリックして下さい。右側に結果が表示されますので、問題ない場合は「次へ＞＞」ボタンをクリックし、各桁すべての設定を行って下さい。,NONE,入力条件・計算条件の具体項目名は画面キャプチャに依存、本文明記なし,NONE,NONE,extracted
F4-2-003,haunch,単位系指定,NONE,Phase1_required,単位系指定,単位重量,NONE,NONE,NONE,ハンチ重量計算用に指定,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),alignment/design_data,design_data/main_girder,MAN-004,5,NONE,3.1,NONE,NONE,NONE,Evidence,ハンチ重量計算用の単位重量等を指定して、「次へ＞＞」ボタンをクリックして下さい。,NONE,単位系の選択肢は本文未記載,NONE,NONE,extracted
F4-2-004,haunch_geometry,ハンチ形状の設定,NONE,Phase1_required,ハンチ形状の設定,"ハンチ幅, テーパー",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),alignment/design_data,design_data/main_girder,MAN-004,5,NONE,3.2,NONE,NONE,NONE,Evidence,ハンチ計算用のハンチ幅およびテーパー等を入力し、「ＯＫ」ボタンをクリックして下さい。,NONE,テーパーの具体的パラメータは本文未記載,NONE,NONE,extracted
F4-2-005,haunch_calculation,ハンチ計算結果の設計情報への反映,NONE,Phase1_required,ハンチ計算結果の設計情報への反映,上書き条件,NONE,NONE,NONE,ハンチ更新時は上書き推奨,NONE,NONE,NONE,NONE,NONE,設計情報へのハンチ結果上書き,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),alignment/design_data,design_data/main_girder,MAN-004,6,NONE,4,NONE,NONE,NONE,Evidence,再計算されたハンチ結果を設計情報に上書きする確認ダイアログが表示されますので、条件を設定して下さい。（ハンチが更新された場合は、上書きを推奨致します）,NONE,NONE,NONE,NONE,extracted
F4-2-006,rc_slab,床版照査位置決定,NONE,Phase1_required,床版照査位置決定,床版照査位置,NONE,NONE,NONE,初回は手動指定、以降は前回指定横断で計算,NONE,初回以降は前回指定横断で自動起動,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,4,NONE,2.1(1),NONE,NONE,NONE,Evidence,初回は以下の床版リンク画面が表示されます。必要に応じて床版照査位置を決定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-2-007,rc_slab,かぶり量の指定,NONE,Phase1_required,かぶり量の指定,かぶり量,NONE,NONE,NONE,基本条件 > 計算条件タグで指定,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,5,NONE,2.1(2),NONE,NONE,NONE,Evidence,「基本条件」ボタン「計算条件」タグにて、かぶり量の指定が可能です。,NONE,NONE,NONE,NONE,extracted
F4-2-008,rc_slab,配力筋照査の出力方法,NONE,Phase1_required,配力筋照査の出力方法,配力筋照査の出力方法,NONE,NONE,NONE,デフォルト=応力最大箇所のみ出力、選択肢=全計算点の結果を出力,NONE,NONE,NONE,NONE,NONE,配力筋照査結果,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,6,NONE,2.1(3),NONE,NONE,NONE,Evidence,配力筋照査の出力方法が、デフォルトでは◎計算点から応力最大箇所のみ出力となっていますので、◎全計算点の結果を出力を選択して下さい。,NONE,NONE,NONE,NONE,extracted
F4-2-009,haunch,フランジ厚およびハンチ内鉄筋の指定,NONE,Phase1_required,フランジ厚およびハンチ内鉄筋の指定,"フランジ厚, ハンチ内鉄筋",NONE,NONE,NONE,横断形状 > ハンチ高・フランジ厚タグで指定,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),alignment/design_data,design_data/main_girder,MAN-006,6,NONE,2.1(4),NONE,NONE,NONE,Evidence,「横断形状」ボタン「ハンチ高・フランジ厚」タグにて、指定されておりますので、再度確認下さい。,NONE,NONE,NONE,NONE,extracted
F4-2-010,slab_load_input,床版設計荷重指定,NONE,Phase1_required,床版設計荷重指定,"その他荷重, 片持部水平荷重",NONE,NONE,NONE,床版設計時のみに限定、桁設計用荷重は変更不可,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,7,NONE,2.1(5),NONE,NONE,NONE,Evidence,「荷重」ボタン「その他荷重」および「片持部水平荷重」にて、床版設計時のみに考慮する荷重が指定出来ます。（「荷重」タグの荷重については、桁設計にも使用される荷重ですので、変更は出来ません）,NONE,NONE,NONE,NONE,extracted
F4-2-011,slab_reinforcement_input,主鉄筋および配力鉄筋の指定,NONE,Phase1_required,主鉄筋および配力鉄筋の指定,"主鉄筋断面, 配力鉄筋断面, 配力鉄筋計算時床版厚",NONE,NONE,NONE,断面指定モードで指定可能,NONE,NONE,NONE,NONE,NONE,応力度計算結果,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,8,NONE,2.1(6),NONE,NONE,NONE,Evidence,メイン画面にて、断面指定および床版厚を指定にする事により、主鉄筋および配力鉄筋断面および配力鉄筋計算時床版厚が指定可能です。指定後、「計算実行」ボタンをクリックする事により、応力度計算結果が更新されます。,NONE,NONE,NONE,NONE,extracted
F4-2-012,rc_slab,計算書出力,NONE,Phase1_required,計算書出力,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,床版設計計算書,床版設計計算書,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,9,NONE,2.1(7),NONE,NONE,NONE,Evidence,「計算＆出力」―「計算書＆詳細計算書の作成」にて、床版設計計算書を出力出来ます。,NONE,NONE,NONE,NONE,extracted
F4-2-013,slab_result_output,支点補強筋 計算書出力（国土交通省形式）,NONE,Phase1_required,支点補強筋 計算書出力（国土交通省形式）,NONE,NONE,NONE,NONE,設計基準=道路公団以外,NONE,NONE,NONE,NONE,NONE,鋼道路橋設計便覧方法 計算書（死荷重曲げ変局点）,鋼道路橋設計便覧方法 計算書（死荷重曲げ変局点）,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,10,NONE,3.1,NONE,NONE,NONE,Evidence,設計基準が道路公団以外の場合、以下のダイヤログが表示され、「計算書出力」により、鋼道路橋設計便覧方法（死荷重曲げ変局点を算出）の計算書を出力します。,NONE,NONE,NONE,NONE,extracted
F4-2-014,slab_result_output,支点補強筋 計算書出力（道路公団形式）,NONE,Phase1_required,支点補強筋 計算書出力（道路公団形式）,NONE,NONE,NONE,NONE,設計基準=道路公団,NONE,NONE,NONE,NONE,NONE,道路公団旧第二集方法 計算書（抵抗曲げ）,道路公団旧第二集方法 計算書（抵抗曲げ）,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,10,NONE,3.2,NONE,NONE,NONE,Evidence,設計基準が道路公団の場合、以下のダイヤログが表示され、「計算書出力」により、道路公団 旧第二集方法（抵抗曲げにより抵抗位置を算出）の計算書を出力します。,NONE,NONE,NONE,NONE,extracted
F4-2-015,slab_reinforcement_input,支点補強筋 鉄筋径および本数の指定,NONE,Phase1_required,支点補強筋 鉄筋径および本数の指定,"鉄筋径, 本数",NONE,NONE,NONE,鉄筋入力方法=指定(表入力)選択時のみ指定可能,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Slab standalone vs auto-design difference: UNKNOWN (Part2 notes),haunch/unit_system,report/design_data,MAN-006,10,NONE,3.2,NONE,NONE,NONE,Evidence,鉄筋径および本数を指定する場合は、「鉄筋入力方法」‑ ◎指定(表入力) を選択し、「ＯＫ」をクリック後、メイン画面の鉄筋径および本数が指定可能となりますので、ご指摘下さい。,NONE,NONE,NONE,NONE,extracted
