candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
AN-039,ENT-GIRDER-AG1,analysis,member_force.bracket_M,member_force,-308.9,kNm,-308.9,kN·m,NOR-012,"AR-013,CAL-VAL-P00769-001",calc_pdf_p769,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Bracket design moment M. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-040,ENT-GIRDER-AG1,analysis,member_force.bracket_S,member_force,288.0,kN,288.0,kN,NOR-003,"AR-014,CAL-VAL-P00769-002",calc_pdf_p769,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Bracket design shear S. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-041,ENT-GIRDER-AG1,analysis,member_force.lateral_bracing_Wd,member_force,18853.5,kN,18853.5,kN,NOR-003,"AR-015,CAL-VAL-P00791-002",calc_pdf_p791,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Lateral bracing Wd L2. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-042,ENT-GIRDER-AG1,analysis,member_force.lateral_bracing_Nmax,member_force,1294.90,kN,1294.90,kN,NOR-003,"AR-016,CAL-VAL-P00792-001",calc_pdf_p792,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Lateral bracing max axial force Nmax D-10096. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-043,ENT-GIRDER-AG1,analysis,member_force.composite_Md1,member_force,0.0,kNm,0.0,kN·m,NOR-012,"AR-021,CAL-VAL-P01319-006",calc_pdf_p1319,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Pre-composite DL moment Md1 AG1 Sec-1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-044,ENT-GIRDER-AG1,analysis,member_force.composite_S_pre,member_force,663.1,kN,663.1,kN,NOR-003,"AR-022,CAL-VAL-P01319-007",calc_pdf_p1319,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Pre-composite DL shear S AG1 Sec-1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-045,ENT-GIRDER-AG1,analysis,member_force.composite_S_post,member_force,922.1,kN,922.1,kN,NOR-003,"AR-023,CAL-VAL-P01319-011",calc_pdf_p1319,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Post-composite LL shear S AG1 Sec-1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-046,ENT-GIRDER-AG1,analysis,member_force.AG1_Sec3_M_dead,member_force,6673.7,kNm,6673.7,kN·m,NOR-012,SRC-calculation_chapter_03_section_3_2_tables-032,calc_pdf_p350,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Dead load moment AG1 Sec-3 (Mx-Max). Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-047,ENT-GIRDER-AG1,analysis,member_force.AG1_Sec5_M_dead,member_force,-9070.3,kNm,-9070.3,kN·m,NOR-012,SRC-calculation_chapter_03_section_3_2_tables-033,calc_pdf_p351,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Dead load moment AG1 Sec-5 (J-5). Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-048,ENT-GIRDER-AG1,analysis,member_force.AG1_Sec6_M_dead,member_force,-13747.9,kNm,-13747.9,kN·m,NOR-012,SRC-calculation_chapter_03_section_3_2_tables-034,calc_pdf_p352,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Dead load moment AG1 Sec-6 (Mx-Min support). Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
