code,display,severity,emit_value,emit_placeholder,emitted_in_chapters,when_used,semantic,phase4_rule,basis
AVAILABLE,(value),info,yes,no,CP-01..CP-07(CP-05..non-null dims)+CP-09..CP-12(non-null)+CP-18(CP-19 complete)+CP-20+CP-21+CP-23+CP-25(value fields),input geometry/counts/lengths present,non-numeric verified input,emit value+display; never ADOPTED for continuous numerics,reportModel.ts:184-188;chapter_matrix CP-05
PARTIALLY_AVAILABLE,partially present,warn,yes (partial),yes,CP-13 summary,simple section dims present but context partial,partial continuous coverage,emit NOT_AVAILABLE sub-rows for absent parts,reportModel.ts:206-216;U-03
NOT_IMPLEMENTED,NOT_IMPLEMENTED,warn,no,yes,CP-08+CP-15+CP-16+CP-30..CP-34(O-28 camber)+CP-13 CONTINUOUS placeholder+CP-17(none),feature not built,structural absence,emit placeholder only; never numeric,reportModel.ts:238-253;08_gap_analysis.md §4;O-28
NOT_AUTHORIZED,NOT_AUTHORIZED,high,no,yes,CP-12(adoption)+CP-13(SIMPLE only)+CP-22+CP-34+CP-23(H items)+CP-20(human conf),numeric gate rejected / DS-09 cell,numeric design value present but gate rejected,emit NOT_AUTHORIZED not value-as-authorized; never ADOPTED,08_numeric_authorization_gate.md;DS-09;reportModel.ts:175-177;BridgeStructureInputPanel.tsx:256
PROHIBITED,PROHIBITED,high,no,no,CP-08+CP-15+CP-16+CP-30..CP-34+CP-14(detail numerics)+CP-34,policy forbids emission,pOLICY forbids outputting this class,ABSENT from payload; status placeholder only never value,chapter_matrix forbidden;output_permission_matrix PROHIBITED;O-19..O-30
STALE,STALE,warn,yes(preserved),yes,CP-03+CP-05+CP-07+CP-09..CP-14+CP-17+CP-18+CP-19+CP-21+CP-22+CP-23+CP-25,generation drift from input,STALE = input newer than generation,emit STALE badge + last value; reject export,reportModel.ts:96;generateBsdd.ts:558-561
INVALID,INVALID,error,no,yes,CP-19(persistence issues)+CP-34(invalid binding),schema/type/data error,invalid data,fail-closed; emit INVALID+reason; never AVAILABLE,validateBridgeStructureInputDraft;persist issues;reportModel.ts:118
MISSING,MISSING,warn,no,yes,CP-13(incomplete dims)+CP-05(incomplete)+CP-12(null unit weight)+CP-14(no loadCases)+CP-18(no solids)+CP-25(no date),required input null,required input absent,emit NOT_AVAILABLE + reason; never 0-fill,reportModel.ts:85-93(no zero-fill);reportModel.ts:357
LEGACY_DATA,LEGACY_DATA,warn,no,yes,CP-03(schemaVersion)+CP-21(legacy sidecar)+CP-25(legacy revision),v1.0.0 / old shape,legacy data preserved+tagged,tag UNKNOWN/LEGACY_DATA; forward-fill defaults only,generateBsdd.ts:553;sidecar default-fill
HUMAN_CONFIRMATION_REQUIRED,HUMAN_CONFIRMATION_REQUIRED,high,no,yes,CP-23(H items),H-01..H-03 status,human decision pending,all H-01..H-03 now RESOLVED (Phase 2.5); emit RESOLVED,reportModel.ts:259-261(CP-23)
CONFLICTING_EVIDENCE,CONFLICTING_EVIDENCE,high,no,yes,CP-23(review),contradictory source evidence,reconcile needed,Phase 2.5 resolved all conflicts; emit RESOLVED,07_warning_and_status_message_spec.md NA-CONFLICT
NOT_APPLICABLE,NOT_APPLICABLE,info,no,yes,CP-14(CP-24) + O-28(camber)+CP-13(non-section context),item irrelevant,not applicable,emit NOT_AVAILABLE/NOT_IMPLEMENTED with reason,reportModel.ts:238(note);O-18/O-28
PROHIBITED_CP_08,PROHIBITED,high,no,no,CP-08,curve/skew out of scope,POLICY forbids,ABSENT; NOT_IMPLEMENTED placeholder only,artifactBundle.ts:235-239;H-03 ADOPTED
PROHIBITED_CP_30_34,PROHIBITED,high,no,no,CP-30..CP-34,numeric results forbidden,POLICY forbids,ABSENT; NOT_AVAILABLE only,reportModel.ts:238,243,248,253;U-01;O-19..O-30
