case_id,case_name,pipeline,command,input_paths,output_paths,output_sha256,expected_outcome,observed_outcome,exit_code,case_acceptance,provenance,evidence_label
DR-01,synthetic_analyzer_process,EA-01,/usr/bin/python3 -c print('synthetic-analyzer-ok'),<ephemeral_scratch>/dr01/runs/0000000000000000000000000000000000000000000000000000000000000000/inputs/fixture_input.txt,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-01/case_record.json,9c7f43b0406901a3c386e6148c1709a0cd1a3b4cd123648a0d043a8d1b995cb7,valid_bundle_exit_0,valid=True;exit=0,0,PASS,evidence_core.create_run_workspace+capture_process_result+validate_evidence_bundle,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-02,deterministic,EA-01,/usr/bin/python3 -c print('deterministic'),,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-02/case_record.json,f72edb1782ab5255baba7ac655e838d5b3ab76a2c2a7369fa19519b1a0781c70,deterministic,deterministic,0,PASS,evidence_core.compare_repeated_runs,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-03,nondeterministic,EA-01,/usr/bin/python3 -c print('a') vs /usr/bin/python3 -c print('b'),,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-03/case_record.json,4da8bb17ba2e81fa5053ceef368ca67be2bbf1812fb9ca0fc66d2bb2b2b58a1c,nondeterministic,nondeterministic,0,PASS,evidence_core.compare_repeated_runs,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-04,nonzero,EA-01,/usr/bin/python3 -c import sys; sys.exit(7),,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-04/case_record.json,1f85806efe1844707972bfbfc6a9aecb480c3f4480d6aa707acd3271c5067e5a,nonzero_exit,exit=7,7,PASS,evidence_core.capture_process_result,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-05,timeout,EA-01,/usr/bin/python3 -c import time; time.sleep(5) (timeout=0.2),,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-05/case_record.json,828ccdff217e212ed56a1fccc0c3a146ca16e40a38999d8a181daf6e4ded64f4,timeout_cancelled_exit_124,cancelled=True;reason=timeout,124,PASS,evidence_core.capture_process_result timeout path,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-06,stale_output,EA-01,evidence_core.detect_stale_outputs,<ephemeral_scratch>/dr06/input.txt,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-06/case_record.json,13c1ad4fb843db223369ccb9bc06c5b1a3ac61f68210ab492b1f7605b1e2810e,stale_detected_true,stale_detected=True,0,PASS,evidence_core.detect_stale_outputs,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-07,malformed_manifest,EA-01,evidence_core.validate_evidence_bundle,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-07/case_record.json,66482e9e44858faf4111df44ea5f7eae4360d5b9676813942671fc3c59192a8a,validation_rejected,rejected,0,PASS,evidence_core.validate_evidence_bundle fail-closed,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-08,analytical_golden_compare,EA-02,independent_analytical_review.regenerate_independent_index+compare_actual_bundle,docs/apollo/evidence-collection/02_analytical_golden/independent_review_expected.csv;docs/apollo/evidence-collection/02_analytical_golden/tolerance_freeze_register.csv,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-08/case_record.json,51eebdbd0b77061dfb73520c179a73c0b38118ce6c04b7dd775c5ac933be7bdd,overall_PASS,PASS,0,PASS,analytical_golden_core.compare_actual_bundle,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-09,synthetic_spacer_normalization,EA-04,parity_core.normalize_raw_results side=spacer,docs/apollo/evidence-collection/04_parity_harness/tolerance_freeze_register.csv,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-09/case_record.json,ffa12557060b0e5214fd848f6f3c47694103f41a35dcdd0092db68a74a36564f,normalization_success,rows=7,0,PASS,parity_core.normalize_raw_results,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-10,synthetic_apollo_normalization,EA-04,parity_core.normalize_raw_results side=apollo,docs/apollo/evidence-collection/04_parity_harness/tolerance_freeze_register.csv,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-10/case_record.json,07196e80ccc8a51394dec9a6c09209ef3db0292c70420f9005442c7b87ddeb62,normalization_success,rows=7,0,PASS,parity_core.normalize_raw_results,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
