chapter_id,chapter_name_en,chapter_name_ja,classification,required_optional_forbidden,summary_ok,detail_ok,current_output,data_source,value_kind,numeric_or_nonnumeric,authorization_status,empty_data_behavior,stale_behavior,not_authorized_behavior,future_expansion,basis
CP-01,COVER,表紙,A,required,yes,yes,PRODUCIBLE,project.project.id/name,none,non-numeric,NOT_GRANTED,n/a,n/a,n/a,n/a,reportModel.ts:163-168
CP-02,SCOPE,目的・適用篲,A,required,yes,yes,PRODUCIBLE,02_report_purpose_and_classification.md,none,non-numeric,NOT_GRANTED,n/a,n/a,n/a,Phase2-B,02_report_purpose_and_classification.md
CP-03,METADATA,出力日時・バージョン,A,required,yes,yes,PRODUCIBLE,reportId/generatedAt/schemaVersion/inputChecksum/resultChecksum,none,non-numeric,NOT_GRANTED,n/a,n/a,n/a,n/a,reportModel.ts:163-168+301-306
CP-04,PROJECT,工事情報,B,required,yes,yes,PRODUCIBLE,project.project.id/name,none,non-numeric,NOT_GRANTED,n/a,n/a,n/a,n/a,reportModel.ts:163-164
CP-05,BRIDGE_SUMMARY,橋梁概要,B,required,yes,yes,PRODUCIBLE,draft.bridgeLength/width/girderCount/girderSpacing/girderDepth,none,non-numeric,NOT_GRANTED,n/a,n/a,n/a,n/a,reportModel.ts:184-188
CP-06,BRIDGE_SYSTEM,橋梁形式,B,required,yes,yes,PRODUCIBLE,draft.bridgeSystem + BSDD.phase1ScopeAssertion.spanSystem,none,non-numeric,NOT_GRANTED,n/a,n/a,n/a,n/a,reportModel.ts:175 + generateBsdd.ts:467
CP-07,SPANS,径間構成,B,required,yes,yes,PRODUCIBLE,draft.spans/supports + BridgeLayoutSpan/Support roles,none,non-numeric,NOT_AUTHORIZED,n/a,n/a,FORBIDDEN if invalid layout,CP-08 curve/skew,reportModel.ts:184-188 + layoutValidation.ts:234-251
CP-08,ALIGNMENT,線形条件,A,forbidden,no,no,NOT_IMPLEMENTED,draft.alignment(curve/skew not modeled),none,non-numeric,NOT_AUTHORIZED,always NOT_AVAILABLE,always NOT_AVAILABLE,always NOT_AVAILABLE,curve/skew supported with DEC-PHA,artifactBundle.ts:235-239 (unsupportedScope)
CP-09,GIRDERS,主桁配置,B,required,yes,yes,PRODUCIBLE,draft.girderCount/spacing/depth + SDM mainGirders,none,non-numeric,NOT_AUTHORIZED,n/a,n/a,n/a,n/a,reportModel.ts:186-187 + generateBsdd.ts
CP-10,SUPPORTS,支点・橋脚・橋台,B,required,yes,yes,PRODUCIBLE,draft.supports (role/station/fixity),none,non-numeric,NOT_AUTHORIZED,n/a,n/a,n/a,n/a,reportModel.ts:184-188 + generateBsdd.ts:116-124
