capability,existing_file,existing_symbol,current_consumer,input_model,output_model,current_tests,status,candidate_canonical,duplicate_group,action,risk,notes
template_domain,frontend/src/liner/schema/types.ts,CrossSectionTemplateDraft / CrossSectionOffsetLineDraft,section editor; grid,domain draft,,KEEP_AS_CANONICAL,,,KEEP_AS_CANONICAL,low,centerline基準・右正offset列
cross_clope_domain,frontend/src/liner/schema/types.ts,CrossSlopeIntervalDraft / CrossSlopeDraft,section editor; grid,station-scoped slope input,,,KEEP_AS_CANONICAL,,,KEEP_AS_CANONICAL,low,mode: flat / one_way_left / one_way_right / crown / independent
width_change_domain,frontend/src/liner/schema/types.ts,WidthChangePointDraft,grid; measurement,,left/right non-negative independent,,KEEP_AS_CANONICAL,,,KEEP_AS_CANONICAL,low,
width_resolution,frontend/src/liner/core/width/widthResolution.ts,resolveWidthAtDistance / resolveStationOffsetLines,coordinate3d / grid / hoso / haunch,widthChangePoints,ResolvedWidthExtents,widthResolution.test.ts,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,low,piecewise-constant (hold); no interpolation default
width_scale,frontend/src/liner/core/width/widthResolution.ts,applyWidthExtentsToOffsetLines,coordinate3d / grid,,offset lines scaled,,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,low,left/right ratio scaling of template lines
crossfall_resolution,frontend/src/liner/core/grid/crossfallResolution.ts,resolveCrossfallState / resolveCrossfallOffset,coordinate3d / grid / pipeline / hoso,intervals/legacy,ResolvedCrossfallState,crossfallResolution.test.ts,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,low,dz = -(slope%/100)*(offset-pivot); pivot change disallowed
crossfall_flat,frontend/src/liner/core/grid/crossfallResolution.ts,buildFlatState,all,,,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,low,
crossfall_z_legacy,frontend/src/liner/core/crossSectionZMerge.ts,applyCrossSlope,crossSectionMerge / golden,slope+offset,dz,crossSectionGolden.test.ts,IMPLEMENTED_PARTIAL,YES,crossfall-delz,WRAP,medium,same formula without pivot; consolidate into canonical helper
cmerge_z,frontend/src/liner/core/crossSectionZMerge.ts,mergeCrossSectionZ,dosdoseCrossSectionGolden,z,IMPLEMENTED_PARTIAL,YES,,WRAP,medium,z = centerZ + templateElev + crossfallDelta
offset_point,frontend/src/liner/core/vector.ts,offsetPoint,coordinate3d / grid,-,Vec2,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,low,XY = point + normal(azimuth)*offset; normal=(-sin,cos)
local_normal,frontend/src/liner/core/vector.ts,angleToNormal / localFrameFromAzimuth,coordinate3d / pipeline,-,Vec3 /LocalFrame,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,low,
section_xyz_3d,frontend/src/liner/core/coordinate3d.ts,pointAtStationOffset,grid / pipeline / roadReport,-,PointAtStationOffsetValue,coordinate3d.test.ts,IMPLEMENTED_PARTIAL,YES,,KEEP_AS_CANONICAL,medium,z = profileElev + templateElev + crossfallOffset; primary XYZ gen
section_at_station,frontend/src/liner/core/coordinate3d.ts,crossSectionAtStation,pipeline / drawing,station,CrossSectionAtStationValue,coordinate3d.test.ts,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,low,
grid_xyz,frontend/src/liner/core/grid/gridGeneration.ts,GridElementSweep / generateGrid,roadReport / csv,CROSS_SECTION_SWEEP grid test,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,medium,gridPoints full expansion (station x offset)
vertical_profile,frontend/src/liner/core/elevationAt.ts,elevationAt (grade / parabolic),crossSectionAt / verticalSampling,-,z,verticalGolden.test.ts,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,medium,existing vertical evaluator; use adapter, do not re-create
section_slice,frontend/src/liner/core/pipeline/pipeline.ts,buildSectionResult,pipeline / hoso / haunch / ldist,CPConfig,SectionSliceResult,pipeline tests,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,medium,leftEdge / rightEdge generation
line_offset_map,frontend/src/liner/core/ldist/sectionLineIntersection.ts,buildLineOffsetMap,hoso / haunch / ldist,crossSections,line to offset map,,IMPLEMENTED_VERIFIED,YES,,KEEP_AS_CANONICAL,medium,lineId to offset mapping
superelevation_input,frontend/src/liner/importer/section-editor/SuperelevationEditor.tsx,n/a (editor only),-,-,-,--,SPEC_ONLY,none,backend superelevation.py stub,WRAP,low,crossSlope scalar editor; consume value, no design rule
backend_lane_width,backend/rule_engine/rules/lane_width.py,LaneWidthRule (X2-R-004),rule engine,road_class,lane_width(m),backend tests,IMPLEMENTED_VERIFIED,no,,KEEP_AS_CANONICAL,low,only real table rule (width judge)
backend_cross_slope_rule,backend/rule_engine/rules/cross_slope.py,CROSS_SLOPERule (X2-R-013),rule engine,-,-,stub,SPEC_ONLY,-,,WRAP,low,always OK; no value consumption
backend_width_stub_rules,backend/rule_engine/rules/median.py shoulder.py,MEDIANRule / SHOULDER_WIDTHRule,rule engine,-,-,stub,SPEC_ONLY,-,,WRAP,low,
elevation_source_backend,backend/rule_engine/geometry/*,(no vertical evaluator),-,-,-,ABSENT,-,,DEFER,medium,backend has no vertical profile; center_elevation stays explicit input
backend_cross_section_module,backend/rule_engine/crosssection/*,(new in P01-P05),rule engine / road-bridge,n/a,n/a,n/a,ABSENT,YES,IMPLEMENT_MINIMAL,high,new backend Cross Section Generator
