element_id,pdf_page_number,printed_page_number,chapter_id,section_id,element_type,title_raw,source_locator,extraction_status,confidence,notes
FM-PE-001,1,,front_matter,,cover_title,令和3年度 道路改良工事の内橋梁詳細設計業務（知-5）,calc_pdf_p1,EXTRACTION_COMPLETE,HIGH,Cover page header text
FM-PE-002,1,,front_matter,,cover_title,第18編 上部工設計計算書 (ランプ橋),calc_pdf_p1,EXTRACTION_COMPLETE,HIGH,Calculation book title
FM-PE-003,1,,front_matter,,cover_date,令和5年3月,calc_pdf_p1,EXTRACTION_COMPLETE,HIGH,Issue date
FM-PE-004,1,,front_matter,,cover_org,愛知県知多建設事務所,calc_pdf_p1,EXTRACTION_COMPLETE,HIGH,Issuing organization
FM-PE-005,2,,front_matter,,cover_title,金沢IC Aランプ橋,calc_pdf_p2,EXTRACTION_COMPLETE,HIGH,Bridge name on title page
FM-PE-006,2,,front_matter,,cover_subtitle,3径間連続鈑桁橋,calc_pdf_p2,EXTRACTION_COMPLETE,HIGH,Bridge type subtitle
FM-PE-007,2,,front_matter,,cover_subtitle,上部工設計計算書,calc_pdf_p2,EXTRACTION_COMPLETE,HIGH,Document subtitle
FM-PE-008,3,,front_matter,,toc_header,目次,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,Table of contents heading page 1
FM-PE-009,3,,front_matter,,toc_entry,第1章 設計条件 --- 1,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry ch1
FM-PE-010,3,,front_matter,,toc_entry,1.1 設計条件 --- 2,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec1.1
FM-PE-011,3,,front_matter,,toc_entry,1.2 上部工構造一般図 --- 3,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec1.2
FM-PE-012,3,,front_matter,,toc_entry,1.3 基本寸法一覧 --- 5,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec1.3
FM-PE-013,3,,front_matter,,toc_entry,第2章 合成床版の設計 --- 11,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry ch2
FM-PE-014,3,,front_matter,,toc_entry,2.1 一般部 --- 12,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec2.1
FM-PE-015,3,,front_matter,,toc_entry,2.2 桁端部 --- 65,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec2.2
FM-PE-016,3,,front_matter,,toc_entry,第3章 非合成桁の設計 --- 110,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry ch3
FM-PE-017,3,,front_matter,,toc_entry,3.1 主構断面力の計算 --- 111,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec3.1
FM-PE-018,3,,front_matter,,toc_entry,3.2 主桁の設計 --- 286,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec3.2
FM-PE-019,3,,front_matter,,toc_entry,3.3 横桁の設計 --- 670,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec3.3
FM-PE-020,3,,front_matter,,toc_entry,3.4 端部ブラケットの設計 --- 760,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec3.4
FM-PE-021,3,,front_matter,,toc_entry,3.5 横構の設計 --- 783,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec3.5
FM-PE-022,3,,front_matter,,toc_entry,3.6 巻き立てコンクリートの設計 --- 812,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec3.6
FM-PE-023,3,,front_matter,,toc_entry,3.7 疲労設計 --- 837,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry sec3.7
FM-PE-024,3,,front_matter,,toc_entry,第4章 合成桁の設計 --- 866,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry ch4
FM-PE-025,3,,front_matter,,toc_entry,第5章 付属物の設計 --- 2021,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC entry ch5
FM-PE-026,3,,front_matter,,toc_note,END --- 2221,calc_pdf_p3,EXTRACTION_COMPLETE,HIGH,TOC final page indicator
