golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-RPT-0001,report,report.chapter.front_matter,ENT-LINE-ACL,表紙・目次,,,,text,"FM-PE-001,FM-PE-002,FM-PE-008",RP-001,calc_pdf_p1,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,"Calculation book front matter (cover pages 1-2, TOC page 3)."
G-RPT-0002,report,report.chapter.CH1-PE-001,ENT-LINE-ACL,第1章 設計条件,,,,text,CH1-PE-001,RP-005,calc_pdf_p6,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation chapter heading.
G-RPT-0003,report,report.chapter.CH2-PE-001,ENT-LINE-ACL,第2章 合成床版の設計,,,,text,CH2-PE-001,RP-154,calc_pdf_p16,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation chapter heading.
G-RPT-0004,report,report.chapter.CAL-P00115-CAL-SEC-3.1-001,ENT-LINE-ACL,第3章 非合成桁の設計,,,,text,CAL-P00115-CAL-SEC-3.1-001,RP-295,calc_pdf_p115,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation chapter heading.
G-RPT-0005,report,report.chapter.CAL-P00871-CAL-SEC-ch4-001,ENT-LINE-ACL,第4章 合成桁の設計,,,,text,CAL-P00871-CAL-SEC-ch4-001,RP-1041,calc_pdf_p871,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation chapter heading.
G-RPT-0006,report,report.chapter.CH5-PE-001,ENT-LINE-ACL,第5章 付属物の設計,,,,text,CH5-PE-001,RP-1404,calc_pdf_p2026,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation chapter heading.
G-RPT-0007,report,report.section.CH1-PE-002,ENT-LINE-ACL,1.1 設計条件,,,,text,CH1-PE-002,RP-007,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation section heading (type section_title).
G-RPT-0008,report,report.section.CH1-PE-032,ENT-LINE-ACL,1.2 上部工構造一般図,,,,text,CH1-PE-032,RP-038,calc_pdf_p8,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation section heading (type section_title).
G-RPT-0009,report,report.section.CH1-PE-036,ENT-LINE-ACL,1.3 基本寸法一覧,,,,text,CH1-PE-036,RP-043,calc_pdf_p10,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation section heading (type section_title).
G-RPT-0010,report,report.section.CH1-PE-037,ENT-LINE-ACL,主桁支間長,,,,text,CH1-PE-037,RP-045,calc_pdf_p10,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation section heading (type subsection_title).
G-RPT-0011,report,report.section.CH1-PE-038,ENT-LINE-ACL,主桁格間長,,,,text,CH1-PE-038,RP-047,calc_pdf_p10,,CALCULATION,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,report Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Calculation section heading (type subsection_title).
