blocker_id,affected_stage,affected_area,missing_evidence,exact_required_artifact,acquisition_method,required_tool,required_license,acceptance_criteria,numeric_implementation_impact,owner,status,ea_enablement_reference,ea_status_note
BLK-S1-001,DS-01,Target-standard metadata facets,Official titles colophons publication metadata versions publisher and volume identity,Licensed per-volume title and colophon manifest with checksums and DS-01 evidence locators,Human-read authorized copies and cross-check official issuance metadata,PDF viewer evidence register and SHA-256 tool,Authorized R7 access,Every current facet has an exact identity edition locator checksum and recorded decision,BLOCKS_NUMERIC_RELEASE,Standards Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; licensed R7 capture BLOCKED,POST-EA-01 fixed five local PDF checksums only; official colophon/issuing-body/errata evidence still missing; resolved canonical blockers 0
BLK-S1-002,DS-02,JIS identities and editions,All 34 historical gap identities editions citation relations and equivalence decisions,Per-row primary JIS packages and supervisor decisions linked to JIS-001 through JIS-034,Licensed source acquisition plus human identity and edition review,JIS source access PDF viewer and SHA-256 tool,Authorized JIS access,Every applicable row has exact standard edition locator relation and decision,BLOCKS_NUMERIC_RELEASE,JIS Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; JIS primary source BLOCKED,POST-EA-01 local survey found no primary JIS packages; resolved canonical blockers 0
BLK-S1-003,DS-01,Supporting-manual edition map,R7 relationship of R2 steel and H31 bearing manuals and permitted topic scope,Publisher preface evidence and explicit Phase 1 citation-scope decision for each manual,Human-read authorized manual prefaces and record edition map,PDF viewer evidence register and SHA-256 tool,Authorized supporting-manual access,Every supporting manual has an edition relationship and approved limited role,BLOCKS_NUMERIC_RELEASE,Standards Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; supporting-manual capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
BLK-S1-004,DS-04/DS-05,Numeric adoption,Per-quantity source locators for loads factors equations and limits,Verified R7 clause/table package and adoption decision for every engineering quantity,Human visual source review then independent register transcription,Authorized standards source evidence register and checksum tools,Authorized R7 access,Every adopted engineering numeric has exact source locator unit applicability and decision,BLOCKS_NUMERIC_RELEASE,Supervisor,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; DS-04/05 numeric locators BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
BLK-S1-005,DS-03,Material property adoption,Resolved JIS product grade plus R7 reference chain for material values,Per-property primary-source manifest for MAT-DS03 rows,Clear JIS identities then human-review R7 material references,Authorized JIS/R7 source evidence register and checksum tools,Authorized R7 and JIS access,Each in-scope property has source locator edition unit applicability and decision,BLOCKS_NUMERIC_RELEASE,Material Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; DS-03 material sources BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
BLK-S1-006,DS-01 through DS-05,Traceability locators,Verified page table and clause locators for every adopted record,Human-verified locator manifest linked to each adopted register row,Review image-export pages manually without OCR-only promotion,PDF viewer evidence register and checksum tools,Authorized source access,Every adopted record resolves to exact edition page table or clause evidence,BLOCKS_NUMERIC_RELEASE,Standards Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; cross-register locators BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
BLK-S1-007,DS-01,Historical Apollo baseline,Decision on historical Apollo edition versus current target and traceability-label impact,Signed historical-baseline decision with supporting Apollo manual edition evidence,Supervisor workshop with frame team and lawful manual review,Document review facility and checksum tool,Authorized Apollo manual access if required,All historical labels have a documented non-normative relationship to the current target,BLOCKS_NUMERIC_RELEASE,Supervisor,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; supervisor decision BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
BLK-S1-008,DS-01 through DS-05,Image-export source quality,Human-verified locators for cited image-export pages,Per-citation visual review log or approved searchable replacement manifest,Manual page review and two-person locator confirmation,PDF viewer evidence register and checksum tools,Authorized source access,Every cited image page is visually verified and checksum-bound,BLOCKS_NUMERIC_RELEASE,Evidence Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; image-export locator review BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
BLK-S1-009,DS-00/DS-01,Evidence rights,Internal-use and redistribution rights for evidence extracts,Written receiving-organization compliance decision linked to package license terms,Legal and organizational compliance review,Compliance record facility,Organizational authority,Permitted storage access and redistribution scope is explicit for every retained extract,BLOCKS_EVIDENCE_DISTRIBUTION,Receiving Organization,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; organizational compliance BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
DTR-06,DS-01,R7 errata,Per-volume publisher or MLIT errata status and dated sheets,Official per-volume errata manifest linked to edition rows,Review official support pages and licensed publisher bulletins,Browser PDF viewer evidence register and checksum tools,Authorized R7 access,Every volume has current dated errata state checksum and application decision,BLOCKS_NUMERIC_RELEASE,Standards Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; R7 errata capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PKG-R7-V,DS-05,Verification provisions,Licensed clauses tables equation forms comparison rules and resistance factors,Per-row R7 verification evidence package for DS-05 registers,Human visual confirmation and independent transcription review,PDF viewer independent calculation and checksum tools,Authorized R7 access,Every released verification row has complete clause table equation factor and comparison trace,BLOCKS_NUMERIC_RELEASE,Verification Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; DS-05 verification packages BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PKG-DS03,DS-05,Adopted material inputs,Adopted material design values required by resistance checks,Closed DS-03 source packages linked to each DS-05 use,Acquire and approve BLK-S1-002 and BLK-S1-005 evidence then map rows,Authorized standards evidence and checksum tools,Authorized R7 and JIS access,Resistance calculations reference only adopted source-complete material rows,BLOCKS_NUMERIC_RELEASE,Material Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; DS-03 closure prerequisite BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PKG-DS04,DS-05,Adopted load inputs,Adopted models factors combinations and application order,Closed DS-04 source packages linked to each DS-05 use,Acquire BLK-S1-004 evidence and independently review factor ownership,Authorized standards evidence and checksum tools,Authorized R7 access,Load-side factors and combinations are source-complete and applied exactly once,BLOCKS_NUMERIC_RELEASE,Load Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; DS-04 closure prerequisite BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PKG-SCOPE-P1B,DS-05,Phase 1B scope,Formal member and design-check applicability decision resolving Step1 boundary conflict,Signed supervisor Phase 1B member/check table and decision ID,Review current scope artifacts without changing historical records,Document review and decision-signing facility,NOT_APPLICABLE,One unambiguous scope table governs every verification case,BLOCKS_NUMERIC_RELEASE,Supervisor,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-00 inventory; Phase 1B scope decision BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
BLK-S1-011,DS-00/DS-06,Analyzer physical I/O evidence,Canonical input/output formats field mappings acceptance probe and external build identity,DS-06 machine-evidence closure manifest mapping every AN-BLK-001 through AN-BLK-010 acceptance,Acquire authorized Analyzer documentation and supervised machine captures under DS-06 safe procedures,Selected Analyzer evidence register and checksum tools,Named valid entitlement,All ten AN blocker packages pass and the canonical Analyzer relationship version and format are fixed,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 harness; EA-03 run package; machine evidence BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PKG-DS06,DS-05/DS-06,Analyzer response mapping,Response unit sign coordinate I-J context and envelope mapping needed by verification,Accepted DS-06 machine bundle linked to DS-05 response quantities,Close BLK-S1-011 and AN-BLK-001 through AN-BLK-010 then independently map DS-05 rows,Selected Analyzer mapping independent calculation and checksum tools,Named valid entitlement,Every DS-05 response quantity maps without ambiguity and retains load-case context,BLOCKS_NUMERIC_RELEASE,Analyzer Mapping Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 harness; EA-03 run package; DS-06 closure BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-001,DS-06,Analyzer identity,Installed products modules processes versions builds relationships and checksums,Authorized identity bundle for Analyzer SPACER and STATICS,Apply DS-06 identity procedure on licensed machine,Vendor identity facility and SHA-256 tool,Named valid entitlement,Every identity and relationship is unique and checksum-bound,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,POST-EA-01 fixed only reference host metadata and manual checksum; no installed executable identity captured; resolved canonical blockers 0
AN-BLK-002,DS-06,Invocation and physical files,Command arguments environment working directory and complete physical file behavior,Minimal valid isolated run bundle with before-after manifest and all SHA-256 values,Run vendor-supported invocation on copied fixture,Selected executable/service and checksum tool,Named valid entitlement,Fresh parseable current-input-bound output and complete observables,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
