limit_state_id,requirement_id,member_type,failure_mode,design_situation,response_concept,resistance_concept,limit_concept,phase1_status,adoption_status,evidence_package,notes
LS-DS05-001,PR-DS05-001,main_girder,bending_failure_candidate,design_situation_unspecified,section_force_moment_from_analysis_pending_DS06,material_section_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B,Scope conflict unresolved — user formal DS-05 primary structure vs Step1 narrow boundary; ready_requirements.csv has no phase column. Response extraction DS-06 — analysis alone does not authorize check. design_situation taxonomy unresolved.
LS-DS05-002,PR-DS05-002,main_girder,shear_failure_candidate,design_situation_unspecified,shear_force_from_analysis_pending_DS06,shear_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B,Per LS-DS05-001 scope conflict policy.
LS-DS05-003,PR-DS05-003,main_girder,axial_failure_candidate,design_situation_unspecified,axial_force_from_analysis_pending_DS06,axial_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B,Per LS-DS05-001 scope conflict policy.
LS-DS05-004,PR-DS05-004,main_girder,combined_bending_axial_failure_candidate,design_situation_unspecified,combined_forces_from_analysis_pending_DS06,interaction_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B,Per LS-DS05-001 scope conflict policy.
LS-DS05-005,PR-DS05-005,main_girder,local_buckling_candidate,design_situation_unspecified,local_stress_resultant_pending_DS06,local_buckling_resistance_pending_R7_evidence,slenderness_limit_pending_R7_evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B,Limit concept blocked — no slenderness numeric at DS-05.
LS-DS05-006,PR-DS05-006,main_girder,global_buckling_candidate,design_situation_unspecified,compression_bending_resultant_pending_DS06,global_buckling_resistance_pending_R7_evidence,slenderness_limit_pending_R7_evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B,Per LS-DS05-001 scope conflict policy.
LS-DS05-007,PR-DS05-007,main_girder,lateral_torsional_buckling_candidate,design_situation_unspecified,lateral_torsional_response_pending_DS06,ltb_resistance_pending_R7_evidence,ltb_limit_pending_R7_evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B,Per LS-DS05-001 scope conflict policy.
LS-DS05-008,PR-DS05-008,main_girder,serviceability_excess_candidate,design_situation_unspecified,displacement_curvature_from_analysis_pending_DS06,serviceability_not_applicable_resistance_side,deflection_crack_width_limit_pending_R7_evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06; PKG-SCOPE-P1B,SLS limit on response side — resistance concept not applicable until evidenced comparison form.
LS-DS05-009,PR-DS05-009,cross_girder,bending_failure_candidate,design_situation_unspecified,section_force_moment_pending_DS06,bending_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B,Minimum candidate — Phase 1B inclusion blocked pending PKG-SCOPE-P1B.
LS-DS05-010,PR-DS05-010,cross_girder,shear_failure_candidate,design_situation_unspecified,shear_force_pending_DS06,shear_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B,Minimum candidate — blocked.
