trace_id,chain_label,entity_id,chain_steps,source_record_ids,candidate_ids,parity_status,confidence,notes
TR-4129,bridge_length,ENT-LINE-ACL,input(CH1-VAL-005)->candidate(GEO-001/INP)->drawing(DWG-DIM-S001-001)->adopted(AD),"CH1-VAL-005,DWG-DIM-S001-001,GEO-001","GEO-001,AD-037",BOTH,HIGH,134.001 m calc vs 134001 mm drawing.
TR-4130,girder_length_ag1,ENT-GIRDER-AG1,input(CH1-VAL-006)->drawing(DWG-DIM-S001-002)->adopted(AD),"CH1-VAL-006,DWG-DIM-S001-002",AD-038,BOTH,HIGH,133.151 m calc vs 133151 mm drawing.
TR-4131,span_lengths,ENT-LINE-ACL,input(CH1-VAL-007/008/009)->drawing(DWG-DIM-S001-003)->adopted(AD),"CH1-VAL-007,CH1-VAL-008,CH1-VAL-009,DWG-DIM-S001-003",AD-040,BOTH,HIGH,40.201/51.000/40.200 m vs 40201/51000/40200 mm.
TR-4132,deck_thickness,ENT-DECK,input(CH1-VAL-022)->geometry->drawing(DWG-DIM-S009-007)->adopted(AD),"CH1-VAL-022,DWG-DIM-S009-007",AD-047,BOTH,HIGH,230 mm in calc and drawing.
TR-4133,ag1_sec1_adopted_section,ENT-GIRDER-AG1,adopted(ADV-001..003)->section_property(DS)->stress/check->judgment OK,"ADV-001,ADV-002,ADV-003,SRC-calculation_chapter_03_section_3_2_values-029,SRC-calculation_chapter_03_section_3_2_values-030,SRC-calculation_chapter_03_section_3_2_values-031","DS-001,AD-001",CALC_ONLY,HIGH,AG1 Sec-1 UFLG PL620x22 / WEB PL2537x14 / LFLG PL680x21 (SM490Y).
TR-4134,ag1_sec6_combined_check,ENT-GIRDER-AG1,section dims->stress(DS)->kappa 1.10(DS)->limit 1.2->judgment OK->adopted Sec-6,"ADV-006,ADV-007,DC-006,SRC-calculation_chapter_03_section_3_2_values-052,SRC-calculation_chapter_03_section_3_2_values-053,SRC-calculation_chapter_03_section_3_2_values-054,SRC-calculation_chapter_03_section_3_2_values-055","DS-052,DS-194,AD-006",CALC_ONLY,HIGH,"Sec-6 stress 261/-224 N/mm2, tau 75, kappa 1.10 < 1.2 (governing)."
TR-4135,fatigue_no1,ENT-GIRDER-AG1,stress range 54(AR-018)->D=0.26(DC-007)->judgment OK,"AR-018,CAL-VAL-P00851-001,CAL-VAL-P00852-003,DC-007","DS-057,DS-196",CALC_ONLY,HIGH,Fatigue No.1 check chain complete.
TR-4136,bearing_pu15,ENT-SUPPORT-PU15,bearing design(CH5-VAL-016/024)->adopted(AD),"ADV-011,ADV-013,CH5-VAL-016,CH5-VAL-024","AD-022,AD-025",CALC_ONLY,HIGH,"PU15 rubber te=32mm x5, lead plug phi95mm x4."
TR-4137,stud_shear_connector,ENT-DECK,deck design(CH2-VAL-030)->adopted(AD),"ADV-008,CH2-VAL-030",AD-049,CALC_ONLY,HIGH,Composite-deck stud phi16x160 mm (deck stud; drawing sheet 39 studs phi22x200 are girder studs).
TR-4138,reaction_wd_bearing,ENT-LINE-ACL,load(LOAD-001..009)->analysis Wd(AR-008)->bearing load design,"LOAD-001,LOAD-002,LOAD-003,LOAD-004,LOAD-005,LOAD-006,LOAD-007,LOAD-008,LOAD-009,AR-008",AN-023,CALC_ONLY,HIGH,Total dead-load reaction Wd=17955.7 kN feeds bearing design.
TR-4139,lateral_bracing,ENT-BRACE-AL1,wind/seismic(AR-015/016)->formula trace->bracing Nmax 1294.90 kN,"AR-015,AR-016,CAL-VAL-P00791-002,CAL-VAL-P00792-001",DS-237,CALC_ONLY,MEDIUM,Lateral bracing chain (section 3.5); no explicit OK verdict extracted.
TR-4140,wrapping_concrete_s1,ENT-SUPPORT-PU15,section area(CAL-VAL-P00819-001)->Asreq->rebar count (partial),"CAL-VAL-P00819-001,CAL-VAL-P00819-004,CAL-VAL-P00819-006,CAL-FML-P00819-002",DS-240,CALC_ONLY,MEDIUM,Wrapping-concrete chain ends at rebar count; no OK verdict (HCR-002).
TR-4141,bracket,ENT-GIRDER-AG1,load P=100(CAL-VAL-P00767-003)->M/S(AR-013/014)->limits(DC-014/015),"CAL-VAL-P00767-003,AR-013,AR-014,DC-014,DC-015",DS-186,CALC_ONLY,MEDIUM,Bracket chain; stress checks in section 3.4 tables not individually registered.
