alias_feature_id,canonical_feature_id,feature_name,relation,notes
F4-P1-046,F4-P1-018,コントロールプログラム,same_name_multi_evidence,retain both Evidence rows
F4-P1-025,F4-P1-024,中心線作成,same_name_multi_evidence,retain both Evidence rows
F4-P1-026,F4-P1-024,中心線作成,same_name_multi_evidence,retain both Evidence rows
F4-P1-027,F4-P1-024,中心線作成,same_name_multi_evidence,retain both Evidence rows
F4-P1-058,F4-P1-057,主桁断面データ,same_name_multi_evidence,retain both Evidence rows
F4-P1-056,F4-P1-055,主桁桁高データ,same_name_multi_evidence,retain both Evidence rows
F4-P1-039,F4-P1-038,出力指定,same_name_multi_evidence,retain both Evidence rows
F4-P1-066,F4-P1-065,床版形状データ,same_name_multi_evidence,retain both Evidence rows
F4-P1-067,F4-P1-065,床版形状データ,same_name_multi_evidence,retain both Evidence rows
F4-P1-068,F4-P1-062,床組データ,same_name_multi_evidence,retain both Evidence rows
F4-P1-048,F4-P1-047,支承条件データ,same_name_multi_evidence,retain both Evidence rows
F4-P4-030,F4-P1-047,支承条件データ,same_name_multi_evidence,retain both Evidence rows
F4-P1-050,F4-P1-049,支承線作成,same_name_multi_evidence,retain both Evidence rows
F4-P6-050,F4-P5-013,格子結果出力,same_name_multi_evidence,retain both Evidence rows
F4-P6-047,F4-P6-026,照査リスト,same_name_multi_evidence,retain both Evidence rows
F4-P1-042,F4-P1-041,線形計算変換,same_name_multi_evidence,retain both Evidence rows
F4-P1-043,F4-P1-041,線形計算変換,same_name_multi_evidence,retain both Evidence rows
F4-P1-022,F4-P1-021,線形計算起動,same_name_multi_evidence,retain both Evidence rows
F4-P1-060,F4-P1-059,補剛材データ,same_name_multi_evidence,retain both Evidence rows
F4-P1-061,F4-P1-059,補剛材データ,same_name_multi_evidence,retain both Evidence rows
F4-P5-014,F4-P2-012,計算書出力,same_name_multi_evidence,retain both Evidence rows
F4-P1-044,F4-P1-012,適用規模_主桁本数,same_name_multi_evidence,retain both Evidence rows
F4-P1-045,F4-P1-014,適用規模_横断線数,same_name_multi_evidence,retain both Evidence rows
