golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0001,alignment.bridge_length,ENT-LINE-ACL,134.001,m,134.001,m,bridge_length,"CH1-VAL-005,DWG-DIM-S001-001",GEO-001,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Bridge length on ACL; drawing 134001 mm
GIN-0002,alignment.span_length.1,ENT-LINE-ACL,40.201,m,40.201,m,span_length,"CH1-VAL-007,DWG-DIM-S001-003",GEO-002,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 1; drawing 40201/51000/40200 mm
GIN-0003,alignment.span_length.2,ENT-LINE-ACL,51.000,m,51.000,m,span_length,"CH1-VAL-008,DWG-DIM-S001-003",GEO-003,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 2; drawing 40201/51000/40200 mm
GIN-0004,alignment.span_length.3,ENT-LINE-ACL,40.200,m,40.200,m,span_length,"CH1-VAL-009,DWG-DIM-S001-003",GEO-004,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 3; drawing 40201/51000/40200 mm
GIN-0005,girder_line.ag1,ENT-GIRDER-AG1,AG1,,AG1,,member_id,"DWG-MEM-AG1,STRMOD-011",GEO-006,,DWG-S021,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder line AG1 (drawing sheets 21-29)
GIN-0006,girder_line.ag2,ENT-GIRDER-AG2,AG2,,AG2,,member_id,"DWG-MEM-AG2,STRMOD-012",GEO-007,,DWG-S030,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder line AG2 (drawing sheets 30-38)
GIN-0007,girder_line.girder_spacing,ENT-LINE-ACL,4500,mm,4.5,m,girder_spacing,"DWG-DIM-S001-004,GEO-010",GEO-008,,DWG-S001,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder spacing 4500 mm (drawing)
GIN-0008,girder_line.girder_height,ENT-GIRDER-AG1,2700,mm,2.7,m,girder_height,"DWG-DIM-S001-005,SRC-calculation_chapter_03_section_3_2_values-010",GEO-009,,DWG-S001,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Girder height 2700 mm (drawing sheet 1; section 3.2.1 reference_girder_height)
GIN-0009,girder_line.panel_points_AG1,ENT-GIRDER-AG1,,,,,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-TBL-P00141-003,CAL-TBL-P00141-004,CAL-FIG-P00142-001,STRMOD-004",GEO-010,calc_pdf_p141,,CALCULATION,MEDIUM,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence,,,H29_REFERENCE,AG1 panel points 1001-1027; first/last node coordinates extracted
GIN-0010,girder_line.panel_points_AG2,ENT-GIRDER-AG2,,,,,COORDINATE,"CAL-TBL-P00141-005,CAL-TBL-P00141-006,CAL-TBL-P00141-007,CAL-TBL-P00141-008,CAL-FIG-P00142-001,STRMOD-005",GEO-011,calc_pdf_p141,,CALCULATION,MEDIUM,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence,,,H29_REFERENCE,AG2 panel points 2001-2027; first/last node coordinates extracted
