ID,Category,Finding,Evidence_Code,Evidence_Test,Evidence_Doc,Phase1_Status,STEP9_Phase
E-01,input,Enum BridgeSystem SIMPLE_SINGLE/CONTINUOUS/SIMPLE_MULTIPLE and CONTINUOUS span bounds 2-5,contracts/layoutTypes.ts:3-12,,,CONFIRMED,Phase 1
E-02,input,ApolloBridgeStructureInputDraft holds bridgeSystem/spans/supports/bridgeLength/spanLength,bridgeStructure/types.ts:76-121,,,CONFIRMED,Phase 1
E-03,validation,CONTINUOUS layout 2-5 spans / cumulative stations / abutment-pier roles,contracts/layoutValidation.ts:234-251,continuousGirderLayout.test.ts:71-86+134-142,,CONFIRMED,Phase 1
E-04,validation,resolveSpanCount derives span count from bridgeLength/spanLength,bridgeStructure/validation.ts:71-78,,,CONFIRMED,Phase 1
E-05,bsd3,generateBridgeStructureFromInput produces BSDD spanSystem=continuous and pier support role,bridgeStructure/generateBsdd.ts:467+116-124,continuousGirderLayout.test.ts:144-163+continuousGirderSample.test.ts:24-36,,CONFIRMED,Phase 1
E-06,bsd3,BSDD entities designStatus=NOT_AUTHORIZED,generateBsdd sdm entities,continuousGirderSample.test.ts:33-35,,CONFIRMED,Phase 1
E-07,stale,STALE gate isBridgeStructureGenerationCurrent(generatedAt+apolloBsdd),bridgeStructure/generateBsdd.ts:558-561,continuousGirderVisualization.test.ts:87-95+importExport.test.ts:138-156,,CONFIRMED,Phase 1
E-08,visualization,Continuous 3D solids girder segments contiguous at intermediate supports,visualization/bridgeStructureSolids.ts:260+619,continuousGirderVisualization.test.ts:35-85,,CONFIRMED,Phase 1
E-09,stl,Binary STL export mm conversion/axis/origin/digest,export/apolloStlExport.ts,apolloStlExport.test.ts:25-98,,CONFIRMED,Phase 1
E-10,persist,Save-reload round-trips apolloBridgeStructureInput+apolloBsdd sidecars,importExport.ts,importExport.test.ts:89-156,importExport.test.ts:89-156,CONFIRMED,Phase 1
E-11,report,ReportModel reads bridgeSystem ONLY into CH-DESIGN-COND,report/reportModel.ts:175,reportModel.test.ts,,CONFIRMED,Phase 1
E-12,report,CH-SECTION gated on spanLength not null so CONTINUOUS yields NOT_AVAILABLE,report/reportModel.ts:119-148+206-216,reportModel.test.ts,,CONFIRMED_GAP,Phase 6
E-13,report,CH-REACTIONS/SHEAR/MOMENT/DEFLECTION code-literal null NOT_AVAILABLE analysis not bound,report/reportModel.ts:238+243+248+253,reportModel.test.ts:42-49,,CONFIRMED_GAP,Phase 6
E-14,report,reportModelToCalculationCsv emits NOT_AVAILABLE placeholder only no zero-fill,report/reportModel.ts:354-372,reportModel.test.ts:42-49,,CONFIRMED,Phase 1
E-15,report,renderReportModelHtml watermark DEVELOPMENT NOT_GRANTED,report/reportModel.ts:71-73+391,reportModel.test.ts:28-40,,CONFIRMED,Phase 1
E-16,report,assertFormalReportRejected formal PDF rejected,report/reportExport.ts:66-69,reportModel.test.ts:51-58,,CONFIRMED_GAP,Phase 6
E-17,output,buildIntegratedOutputs consistency checksum/schedule/drawing>=7,output/outputIntegration.ts:61-129,outputIntegration.test.ts:22-51,,CONFIRMED_GAP,Phase 6
E-18,output,statuses.formalReport hardcoded NOT_AUTHORIZED,output/outputIntegration.ts:128,outputIntegration.test.ts:23-43,,CONFIRMED,Phase 1
