requirement_id,normalized_requirement,class,rationale,acceptance_concept,source_evidence,affected_modules,step5_2_design_doc,step5_3_package,authorization_boundary,status,open_question
REQ-S5-001,Complete sample preset fills road-to-superstructure fields needed for development pipeline,MUST,User wants one-select completeness,All target matrix rows have current_source or explicit Step5-2 decision; apply yields INPUT_VALID path,03_current_sample_audit.md;sample_preset_current_inventory.csv,sampleInputs;panels;liner bind,02_complete_sample_preset_spec;03_preset_value_catalog,P1,UNVERIFIED_DEV_ONLY,REGISTERED,Which numeric values for PROVIDED app/haunch/pavement?
REQ-S5-002,Sample values visible and editable in Guided Mode and detail panels,MUST,No locked black-box samples,Edits persist to canonical draft; Guided/Detail stay in sync,03;preset_editability_matrix.csv,GuidedMode;panels,05-08 guided specs;08 ownership,P1+P2,USER_EDITABLE,REGISTERED,Confirm dialog on re-apply?
REQ-S5-003,Selecting sample can reach completed 3D via verified generation pipeline without treating as formal design,MUST,Close gap vs generatedAt=null only,Documented transaction reaches THREED_READY with labels,03;current_sample_gap_matrix.csv,PresetApplicationService;generate,04_sample_apply_transaction;16_pipeline,P1+P6,NOT_GRANTED,REGISTERED,Auto-generate in same transaction?
REQ-S5-004,Pavement inputs exist and pavement solids display on deck,MUST,User REQ pavement,Canonical pavement → solid → viewer group,05;quantity NOT_AVAILABLE today,new pavement model;solids;viewer,09_pavement_domain_model,P3,DEV_ONLY,REGISTERED,Ownership vs LINER hoso?
REQ-S5-005,Center/lane/edge markings displayable on pavement,MUST,User REQ markings,Marking entities on pavement top offset; STL policy decided,05 missing domain,road marking model;viz,10_road_marking_domain_model;19_stl_policy,P3,DEV_ONLY,REGISTERED,STL include or viz-only?
REQ-S5-006,Guided Mode = Workflow-based one-theme paper slides,MUST,WF screen too dense for general users,Back/next/progress/summary/validation/impact; diagnostics folded,04;guided_mode_gap_matrix.csv,WorkflowState;Guided UI,05-07 guided specs,P2,DEV_ONLY,REGISTERED,Final slide count/order?
REQ-S5-007,Guided and detail edit same canonical data (no dual store),MUST,Prevent divergence,Single SoR; no Guided-only bridge model,10_guided_mode_scope.md,all editors,08_guided_detail_data_ownership,P2,DEV_ONLY,REGISTERED,none
REQ-S5-008,Audit that 3D derives correctly from canonical for member kind/attach/section/coords,MUST,User 3D full audit,Trace matrix complete; unknowns explicit; corrections deferred to 5-3 after 5-2,05;component_source_trace_matrix.csv,geometry;solids;viewer,11_structural_3d_correction_spec,P4,NOT_AUTHORIZED_as_approval,REGISTERED,Which corrections mandatory?
REQ-S5-009,Identify mid-span members as cross beam vs cross frame/sway vs visual-only; do not invent dims from images,MUST,USER_REPORTED 対傾構 position,Role matrix + attachment formula documented; ER-001 for practice,cross_beam_cross_frame_role_matrix.csv;05,solids BSDD,12_cross_beam_cross_frame_spec,P4,REQUIRES_ENGINEERING_REVIEW,REGISTERED,Adopt V topology?
REQ-S5-010,Audit lateral section; identify members needing L-angle model without inventing sizes,MUST,USER_REPORTED L形鋼,List members; parameterization in 5-2; sizes ER-002,lateral_bracing_section_audit.md,bracing solids,13_lateral_bracing_angle_section_spec,P5,REQUIRES_ENGINEERING_REVIEW,REGISTERED,Provenance of L dims?
REQ-S5-011,Haunch from sample→canonical→3D→STL path audited and completable in sample,MUST,USER_REPORTED invisible haunch aligns with NOT_PROVIDED sample,Sample can set PROVIDED; path unchanged kernel,haunch_appurtenance_visibility_audit.md,sample;haunch;C1/C2,14_haunch_appurtenance_integration_spec,P1+P6,DEV_ONLY,REGISTERED,Default presence values?
REQ-S5-012,Wall railing/curb (appurtenances) sample→3D→STL path audited and completable,MUST,USER_REPORTED uncertainty,Same as haunch for PROVIDED slots,haunch_appurtenance_visibility_audit.md,sample;app;C1/C2,14_haunch_appurtenance_integration_spec,P1+P6,DEV_ONLY,REGISTERED,Which slots in complete sample?
REQ-S5-013,Per-member canonical entity datum local axis attach node section placement formula traceable,MUST,Debuggability / safety,Coordinate/datum inventory + formulas in design docs,current_coordinate_datum_inventory.csv,geometry kernel;solids,15_coordinate_datum_and_local_axes,P4,DEV_ONLY,REGISTERED,New datums needed?
REQ-S5-014,Samples always carry SAMPLE_PRESET USER_EDITABLE UNVERIFIED_DEVELOPMENT_ONLY NOT_GRANTED PROHIBITED,MUST,Misuse prevention,Labels on apply UI save reload export,sampleInputs disclaimer;final_report posture,UI;docs,02+04+safety policy,P1+P7,PROHIBITED_use,REGISTERED,none
