golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0025,support_line.pu15,ENT-SUPPORT-PU15,PU15,,PU15,,SUPPORT_CONDITION,"DWG-MEM-S1,MEMID-005",GEO-078,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line PU15 (S1); outer pier/abutment (drawing sheets 9-12)
GIN-0026,support_line.pr1,ENT-SUPPORT-PR1,PR1,,PR1,,SUPPORT_CONDITION,"DWG-MEM-PR1,MEMID-007",GEO-079,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line PR1; intermediate pier 1 (drawing sheets 9-12)
GIN-0027,support_line.pr2,ENT-SUPPORT-PR2,PR2,,PR2,,SUPPORT_CONDITION,"DWG-MEM-PR2,MEMID-008",GEO-080,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line PR2; intermediate pier 2 (drawing sheets 9-12)
GIN-0028,support_line.ar2,ENT-SUPPORT-AR2,AR2,,AR2,,SUPPORT_CONDITION,"DWG-MEM-S2,MEMID-006",GEO-081,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line AR2 (S2); outer abutment; calc label A2 (conflict CF-001)
GIN-0134,member.S1,ENT-SUPPORT-PU15,S1,,S1,,member_id,"DWG-MEM-S1,MEMID-005",SM-071,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support S1 (PU15)
GIN-0135,member.S2,ENT-SUPPORT-AR2,S2,,S2,,member_id,"DWG-MEM-S2,MEMID-006",SM-072,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support S2 (AR2)
GIN-0136,member.PR1,ENT-SUPPORT-PR1,PR1,,PR1,,member_id,"DWG-MEM-PR1,MEMID-007",SM-073,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Pier support PR1
GIN-0137,member.PR2,ENT-SUPPORT-PR2,PR2,,PR2,,member_id,"DWG-MEM-PR2,MEMID-008",SM-074,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Pier support PR2
GIN-0138,support_restraint.PU15,ENT-SUPPORT-PU15,PU15,,PU15,,SUPPORT_CONDITION,"CH5-VAL-004,CH5-VAL-005,CH5-VAL-016,CH5-VAL-017,CH5-VAL-031",SM-082,calc_pdf_p2028,DWG-S085,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Elastic-fixed bearing (E), side-block restraint; rubber layer te=32mm x5; Km=12.391 kN/mm"
GIN-0139,support_restraint.PR1,ENT-SUPPORT-PR1,PR1,,PR1,,SUPPORT_CONDITION,"CH5-VAL-018,CH5-VAL-019,CH5-VAL-032",SM-083,calc_pdf_p2028,DWG-S086,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Elastic-fixed bearing (E); rubber layer te=37mm x5; Km=37.613 kN/mm
GIN-0140,support_restraint.PR2,ENT-SUPPORT-PR2,PR2,,PR2,,SUPPORT_CONDITION,CH5-VAL-033,SM-084,calc_pdf_p2028,DWG-S088,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Elastic-fixed bearing (E); Km=35.271 kN/mm
GIN-0141,support_restraint.AR2,ENT-SUPPORT-AR2,AR2,,AR2,,SUPPORT_CONDITION,"CH5-VAL-004,CH5-VAL-005,CH5-VAL-034",SM-085,calc_pdf_p2028,DWG-S087,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Elastic-fixed bearing (E), side-block restraint; Km=12.112 kN/mm"
