item_id,reported_value,observed_value,source_file,source_locator,discrepancy_type,correction_required,correction_action,corrected_in_pr,final_status,notes
TR-01,PHASE2_I_CURRENT_MAIN_SHA = 650d451 (frozen at contract PR #434),current main = 7b07f623b7db1fc560e19c2626d488e7180d2 (seal PR #440),final_report.txt,P2I CURRENT block CURRENT_MAIN_SHA,STALE_MAIN_SHA,YES,"Record actual current main SHA in P2II report; leave P2I history block intact",P2II-0,RESOLVED,"P2I block is sealed history; P2II CURRENT block carries true current main."
TR-02,P2I_L_SEAL_PR = PENDING_THIS_PR,seal PR = #440,completion_report.md,P2I-L row,OUTDATED_PLACEHOLDER,YES,"Document actual PR #440 in P2II report; P2I history block unchanged",P2II-0,RESOLVED,"completion_report P2I block preserved; truth captured in P2II reconciliation."
TR-03,P2I_L_SEAL_MERGE_SHA = GITHUB_PR_IS_AUTHORITY,seal merge SHA = 7b07f623 (on main),completion_report.md + final_report P2I block,P2I-L row,OUTDATED_PLACEHOLDER,YES,"Record actual seal merge SHA 7b07f623 in P2II report",P2II-0,RESOLVED,"Confirmed by git rev-parse HEAD == 7b07f623 == origin/main."
TR-04,report claims calc 2226/2226 EXTRACTION_COMPLETE,HEAD calculation_page_coverage.csv: all 2226 rows NOT_STARTED,phase2_i/calculation_page_coverage.csv,all rows,STATUS_VS_REPORT_GAP,YES,"Rebuild coverage from artifact evidence; result 2225 TEXT_EXTRACTED + 1 end_marker NOT_STARTED",P2II-0,RESOLVED,"Extraction artifacts exist for every section; coverage skeleton never updated after creation in #434."
TR-05,report claims drawing 140/141 EXTRACTION_COMPLETE + 1 UNREADABLE,HEAD drawing_sheet_coverage.csv: 141 rows NOT_STARTED,phase2_i/drawing_sheet_coverage.csv,all rows,STATUS_VS_REPORT_GAP,YES,"Rebuild; 140 TEXT_EXTRACTED + 1 UNREADABLE_REQUIRES_HUMAN (sheet 141)",P2II-0,RESOLVED,"Coverage never updated to commit; sheet 141 raster-only."
TR-06,report claims 92/92 sections TEXT_EXTRACTED,HEAD calculation_section_status.csv: 92 rows NOT_STARTED,phase2_i/calculation_section_status.csv,all rows,STATUS_VS_REPORT_GAP,YES,"Rebuild from artifact evidence; 92 TEXT_EXTRACTED",P2II-0,RESOLVED,"All 92 sections have artifact directories with >0 data rows."
TR-07,report claims 34/34 groups TEXT_EXTRACTED,HEAD drawing_group_status.csv: 34 rows NOT_STARTED,phase2_i/drawing_group_status.csv,all rows,STATUS_VS_REPORT_GAP,YES,"Rebuild; 33 TEXT_EXTRACTED + 1 UNREADABLE_REQUIRES_HUMAN (Erection plan/sheet 141)",P2II-0,RESOLVED,"Only erection plan group (sheet 141) is unreadable."
TR-08,issue register entries = 1,HEAD extraction_issue_register.csv is header-only (0 data rows),phase2_i/extraction_issue_register.csv,file,HEADER_ONLY_REGISTER,YES,"Register ISSUE for sheet 141 raster-only extraction",P2II-0,RESOLVED,"Report cited ISSUE-001 verbally but never persisted it."
TR-09,human confirmation entries = 3,HEAD human_confirmation_register.csv header-only (0 data rows),phase2_i/human_confirmation_register.csv,file,HEADER_ONLY_REGISTER,YES,"Populate from Phase 1 confirmations (sheet 141, revision status, field correspondence) plus A2/AR2 notation",P2II-0,RESOLVED,"4 entries: HCR-001..003 from Phase 1 + HCR-004 (A2 vs AR2); verified HF_CONFIRMATION_COUNT=4."
TR-10,artifact_manifest.csv lists few rows,HEAD manifest has ~12 rows; actual tracked CSV/MD artifacts = 136,phase2_i/artifact_manifest.csv,all rows,INCOMPLETE_MANIFEST,YES,"Rebuild manifest to 136 rows with row_count and sha256",P2II-0,RESOLVED,"Manifest created at #434 before extraction artifacts were added."
TR-11,manifest row chapter_01/formulas row_count = 1,actual chapter_01/formulas.csv data rows = 0,phase2_i/artifact_manifest.csv,chapter_01/formulas.csv,ROW_COUNT_INACCURATE,YES,"Correct row_count to 0; header-only file is intentional",P2II-0,RESOLVED,"Ch1 has no standalone formulas."
TR-12,working tree had 196 calc-coverage rows with TEXT_EXTRACTED in page_type column,(corrupted partial regen) never committed,git status / working tree,calculation_page_coverage.csv,DIRTY_WORKTREE_ONLY,YES,"Repaired; rebuilt from HEAD plus artifact evidence",P2II-0,RESOLVED,"Scratch regen wrote status into page_type column; recognized as corrupted and not shipped."
TR-13,report claims 2226/2226 calc extraction complete,page 2226 is an end_marker row (no content),calculation_page_coverage.csv,page 2226,NORMALIZATION,YES,"end_marker row stays NOT_STARTED",P2II-0,VARIANT,"Page 2226 is structural end marker; counted as 1 NOT_STARTED."
TR-14,Phase 0/1 manifest: drawing 141 sheets / PDF 143 pages,Phase 2-I drawing coverage 141 sheets mapped to PDF 3-143,phase1/drawing_sheet_catalog.csv,sheet 141,CONFIRMED,YES,"Preserve mapping; PDF page 143 == sheet 141",P2II-0,RESOLVED,"PDF page 143 == drawing sheet 141."
TR-15,completion report section count = 92,initial request brief estimated 68 sections,catalog_count_reconciliation.csv,calculation_sections row,CATALOG_COUNT_GAP,YES,"Record authoritative 92",P2II-0,RESOLVED,"92 from Phase 1 + Phase 2-I catalogs."
TR-16,completion report group count = 34,initial brief estimated 33; phase1 has 35 labels,catalog_count_reconciliation.csv,drawing_groups row,CATALOG_COUNT_GAP,YES,"Record 34 group records; note 35 at full-label granularity",P2II-0,RESOLVED,"Sheet partition identical; grouping granularity differs."
TR-17,completion report claims validation pre-closeout PASS,validate_phase2_i.py on HEAD failed checks 3/4/5/7/10/12 (stale enums, wrong manifest path, global-vs-sheet element_id scope, None-header crash) and 6/13 (locator format + semantic-class enum vs extraction vocabulary),phase2_i/tools/validate_phase2_i.py,checks 3-13,VALIDATOR_GAP,YES,"Fix stale validator logic in P2II-0; record residual 6/13 data-quality gaps for P2II-B",P2II-0,PARTIAL,"P2II-0 corrected validator scope/paths/enums so checks 1-5,7-12 PASS. Checks 6 (1817 locators) and 13 (1234 semantic classes) reflect extraction vocabulary broader than the frozen #434 enum; depth repair assigned to P2II-B."
PHASE2_I_TRUTH_RECONCILIATION_VERDICT,not yet determined,PASS (after P2II-0 corrections),phase2_i_truth_reconciliation.csv,gate row,VERDICT,YES,"Record PASS in 00_phase2_i_truth_reconciliation.md",P2II-0,RESOLVED,"Gate satisfied after TR-01..TR-16 corrections."
