issue_id,severity,category,source_locator,description,resolution_status,created_in_pr,resolved_in_pr,notes
ISSUE-001,LOW,unreadable_text_extraction,"SRC-002 drawing_sheet 141 (PDF page 143, 架設計画図)","Raster-only content; text layer produced no usable text. Requires visual/OCR transcription in Phase 2-II (P2II-A).",PARTIAL,#435,P2II-A,"OCR-assisted transcription of drawing 141 completed in P2II-A (RapidOCR two passes). Major content read; 5 cells flagged for human confirmation; resolution_status PARTIAL until human visual confirmation."
ISSUE-002,MEDIUM,coverage_status_stale,"phase2_i/calculation_page_coverage.csv (committed #434)","Coverage/status CSVs were committed as NOT_STARTED skeletons and never updated to reflect extraction completed in #435-#438.",RESOLVED,#439,P2II-0,Repaired by tools/rebuild_phase2_i_truth.py.
ISSUE-003,MEDIUM,register_header_only,"phase2_i/extraction_issue_register.csv / human_confirmation_register.csv / source_conflict_register.csv","Registers were committed header-only at #434; completion report quoted counts that were never persisted.",RESOLVED,#439,P2II-0,Rows populated from source evidence and Phase 1 registers.
ISSUE-004,LOW,manifest_incomplete,"phase2_i/artifact_manifest.csv (committed #434)","Manifest listed only the governance skeleton; extraction artifacts added later were omitted.",RESOLVED,#439,P2II-0,Rebuilt to 136 rows with row_count and sha256.
ISSUE-005,LOW,revision_status_uncertain,"SRC-002 / SRC-003 title blocks","No revision marks found in text extraction; revision status not confirmed.",OPEN,#439,n/a,To be OCR-checked in P2II-A; else accepted as REVISION_NOT_FOUND.
ISSUE-006,LOW,table_confidence,"SRC-003 various tables","Some table values were parsed from text layer and carry MEDIUM confidence; visual cross-check deferred.",OPEN,#439,n/a,Cross-source verification scheduled in Phase 2-II.
ISSUE-007,MEDIUM,source_conflict,"calc_pdf_p297 / DWG-S013","Flange-width conflict for AG1 lower flange (LFLG): calculation 680 mm vs drawing 700 mm.",PARTIAL,#454,n/a,"Registered as CONF-P2II-001; 9 candidate rows carry conflict_id=CONF-P2II-001. Adopted section candidates carry the calc value 680 mm as CANDIDATE_ONLY; Phase 3 review decides the adopted width."
ISSUE-008,MEDIUM,ocr_partial,"calc_pdf_p143 (DWG-S141)","Drawing sheet 141 is raster-only; OCR-assisted transcription is PARTIAL with ambiguous cells V001-V006.",PARTIAL,P2II-A,n/a,"Human confirmation required for V001-V006 (HCR-001) before Phase 3 Golden review; 91 drawing candidates carry verification_status=PARTIAL + HCR-001."
ISSUE-009,MEDIUM,table_not_numeric,"calc_pdf_p1319 (load combination)","Load-combination coefficient table is present in source but was not extracted numerically.",OPEN,#454,n/a,"Load layer carries UNKNOWN_REQUIRES_REVIEW entries; Phase 3 human extraction required; no fabrication."
ISSUE-010,MEDIUM,analysis_source_absent,"chapter_03 section_3_1","Live-load influence lines absent from source extraction; exact live-load placement is not registered.",OPEN,#454,n/a,"Load placement registered as a gap; analysis results are EXCLUDED_ANALYSIS_RESULT; no recalculation permitted."
ISSUE-011,MEDIUM,chain_incomplete,"calc_pdf_p819","Wrapping-concrete design chain ends at rebar count; no explicit OK/NG verdict extracted.",OPEN,#455,n/a,"HCR-002; judgment candidate DS-222 is HUMAN_CONFIRMATION_REQUIRED. Stiffener/splice/weld numeric detail also registered (DS-242/243/244)."
ISSUE-012,LOW,one_source_only,"DWG-S020","Camber values exist only on drawing sheet 20 (drawing-only); no calculation counterpart.",PARTIAL,#455,n/a,"Camber candidates (DS-223/DS-245) are EXCLUDED_DRAWING_ONLY; Phase 3 review decides whether camber becomes Golden input."
ISSUE-013,LOW,locator_pattern,"calc_pdf_p323-349, calc_pdf_p382-514, calc_pdf_p667-669","Multi-page source records carry range calculation locators calc_pdf_p{start}-{end}.",RESOLVED,P2II-J,P2II-J,"Validator Check 4 accepts calc_pdf_p\\d+(-\\d+)? for multi-page records; pattern is consistent with the source catalogs; no data change required."
ISSUE-014,LOW,raw_value_fidelity,"calc_pdf_p2037 (CH5-VAL-035)","AN-032 displacement candidate raw_value '27.7' vs source raw_value '±27.7'; sign dropped during derivation.",OPEN,P2II-J,n/a,"Single raw_value fidelity gap (validator Check 10); Phase 3 human confirm; do not guess the sign."
ISSUE-015,LOW,csv_format,"contracts/candidate_enums.csv","fatigue description field contains an unquoted comma, producing an extra column when parsed by csv.DictReader.",OPEN,P2II-J,n/a,"Non-functional for enum reads (first two columns are used); Phase 3 applies a trivial quoting fix; no content change."
ISSUE-016,LOW,normalization_range,"DWG-S013 (DWG-DIM-S013-012)","GEO-076 web-height range '2537-2657' mm copied into normalized_value without mm->m conversion.",OPEN,P2II-J,n/a,"A range value cannot be unit-converted by NOR-002 as a single number; validator Check 11 registers this as a documented exception; Phase 3 review."
