probe_id,canonical_probe_ref,identity_target,blocker_id,required_operator_input,required_invocation,required_input_artifact,checksum_requirement,acceptance_criteria,package_status,execution_status
AN-PRB-001,Minimal valid model,AN-ID-004 or selected external identity,AN-BLK-002,REQUIRED_OPERATOR_INPUT,Vendor-supported command or service request captured verbatim,Checksum-fixed minimal supported model,SHA-256 of executable input and every retained artifact,Fresh parseable result bound to input checksum and no error or license failure,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-002,Missing input,AN-ID-004 or selected external identity,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Same fixed invocation pattern,Recorded nonexistent isolated input path,SHA-256 of executable and retained logs,Documented failure and no authoritative output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-003,Malformed node,AN-ID-004 or selected external identity,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Same fixed invocation pattern,Valid fixture copy with one schema-invalid node,SHA-256 of executable malformed input and retained artifacts,Deterministic rejection identifies node defect and emits no authoritative result,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-004,Malformed member,AN-ID-004 or selected external identity,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Same fixed invocation pattern,Valid fixture copy with one invalid member reference,SHA-256 of executable malformed input and retained artifacts,Deterministic rejection identifies member defect and emits no authoritative result,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-005,Unsupported feature,AN-ID-004 or selected external identity,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Same fixed invocation pattern,Fixture containing one documented unsupported capability,SHA-256 of executable input and retained artifacts,Explicit unsupported failure or governed partial result with no silent omission,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-006,Zero-size model,AN-ID-004 or selected external identity,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Same fixed invocation pattern,Schema-valid empty structural model if parser permits,SHA-256 of executable input and retained artifacts,Fail-closed result and no stale or successful output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-007,Stale native output,Selected external identity,AN-BLK-006,REQUIRED_OPERATOR_INPUT,Vendor-supported run invocation,Valid current input with seeded prior-run outputs,SHA-256 of executable input seed and outputs,Prior output is rejected or replaced atomically and result binds current input,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-008,Output already exists,Selected external identity,AN-BLK-006,REQUIRED_OPERATOR_INPUT,Vendor-supported fixed invocation,Valid input and conflicting output names,SHA-256 of executable input seed and outputs,Overwrite behavior is deterministic and cannot publish mixed-run artifacts,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-009,Timeout,Selected external identity,AN-BLK-007,REQUIRED_OPERATOR_INPUT,Vendor-supported invocation under controlled supervisor timeout,Supported long-running fixture,SHA-256 of executable input logs and partial files,No authoritative result and documented cleanup after timeout,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-010,Cancellation,Selected external identity,AN-BLK-007,REQUIRED_OPERATOR_INPUT,Vendor-supported start and cancellation operation,Supported long-running fixture,SHA-256 of executable input logs and partial files,Cancellation is distinguishable from success and leaves no publishable output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-011,License unavailable,Selected external identity,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Vendor-approved license-failure invocation,Valid minimal model,SHA-256 of executable input and retained logs,License failure is explicit and cannot be ingested as success,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-012,Concurrent execution,Selected external identity,AN-BLK-007,REQUIRED_OPERATOR_INPUT,Two simultaneous supported invocations,Two checksum-distinct valid fixtures,SHA-256 of executable inputs logs and outputs,No cross-run file collision data mixing or ambiguous status,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-013,Malformed imported output,Repository ingestion plus selected external identity,AN-BLK-006,REQUIRED_OPERATOR_INPUT,Documented import operation after importer contract is identified,Controlled corrupt copy of a genuine checksum-fixed output,SHA-256 of genuine corrupt imported and retained artifacts,Corrupt output is rejected without stale CSV PDF or mock fallback,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-014,Locale and encoding difference,Selected external identity,AN-BLK-003,REQUIRED_OPERATOR_INPUT,Same invocation under two vendor-supported locales,Same checksum-fixed minimal model,SHA-256 of executable input and outputs for each locale,Representation is documented and semantics agree or unsupported locale fails explicitly,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-015,Repeatability,Selected external identity,AN-BLK-008,REQUIRED_OPERATOR_INPUT,Three isolated serial runs with identical settings,One checksum-fixed representative valid fixture,SHA-256 of executable input and every output,Three runs meet predeclared exact-field and numeric tolerance after approved normalization,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-016,Positive component and equilibrium suite,Selected external identity,AN-BLK-004,REQUIRED_OPERATOR_INPUT,Vendor-supported invocation for each signed component,Checksum-fixed component-isolating unit-load fixtures,SHA-256 of executable fixtures outputs and worksheet,Each component basis and sign is unique and equilibrium closes within predeclared tolerance,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-PRB-017,I-J reversal and asymmetric orientation,Selected external identity,AN-BLK-004,REQUIRED_OPERATOR_INPUT,Vendor-supported invocation for both fixtures,Asymmetric member fixture and a separately checksummed I-J reversed counterpart,SHA-256 of executable both inputs outputs and worksheet,Observed permutation and sign mapping matches a predefined mechanically checked transformation,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
