evidence_id,evidence_class,identity_id,locator,claim_supported,authority,status,checksum_requirement,limitations
AN-EVD-001,CODE,AN-ID-001,backend/engine/solver.py:22-115,Repository in-process solver control flow,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Result shape is separately evidenced
AN-EVD-002,CODE,AN-ID-002,backend/app/main.py:100-143,HTTP route request response CSV option and IF3 normalization,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Does not prove external executable behavior
AN-EVD-003,CODE,AN-ID-001,backend/engine/model.py:28-163,Repository structural entities loads and settings,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Units are not fully embedded in these dataclasses
AN-EVD-004,CODE,AN-ID-001,backend/engine/dof.py:7-47,Repository node DOF ordering,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Does not prove external Analyzer ordering
AN-EVD-005,CODE,AN-ID-003,backend/engine/if3_normalizer.py,IF3 schema versions and payload classes,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,IF3 is an adapter contract not native external output
AN-EVD-006,CODE,AN-ID-003,frontend/src/contracts/frameAnalysisResultResource.ts:28-162,Result statuses provenance checksum unit and payload contract,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Optional unit field does not establish values
AN-EVD-007,CODE,AN-ID-003,backend/engine/if3_staleness.py and backend/engine/if3_availability.py,Source and result checksum staleness evaluation,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Requires correct producer metadata and live source binding
AN-EVD-008,HISTORICAL_HANDOFF,AN-ID-004,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/docs/05_data_flow_and_interfaces.md:31-52,Historical subsystem role and unconfirmed physical boundary,IMMUTABLE_HANDOFF,REFERENCE_ONLY,Package manifest checksum,Explicitly not present-machine evidence
AN-EVD-009,HISTORICAL_HANDOFF,AN-ID-004,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/docs/06_frame_analysis_boundary.md:24-43,Physical format not confirmed and interface candidates only,IMMUTABLE_HANDOFF,REFERENCE_ONLY,Package manifest checksum,Must not freeze candidate fields
AN-EVD-010,EXAMPLE_LAYOUT,AN-ID-005,examples/spacer-reference/README.md,Proposed repository layout for reference CSVs,CURRENT_REPOSITORY,REFERENCE_ONLY,Git blob and baseline SHA,Contains illustrative values and version string only
AN-EVD-013,CODE,AN-ID-003,backend/app/atomic_json.py:84-90 and 127-238,Repository IF3 JSON encoding atomic write and in-process locking,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Does not prove external process cleanup or cross-process locking
AN-EVD-014,TEST,AN-ID-002,backend/tests/test_api.py:177-192,Failed analysis can be transported by a successful HTTP response,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,External exit behavior remains blocked
AN-EVD-015,LOCAL_LICENSED_MANUAL,AN-ID-005,マニュアル/SPACER操作マニュアル.pdf (PDF pages 12-15; 119; 126),Reference workflow mentions DAT master work STATICS and report file classes,LOCAL_REFERENCE,REFERENCE_ONLY,e08681a290904c13c702ed864e0753d85e5c43201a5881c48766c0417aa7d012,Manual statements do not establish installed version native field mapping or machine behavior
AN-EVD-016,CODE,AN-ID-001,backend/engine/results.py:29-126 and backend/engine/errors.py,Repository raw success and failure result shapes,CURRENT_REPOSITORY,PROJECT_SPECIFIC,Git blob and baseline SHA,Does not establish external output
