asset_id,title,document_type,priority,reason,x1_reading_required
DOC-X0-0032,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。,YES
DOC-X0-0035,JIP-LINER マニュアル,SOFTWARE_MANUAL,P0,JIP-LINER本体の操作マニュアル。LINER機能の正本。,YES
DOC-X0-0036,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。,YES
DOC-X0-0039,JIP-LINER マニュアル,SOFTWARE_MANUAL,P0,JIP-LINER本体の操作マニュアル。LINER機能の正本。,YES
DOC-X0-0041,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。,YES
DOC-X0-0056,JIP-LINER マニュアル,SOFTWARE_MANUAL,P0,JIP-LINER本体の操作マニュアル。LINER機能の正本。,YES
DOC-X0-0058,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。,YES
DOC-X0-0066,道路橋示方書・同解説 Ⅰ 共通編,STANDARD,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。,YES
DOC-X0-0067,道路橋示方書・同解説 Ⅱ 鋼部材・鋼上部構造編,STANDARD,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。,YES
DOC-X0-0068,道路橋示方書・同解説 Ⅲ コンクリート部材・コンクリート上部構造編,STANDARD,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。,YES
DOC-X0-0069,道路橋示方書・同解説 Ⅳ 下部構造編,STANDARD,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。,YES
DOC-X0-0070,道路橋示方書・同解説 Ⅴ 上下部接続部編,STANDARD,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。,YES
DOC-X0-0091,APOLLO ユーザーズマニュアル SuperDesigner（鋼橋の自動設計製図システム）,SOFTWARE_MANUAL,P0,APOLLO SuperDesigner の主マニュアル。権利不明のため参照専用。,YES
DOC-X0-0136,JIP-LINER マニュアル,SOFTWARE_MANUAL,P0,JIP-LINER本体の操作マニュアル。LINER機能の正本。,YES
DOC-X0-0143,サンプル_道路線形計算例,ROAD_ALIGNMENT_CALCULATION,P0,実案件の線形計算書。IC/ランプ/暫定線含む。,YES
DOC-X0-0144,サンプル_道路設計図,ROAD_DRAWING,P0,実案件の平面線形図。R・クロソイドA・主要点を確認。,YES
DOC-X0-0145,道路構造令の解説と運用（改訂版）,STANDARD,P0,道路構造令の解説と運用。テキスト層なし(OCR必須)。目次は前フェーズで解析済み。,YES
DOC-X0-0033,鋼鈑桁橋_図面例,BRIDGE_DRAWING,P1,鋼鈑桁橋の図面例（143頁）。,YES
DOC-X0-0034,鋼鈑桁橋_設計計算例,BRIDGE_CALCULATION,P1,鋼鈑桁橋の設計計算例（2226頁）。上部工計算の参照。,YES
DOC-X0-0037,level2-type2（レベル2地震動設計データ）.csv,SOFTWARE_DATA,P1,レベル2地震動（type2）の設計データ。XLS/CSVで同一データ。,YES
DOC-X0-0038,level2-type2（レベル2地震動設計データ）.xls,SOFTWARE_DATA,P1,レベル2地震動（type2）の設計データ。XLS/CSVで同一データ。,YES
DOC-X0-0040,SPACER 操作マニュアル,SOFTWARE_MANUAL,P1,SPACER操作マニュアル。,YES
DOC-X0-0042,BODY_RESEARCH_PRIORITY,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0043,FINAL_REPORT,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0044,NEXT_PHASE_PLAN,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0045,README,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0046,ROAD_PROJECT_MAPPING,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0047,RULE_ENGINE_CANDIDATES.csv,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0048,SOFTWARE_RELEVANCE_MATRIX.csv,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0049,SOURCE_INFO,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0050,TOC_INDEX.csv,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0051,TOC_NORMALIZED,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0052,TOC_RAW.txt,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0053,TOC_TREE,RESEARCH_OUTPUT,P1,前フェーズ（目次リバースエンジニアリング）の成果物。X1の入力。,YES
DOC-X0-0054,level2-type2（レベル2地震動設計データ）.csv,SOFTWARE_DATA,P1,レベル2地震動（type2）の設計データ。XLS/CSVで同一データ。,YES
DOC-X0-0055,level2-type2（レベル2地震動設計データ）.xls,SOFTWARE_DATA,P1,レベル2地震動（type2）の設計データ。XLS/CSVで同一データ。,YES
DOC-X0-0057,SPACER 操作マニュアル,SOFTWARE_MANUAL,P1,SPACER操作マニュアル。,YES
DOC-X0-0059,level2-type2（レベル2地震動設計データ）.xls,SOFTWARE_DATA,P1,レベル2地震動（type2）の設計データ。XLS/CSVで同一データ。,YES
DOC-X0-0061,合成桁の設計例と解説,GUIDELINE,P1,合成桁の設計例。テキスト層なし(OCR必須)。,YES
DOC-X0-0062,鋼橋構造詳細の手引き,GUIDELINE,P1,鋼橋構造詳細。テキスト層なし(OCR必須)。,YES
DOC-X0-0063,道路橋支承便覧,GUIDELINE,P1,支承便覧。テキスト層なし(OCR必須)。,YES
DOC-X0-0064,鋼道路橋設計便覧,GUIDELINE,P1,鋼道路橋設計便覧。テキスト層なし(OCR必須)。,YES
DOC-X0-0065,細幅箱桁橋の設計例と解説（道示H29対応）,GUIDELINE,P1,細幅箱桁橋の設計例。テキスト層なし(OCR必須)。,YES
