blocker_id,severity,category,description,linked_issue,unlock_condition,owner,blocks_numeric_freeze,blocks_material_adoption,blocks_target_selection,status
BLK-S1-001,HIGH,standard_selection,Target Standard NOT_SELECTED — no binding 道示 edition for Phase 1,ISS-S1-008,Supervisor records Target Standard in decision_log with DEC-S1-xxxx citing edition evidence,supervisor,yes,yes,no,OPEN
BLK-S1-002,HIGH,source_gap,34 JIS SOURCE GAP rows — primary JIS steel/rebar/bolt PDFs not acquired; HOLD policy forbids 道示/DDB substitution,ISS-S1-009,Primary JIS sources acquired and cross-checked for applicable gaps; gap register updated,external_jis_research,yes,yes,yes,OPEN
BLK-S1-003,MEDIUM,edition_alignment,R7/10 Ver.2.00 道示 (inventory) vs H29/11 alignment declared in R2 鋼便覧 and H31 支承便覧 — supporting-manual map not decided,ISS-S1-008,DTR-02 supporting manual edition map approved under chosen Target Standard,step1_planner,yes,yes,yes,OPEN
BLK-S1-004,HIGH,governance,Auto-determination of loads/factors/limits/dimensions prohibited while Target NOT_SELECTED,ISS-S1-008; handoff NO_AUTO_NUMERIC_DETERMINATION,Target Standard selected; numeric records reach ADOPTED via decision_log,supervisor,yes,no,no,OPEN
BLK-S1-005,HIGH,governance,Material property ADOPTED status forbidden without full metadata and decision_id,ISS-S1-008; ISS-S1-009,JIS gaps resolved or scoped; Target selected; per-property DEC-S1-xxxx,supervisor,no,yes,no,OPEN
BLK-S1-006,MEDIUM,traceability,Numeric/material records missing page-table-clause locator fail closed,ISS-S1-006,All adopted records include verified source_locator from Rank 6 PDF read,step1_planner,yes,yes,no,OPEN
BLK-S1-007,MEDIUM,historical_baseline,HISTORICAL_BASELINE_UNKNOWN_EDITION on all 69 READY rows — APOLLO historical edition vs Target unclear,ISS-S1-008,DTR-04 historical baseline decision recorded,supervisor,yes,yes,yes,OPEN
BLK-S1-008,LOW,document_quality,道示 PDFs are image exports — text extraction unreliable; manual page verification required,inventory notes,Verified human read or structured extraction pipeline for cited locators,external_research,yes,yes,no,OPEN
BLK-S1-009,MEDIUM,license,Evidence PNG redistribution not auto-approved — cannot treat extracts as external publication,ISS-S1-010,Receiving org confirms internal use / redistribution rights,receiving_org,no,no,no,OPEN
BLK-S1-010,MEDIUM,scope_deferred,Composite girder and box girder example PDFs present locally but OUT_OF_PHASE1 — must not leak into Phase 1 constants,P02 inventory,Phase 2+ scope decision before any cross-phase numeric reuse,supervisor,no,no,no,OPEN
BLK-S1-011,HIGH,analyzer_boundary,APOLLO Analyzer physical input/output format UNKNOWN; blocks legacy Analyzer workflow parity.,ISS-S1-007,Runtime confirmation of Analyzer file formats or explicit decision to use internal solver-only path.,analysis_integration,no,no,no,OPEN
BLK-S1-012,MEDIUM,capability_gap,IF3 client binding metadata not sent from runAnalysis (LIM-P03-001).,DEC-S1-0006,Wire BFAD/checksum binding in apiClient.runAnalysis per IF3 contracts.,frame_ui,no,no,no,OPEN
BLK-S1-013,MEDIUM,scope,69 READY rows are location/evidence memos only — no numeric implementation authorized.,DEC-S1-0004,Target Standard selected and per-requirement numeric governance satisfied.,supervisor,yes,yes,no,OPEN
BLK-S1-014,LOW,conflict,CFL-001 Historical vs Target edition alignment unresolved.,CFL-001,DTR-04 historical baseline decision in Step1 governance.,supervisor,yes,yes,yes,OPEN
