feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-6-001,calculation_report,計算書の出力,NONE,Phase1_required,計算書の出力,計算＆出力メニュー,NONE,NONE,NONE,詳細計算書/サマリー計算書から選択,NONE,NONE,NONE,NONE,NONE,計算書（RTF）,RTF,NONE,NONE,NONE,NONE,MAN-021,14,NONE,2-2-3,NONE,NONE,NONE,Evidence,計算書は、各設計プログラムのメニューの［計算＆出力］で行って下さい。プログラムのよっては、詳細計算書とサマリー計算書が用意されています,NONE,NONE,NONE,NONE,extracted
F4-6-002,calculation_report,計算書ファイル名,NONE,Phase1_required,計算書ファイル名,計算書ファイル名,NONE,NONE,NONE,標準値でセット/変更可,NONE,NONE,NONE,NONE,NONE,RTFファイル,RTF,NONE,NONE,NONE,NONE,MAN-021,14,NONE,2-2-3,NONE,NONE,NONE,Evidence,標準ファイル名が「工事名+設計対象名.rtf」でセットされています,NONE,NONE,NONE,NONE,extracted
F4-6-003,calculation_report,計算書をMS-Wordで表示,NONE,Phase1_required,計算書をMS-Wordで表示,計算書ファイル,NONE,NONE,NONE,はい/いいえで選択,NONE,MS-Word起動,NONE,NONE,NONE,計算書表示,RTF,NONE,MS-Word,NONE,NONE,MAN-021,15,NONE,2-2-3,NONE,NONE,NONE,Evidence,自動的にＭＳ－Ｗｏｒｄが起動し、計算書が表示されます,NONE,NONE,NONE,external dep stated: MS-Word — not auto-adopt as OSS requirement,extracted
F4-6-004,rtf_output,RTF形式出力,NONE,Phase1_required,RTF形式出力,計算書,NONE,NONE,NONE,固定,NONE,RTF形式で出力,NONE,NONE,NONE,設計計算書,RTF,NONE,MS-Word,NONE,NONE,MAN-021,8,NONE,2-1-2,NONE,NONE,NONE,Evidence,計算書は、ＭＳ-Word が読み書きできる RTF 形式（Rich Text Format 書式付きテキスト）に出力されます,NONE,NONE,NONE,external dep stated: MS-Word — not auto-adopt as OSS requirement,extracted
F4-6-005,cad_output,AutoCADデータ生成事前準備,NONE,Phase1_required,AutoCADデータ生成事前準備,AutoCAD.EXEパス,NONE,NONE,NONE,参照ボタンで指定,NONE,AutoCAD.EXEパス設定,NONE,NONE,NONE,NONE,NONE,NONE,AutoCAD,NONE,NONE,MAN-021,16,NONE,2-3-1,NONE,NONE,NONE,Evidence,図面データを AutoCAD データ（ＤＷＧデータ）に出力するには、次の設定を事前に行って下さい,NONE,NONE,NONE,external dep stated: AutoCAD — not auto-adopt as OSS requirement,extracted
F4-6-006,dwg_output,DWG出力選択,NONE,Phase1_required,DWG出力選択,ＣＡＤデータ形式,NONE,NONE,NONE,DWG/GSPから選択,NONE,NONE,NONE,NONE,NONE,図面データ形式選択,NONE,DWG/GSP,AutoCAD,NONE,NONE,MAN-021,17,NONE,2-3-2,NONE,NONE,NONE,Evidence,ＣＡＤデータ形式では「AutoCAD データ：ＤＷＧ」かＹＴＩ独自の「中間ファイル：ＧＳＰ」かの選択をして下さい,NONE,NONE,NONE,external dep stated: AutoCAD — not auto-adopt as OSS requirement,extracted
F4-6-007,gsp_output,GSP中間ファイル出力,NONE,Phase1_required,GSP中間ファイル出力,ＣＡＤデータ形式,NONE,NONE,NONE,DWG/GSPから選択,NONE,NONE,NONE,NONE,NONE,中間ファイル出力,NONE,GSP,RCCAD,NONE,NONE,MAN-021,17,NONE,2-3-2,NONE,NONE,NONE,Evidence,ＹＴＩ独自の「中間ファイル：ＧＳＰ」かの選択をして下さい,NONE,NONE,NONE,external dep stated: RCCAD — not auto-adopt as OSS requirement,extracted
F4-6-008,drawing_input_generation,入力データ作成,NONE,Phase1_required,入力データ作成,設計データベース,NONE,NONE,NONE,ボタンクリックのみ,NONE,設計DBから製図データ自動生成,NONE,NONE,NONE,製図データ,NONE,NONE,NONE,NONE,NONE,MAN-021,18,NONE,2-3-2,NONE,NONE,NONE,Evidence,「入力データ作成」は、設計データ「工事名．ｍｄｂ」から標準値の製図データを自動生成します,NONE,NONE,NONE,NONE,extracted
F4-6-009,design_data_conversion,設計データ変換,NONE,Phase1_required,設計データ変換,設計データ,NONE,NONE,NONE,ボタンクリックのみ,NONE,設計結果→製図DB変換,NONE,NONE,NONE,製図データベース,NONE,NONE,NONE,NONE,NONE,MAN-021,19,NONE,2-3-2,NONE,NONE,NONE,Evidence,「設計データ変換」は、自動設計で設計した部材の寸法や材質、ボルト形状など製図データベースに変換します,NONE,NONE,NONE,NONE,extracted
F4-6-010,member_generation,全部材作成,NONE,Phase1_required,全部材作成,製図データベース,NONE,NONE,NONE,実行中は実行ログ表示,NONE,3次元部材作成,NONE,NONE,NONE,部材データ,NONE,NONE,NONE,NONE,NONE,MAN-021,19,NONE,2-3-2,NONE,NONE,NONE,Evidence,「全部材作成」では、製図データベースの中に３次元的に部材を作成していきます,NONE,NONE,NONE,NONE,extracted
