missing_id,priority,category,required_topic,why_needed,current_evidence,missing_detail,blocks_phase,recommended_source_type,search_keywords_ja,search_keywords_en,publisher_candidate,bookstore_candidate,library_candidate,company_archive_candidate,vendor_candidate,status,user_action,notes
MS-P0-01,P0,Design Standard,曲線橋の設計基準（道路橋示方書・鋼橋編・共通編）,Design standard for curved steel girder bridges,No Japanese design standards in repository,Requires purchase of official Japan Road Association publications,design check;analysis assumptions,PURCHASE_CANDIDATE,道路橋示方書 鋼橋編 曲線桁 日本道路協会,curved girder design standard Japan road association,日本道路協会,丸善;ジュンク堂;紀伊國屋,国立国会図書館;日本道路協会図書館,,,MISSING,"Purchase 道路橋示方書 鋼橋編 and 共通編","Verify edition year; check if 2017 or 2023 revision"
MS-P0-02,P0,Analysis Theory,そりねじり理論（Vlasovねじり）,Required for curved I-girder analysis (warping torsion),6DOF solver only; no warping DOF,Warping torsion not supported in current frame solver,analysis,LIBRARY_SEARCH_CANDIDATE / COMPANY_ARCHIVE_CANDIDATE,Vlasov ねじり 曲線桁 立体骨組,Vlasov torsion curved girder space frame,,,東京大学図書館;土木学会図書館,社内設計事例アーカイブ,,MISSING,"Search university libraries for Vlasov torsion textbook","Timoshenko or Gjelsvik references may also be useful"
MS-P0-03,P0,Analysis Theory,横構二次応力の設計理論,Curved bridges develop axial forces in lateral bracing,No secondary stress calculation implementation,Secondary stress in lateral bracing due to curvature not handled,analysis;design check,LIBRARY_SEARCH_CANDIDATE,横構 二次応力 曲線橋 平面格子,lateral bracing secondary stress curved bridge,土木学会;日本建築学会,,土木学会図書館;日本建築学会図書館,,,MISSING,"Search for 横構二次応力 papers in JSCE library","Also check 立体格子理論 references"
MS-P0-04,P0,Load Definition,遠心荷重の算定式（道路橋示方書）,Required for curved bridges by Japanese standards,Not implemented in any load definition,Centrifugal load formula not in codebase,analysis (load definition),PURCHASE_CANDIDATE,遠心荷重 曲線橋 道路橋示方書,centrifugal load curved bridge Japanese standard,日本道路協会,,,日本道路協会図書館,,,MISSING,"Purchase or borrow 道路橋示方書 to extract formula","Centrifugal load = W*V^2/(g*R) per Japanese standard"
MS-P0-05,P0,Structural Model,支承方向の拘束条件（ラジアル・タンジェンシャル）,Bearing direction is fundamentally different on curved bridges,PierBearingOffsetDraft is scalar only,No radial/tangential bearing direction concept,structural model,COMPANY_ARCHIVE_CANDIDATE / VENDOR_DOCUMENT_CANDIDATE,支承 ラジアル方向 タンジェンシャル方向 曲線橋,bearing radial tangential direction curved bridge,日本道路協会;日本橋梁建設協会,,,社内過去案件アーカイブ,APOLLOベンダー資料,SEARCHING,"Search company archives for bearing layout drawings on curved bridges","RISA-3D or other vendor docs may have radial bearing examples"
MS-P0-06,P0,Structural Model,横桁方向の定義（ラジアル方向横桁）,Cross beam direction on curved alignment,CrossBeamDraft is schema only,Cross-beam direction definition not implemented,structural model,COMPANY_ARCHIVE_CANDIDATE,横桁 ラジアル方向 曲線橋,cross beam radial direction curved bridge,日本橋梁建設協会,,,社内設計事例,,MISSING,"Search company archives for cross-beam layout on curved bridges","Schema defines cross beam but no geometry direction logic"
MS-P0-07,P0,Design Check,曲線橋のキャンバー算定理論,Camber for curved bridges is different from straight,No camber calculation implementation,Camber theory for curved bridges not in design check,design check;drawing,LIBRARY_SEARCH_CANDIDATE,キャンバー 曲線橋 死荷重たわみ,camber curved bridge dead load deflection,,,,土木学会図書館;国立国会図書館,,,SEARCHING,"Search camber calculation methods for steel curved girders","Check if camber = dead load deflection or includes fabrication offset"
MS-P0-08,P0,Verification,曲線橋の検証用計算例（Golden Data）,Required for verification of implementation,No curved bridge calculation examples in repository,No golden data for curved bridge verification,verification,LIBRARY_SEARCH_CANDIDATE / COMPANY_ARCHIVE_CANDIDATE,曲線鈑桁 設計計算例 日本道路協会,curved plate girder design calculation example Japan,日本道路協会;日本橋梁建設協会,,日本道路協会図書館;土木学会図書館,社内過去案件,,MISSING,"Search JRA/JBBA publications for curved bridge calculation examples","Golden test needs full intermediate values (node table, member table, forces)"
MS-P1-01,P1,Design Manual,鋼橋設計便覧（日本道路協会）,Detailed design procedures for steel bridges,Not in repository,Comprehensive steel bridge design reference,design methodology,PURCHASE_CANDIDATE,鋼橋設計便覧 日本道路協会,steel bridge design manual Japan road association,日本道路協会,丸善;ジュンク堂,国立国会図書館;日本道路協会図書館,,,MISSING,"Purchase or borrow 鋼橋設計便覧","Useful for curved bridge design procedure references"
MS-P1-02,P1,Calculation Example,曲線橋の設計計算例（日本橋梁建設協会）,Reference calculation examples for curved bridges,No curved bridge examples in repository,Curved bridge calculation examples needed,design methodology,LIBRARY_SEARCH_CANDIDATE,曲線橋 設計計算例 日本橋梁建設協会 鋼橋,curved bridge design calculation example JBBA,日本橋梁建設協会,,日本橋梁建設協会図書館;国立国会図書館,,,MISSING,"Check JBBA publications for calculation example books","May have step-by-step curved bridge design examples"
