golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0118,member.AG1,ENT-GIRDER-AG1,AG1,,AG1,,member_id,"DWG-MEM-AG1,MEMID-001",SM-055,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder AG1
GIN-0119,member.AG2,ENT-GIRDER-AG2,AG2,,AG2,,member_id,"DWG-MEM-AG2,MEMID-002",SM-056,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder AG2
GIN-0120,member.GE1,ENT-XBEAM-GE1,GE1,,GE1,,member_id,"DWG-MEM-GE1,MEMID-003",SM-057,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,End cross beam GE1
GIN-0121,member.GE2,ENT-XBEAM-GE2,GE2,,GE2,,member_id,"DWG-MEM-GE2,MEMID-004",SM-058,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,End cross beam GE2
GIN-0122,member.C1-C7,ENT-XBEAM-C1C7,C1-C7,,C1-C7,,member_id,"DWG-MEM-C1C7,MEMID-009",SM-059,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Intermediate cross beams C1-C7
GIN-0123,member.C8-C13,ENT-XBEAM-C8C13,C8-C13,,C8-C13,,member_id,"DWG-MEM-C8C13,MEMID-010",SM-060,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Intermediate cross beams C8-C13
GIN-0124,member.C14-C20,ENT-XBEAM-C14C20,C14-C20,,C14-C20,,member_id,"DWG-MEM-C14C20,MEMID-011",SM-061,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Intermediate cross beams C14-C20
GIN-0125,member.C21-C23,ENT-XBEAM-C21C23,C21-C23,,C21-C23,,member_id,"DWG-MEM-C21C23,MEMID-012",SM-062,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Intermediate cross beams C21-C23
GIN-0126,member.A-L1,ENT-BRACE-AL1,A-L1,,A-L1,,member_id,"DWG-MEM-AL1,MEMID-013",SM-063,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Lateral bracing A-L1
GIN-0127,member.A-L2,ENT-BRACE-AL2,A-L2,,A-L2,,member_id,"DWG-MEM-AL2,MEMID-014",SM-064,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Lateral bracing A-L2
