capability_id,name,classification,owner_module,source_refs,inputs,outputs,tests,limitations,apollo_reuse_potential
CAP-FRM-001,Linear static frame analysis,EXISTING_FULL,backend/engine + frontend App,backend/engine/model.py; docs/frame/analysis/05_analysis_engine_spec.md,ProjectModel (nodes members materials sections supports loads),AnalysisResult + optional CSV,backend/tests/test_api.py; test_engine_verification_cases.py,Legacy ProjectModel SoR not BFAD,HIGH — core solver path
CAP-FRM-002,Eigenvalue / modal analysis,EXISTING_FULL,backend/engine + frontend App,docs/frame/analysis/eigen-analysis.md,ProjectModel with mass case,AnalysisResult (modal),backend/tests/test_eigen_analysis.py,Not wrapped as persisted IF3 resource in all UI paths,HIGH
CAP-FRM-003,Response spectrum analysis,EXISTING_FULL,backend/engine + frontend App,docs/frame/analysis/response-spectrum-analysis.md,ProjectModel + spectrum settings,AnalysisResult,backend/tests/test_response_spectrum_analysis.py,IF3 binding gap on client run path,MEDIUM-HIGH
CAP-FRM-004,Influence line analysis,EXISTING_FULL,backend/engine + frontend App,docs/frame/analysis/influence-analysis.md,ProjectModel + influence settings,AnalysisResult,backend/tests/test_influence_analysis.py,Single-point MVP not full INFLOAD scope,MEDIUM-HIGH
CAP-FRM-005,Moving load envelope analysis,EXISTING_FULL,backend/engine + frontend App,docs/frame/analysis/influence-moving-load.md,ProjectModel + MovingLoadCase,AnalysisResult + optional CSV,backend/tests/test_moving_load_analysis.py,Not full live-load lane system,MEDIUM
CAP-FRM-006,Time history analysis (Newmark),EXISTING_PARTIAL,backend/engine/time_history + frontend timeHistory,docs/frame/analysis/time-history-analysis.md; time-history-known-limitations.md,ProjectModel + TH settings,TimeHistoryResult,backend/tests/test_time_history_*.py; frontend e2e th-analysis-revamp,SDOF-focused; binding metadata gaps; persistence partial,MEDIUM
CAP-FRM-007,Node/member/material/section/support/load domain model (legacy),EXISTING_FULL,frontend/types.ts + backend/engine/model.py,schemas/project.schema.json; docs/frame/contracts/04_input_schema.md,User edits / project.json,ProjectModel JSON,backend/tests/test_project_schema.py; frontend unit tests,Not target stable-ID BFAD model,HIGH — interim wire format
CAP-FRM-008,Bridge FEM generator / wizard,EXISTING_PARTIAL,backend bridge_fem + frontend bridge,docs/frame/modeler/bridge-fem-generator.md; bridge-model-wizard.md,BridgeDefinition / wizard params,ProjectModel,backend/tests/test_bridge_fem_generator.py; e2e bridgeDefinition.spec.ts,Mixed legacy BridgeProject path,MEDIUM
CAP-FRM-009,3D frame viewer,EXISTING_PARTIAL,frontend/viewer,docs/frame/viewer/09_3d_view_spec.md,ProjectModel + optional IF3 result,Visual overlay + selection,frontend viewer tests; e2e level0-navigation,IF3 gate required for authoritative overlays; not formal DRAFT,MEDIUM
CAP-FRM-010,Project validate/save/load/autosave API,EXISTING_FULL,backend/app/main.py + frontend api/client.ts,docs/frame/contracts/07_api_spec.md,ProjectModel,file I/O,backend/tests/test_atomic_json_persistence.py,AUTOSAVE disabled in App.tsx flag,MEDIUM
