pr_id,title,depends_on,blockers,phase1_scope,readiness
AP-00,Implementation governance and feature flags,,,governance_scaffolding,READY
AP-01,BridgeSuperstructureDesignDocument contracts,AP-00,,schema_foundation,READY
AP-02,Schema migration and validation foundation,AP-01,,schema_foundation,READY
AP-03,Apollo workspace and project entry,AP-02,,workspace_shell,READY
AP-04,Bridge basic conditions,AP-03,BLK-S1-001,geometry_shell,CONDITIONAL
AP-05,Span support and girder geometry,AP-04,BLK-S1-004,geometry_shell,CONDITIONAL
AP-06,Deck cross beam and bearing definitions,AP-05,BLK-S1-004;BLK-S1-005,geometry_shell,CONDITIONAL
AP-07,Material and section candidate registry,AP-02,BLK-S1-001;BLK-S1-002;BLK-S1-005,material_shell,NOGO_NUMERICS
AP-08,Load definition and generation rules,AP-06;AP-07,BLK-S1-001;BLK-S1-004,load_shell,NOGO_NUMERICS
AP-09,Frame generation core,AP-05;AP-06;AP-07;AP-08,BLK-S1-011,frame_export,CONDITIONAL
AP-10,SuperstructureToFramePackage export,AP-09,BLK-S1-012,frame_export,CONDITIONAL
AP-11,IF3 binding and analysis launch,AP-10,BLK-S1-012,integration,READY_PRIORITY
AP-12,Result import and design mapping,AP-11,BLK-S1-001,integration,CONDITIONAL
AP-13,Stale reanalysis and export gate,AP-11;AP-12,LIM-P03-003,integration,CONDITIONAL
AP-14,Preliminary design checks,AP-12;AP-08,BLK-S1-001;BLK-S1-002;BLK-S1-004,design_checks,NOGO_NUMERICS
AP-15,Standard section and arrangement drawings,AP-05;AP-06,LIM-P03-011;OD8-04,drawings_preview,DEFERRED
AP-16,Reports and controlled exports,AP-13,BLK-S1-012;LIM-P03-003,reports,CONDITIONAL
AP-17,Reference Bridge integration verification,AP-03;AP-09;AP-11;AP-13,BLK-S1-001,validation_harness,CONDITIONAL_NO_GOLDEN
AP-18,Phase 1 release closure,AP-00;AP-01;AP-02;AP-03;AP-04;AP-05;AP-06;AP-09;AP-10;AP-11;AP-12;AP-13;AP-16;AP-17,BLK-S1-001;BLK-S1-002;BLK-S1-011,release,DEFERRED
