component_id,path,component_name,responsibility,rendered_in,state_owner,data_source,ui_change_likelihood,change_risk,notes
AP-SHELL,frontend/src/apollo/ApolloPhase1Shell.tsx,ApolloPhase1Shell,Mode/step orchestration; header chrome; mounts all surfaces,App/ApolloRouteHost,self (mode/guidedStep/selection/viewer/...),ProjectModel props + Unit2 draft + buildApolloVisualizationModel,HIGH,HIGH,Primary UI redesign surface; ~2621 lines
AP-GUIDED,frontend/src/apollo/guided/GuidedModeShell.tsx,GuidedModeShell,G01-G15 chrome/nav/progress/footer,guided-basics only,local currentSlideId + parent project,slides.ts + buildWorkflowStateModel,HIGH,MEDIUM,Footer not sticky; progress duplicates 6-step bar
AP-SLIDES,frontend/src/apollo/guided/slides.ts,GUIDED_SLIDE_DEFINITIONS,G01-G15 definitions and adjacency,GuidedModeShell,static,DEC-S5-0009 slide table,LOW,MEDIUM,Meaning of G## must not change; presentation may wrap
AP-CHROME,frontend/src/apollo/guided/chrome.ts,buildGuidedModeChromeState,Back/next enablement and progress label,GuidedModeShell,derived,currentSlideId,MEDIUM,LOW,Likely reused for sticky footer
AP-WF-SCR,frontend/src/apollo/components/WorkflowControlScreen.tsx,WorkflowControlScreen,WF control plane; maps all steps to cards,guided-basics only,derived WorkflowStateModel,buildWorkflowStateModel,HIGH,MEDIUM,Full vertical list is UX problem #6
AP-WF-CARD,frontend/src/apollo/components/WorkflowStepCard.tsx,WorkflowStepCard,Per-step status/CTA/diagnostics,WorkflowControlScreen,props,WorkflowStepState,HIGH,MEDIUM,Master-detail likely reuses card body
AP-WF-PROG,frontend/src/apollo/components/WorkflowProgressSummary.tsx,WorkflowProgressSummary,Aggregate WF status counts,WorkflowControlScreen,props,WorkflowProgress,MEDIUM,LOW,Text-first counts; not color-only
AP-WF-BADGE,frontend/src/apollo/components/WorkflowStatusBadge.tsx,WorkflowStatusBadge,Status symbol+label,WorkflowStepCard,props,status enum,LOW,LOW,A11y: text not color-only
AP-WF-DIAG,frontend/src/apollo/components/WorkflowDiagnosticsPanel.tsx,WorkflowDiagnosticsPanel,Step diagnostics L1/L3,WorkflowStepCard,props,diagnostics,MEDIUM,LOW,Priority of diagnostics for redesign
AP-AUTH,frontend/src/apollo/components/AuthorizationBanner.tsx,AuthorizationBanner,L1 JA auth banner + L3 TechnicalDetails fold,~18 call sites,props keys,i18n authorization catalog,HIGH,MEDIUM,Presentation only; NOT_GRANTED semantics frozen
