property_id,material_category,material_grade,property_name,symbol,value,unit,value_type,source_document,source_edition,source_volume,source_clause,source_table,applicability,thickness_range,temperature_range,age_or_strength_condition,partial_factor_role,adoption_status,evidence_location,reviewer,notes
MAT-DS03-001,structural_steel,grade_unspecified,grade_identity,—,,,designation_lookup,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder|stiffener|bracing,all_plate_thicknesses,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-005); licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) JIS product standard identity resolved per DEC-DS02-0001 evidence package (a)-(d); (b) human visual confirmation of 道示 II grade-selection clause/table against licensed Ver2.00+20260331 PDF; (c) supervisor DEC-DS03-xxxx linking grade to Phase 1 member class. Acquisition: licensed 道示 PDF + licensed JIS primary via EXTERNAL_JIS_RESEARCH. Blocker ref BLK-S1-005. Do not infer grade from RBS page memos or schema_draft.json examples.
MAT-DS03-002,structural_steel,grade_unspecified,yield_strength,Fy,,,thickness_dependent_table,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder,plate_thickness_bands_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-002; BLK-S1-005); licensed JIS product primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-001 grade_identity unlocked; (b) cited JIS thickness/yield table with JISC metadata; (c) 道示 II clause/table locator with human visual confirmation. Resistance partial factors are separately gated at DS-05 and applied in verification — not part of DS-03 source adoption. Phase 1B design-check input; not Phase 1A elastic analyzer input.
MAT-DS03-003,structural_steel,grade_unspecified,tensile_strength,Fu,,,thickness_dependent_table,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder,plate_thickness_bands_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-002; BLK-S1-005); licensed JIS product primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-001 unlocked; (b) licensed JIS tensile table for adopted grade/thickness; (c) 道示 II clause locator with human visual confirmation. Phase 1B; thickness dependence mandatory when plate girder flanges/web differ.
MAT-DS03-004,structural_steel,grade_unspecified,elastic_modulus,E,,,constant_or_temperature_table,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder|stiffener,all,service_temperature_unspecified,elastic_analysis,analysis_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011; licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition); docs/apollo/design-standards/02_jis/jis_source_register.csv (if 道示 cites JIS),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 II elastic-modulus provision located with human visual confirmation; (b) if provision cites JIS elastic constants adopt matching JIS primary; (c) E-G-nu triplet consistency policy satisfied per material_source_report.md for structural_steel without unstated numerics. Phase 1A analyzer stiffness input subject to DS-06 I/O confirmation.
MAT-DS03-005,structural_steel,grade_unspecified,shear_modulus,G,,,constant_or_derived,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder,all,service_temperature_unspecified,elastic_analysis,analysis_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011; licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition); docs/apollo/design-standards/02_jis/jis_source_register.csv (if 道示 cites JIS),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-004 unlocked or explicit 道示/G derived-from-E-nu rule evidenced; (b) no independent G from SPACER built-ins or textbook defaults. Phase 1A analyzer input subject to DS-06 confirmation; must be consistent with adopted E and nu per DS-03 policy when all three are required.
MAT-DS03-006,structural_steel,grade_unspecified,poisson_ratio,ν,,,constant,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder,all,service_temperature_unspecified,elastic_analysis,analysis_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011; licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition); docs/apollo/design-standards/02_jis/jis_source_register.csv (if 道示 cites JIS),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 II Poisson ratio provision with human visual confirmation; (b) E-G-nu triplet consistency verified at adoption for structural_steel. Phase 1A analyzer input subject to DS-06 confirmation. Prohibited: 0.3 or other unstated defaults.
MAT-DS03-007,structural_steel,grade_unspecified,thermal_expansion_coefficient,α,,,constant_or_temperature_table,道路橋示方書・同解説,Ver2.00+20260331,I|II,,,main_girder|cross_girder,all,temperature_range_unspecified,thermal_effects_if_adopted,analysis_action_or_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/01_target_standard/applicable_volumes_and_sections.md; licensed 道路橋示方書 I|II Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) governing 道示 thermal-expansion clause identified for Phase 1 load/temperature case set (DS-04); (b) temperature range applicability recorded. Phase 1A only if thermal load cases adopted at DS-04; otherwise matrix lane NOT_APPLICABLE.
MAT-DS03-008,structural_steel,grade_unspecified,unit_weight,γ,,,constant,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder|stiffener|bracing,all,service_temperature_unspecified,dead_load,analysis_action,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/ready_requirements.csv (location memos only); licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 II unit-weight provision with human visual confirmation; (b) dimensional unit policy in material_source_report.md#dimensional-units-conversion-rounding-and-storage applied at storage. Phase 1A dead-load input subject to DS-06 I/O confirmation. RBS/DDB PNG memos are not numeric authority.
MAT-DS03-009,structural_steel,grade_unspecified,mass_density,ρ,,,conversion_pending_g_policy,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder|cross_girder,all,service_temperature_unspecified,dead_load,analysis_action,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,material_source_report.md#dimensional-units-conversion-rounding-and-storage; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011,Composer 2.5 DS-03 worker,Acceptance blocked until: (a) sourced gravity/unit conversion policy recorded in DS-03 dimensional policy; (b) DS-06 confirms mass density is a required Phase 1A input; (c) MAT-DS03-008 adopted with stated γ before any ρ conversion. Acquisition: obtain the DS-06 physical I/O contract and create a supervisor DEC-DS03-xxxx that cites the authoritative gravity source and records the unit conversion rule. No derived ρ until policy and DS-06 applicability are evidenced. Blocker ref BLK-S1-011.
MAT-DS03-010,structural_steel,grade_unspecified,thickness_dependent_strength_bands,—,,,lookup_table,道路橋示方書・同解説,Ver2.00+20260331,II,,,main_girder_flange|web|stiffener,thickness_bands_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS product primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-001 grade unlocked; (b) JIS plate thickness classification table for adopted grade; (c) 道示 mapping of thickness bands to design strengths evidenced. Governs MAT-DS03-002/003 applicability by member plate thickness.
