candidate_id,golden_id,field_path,promotion_status,source_priority,confidence,domain
RP-001,G-RPT-0001,report.chapter.front_matter,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-005,G-RPT-0002,report.chapter.CH1-PE-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-154,G-RPT-0003,report.chapter.CH2-PE-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-295,G-RPT-0004,report.chapter.CAL-P00115-CAL-SEC-3.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1041,G-RPT-0005,report.chapter.CAL-P00871-CAL-SEC-ch4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1404,G-RPT-0006,report.chapter.CH5-PE-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-007,G-RPT-0007,report.section.CH1-PE-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-038,G-RPT-0008,report.section.CH1-PE-032,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-043,G-RPT-0009,report.section.CH1-PE-036,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-045,G-RPT-0010,report.section.CH1-PE-037,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-047,G-RPT-0011,report.section.CH1-PE-038,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-049,G-RPT-0012,report.section.CH1-PE-039,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-157,G-RPT-0013,report.section.CH2-PE-003,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-160,G-RPT-0014,report.section.CH2-PE-005,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-162,G-RPT-0015,report.section.CH2-PE-006,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-164,G-RPT-0016,report.section.CH2-PE-007,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-166,G-RPT-0017,report.section.CH2-PE-008,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-168,G-RPT-0018,report.section.CH2-PE-009,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-170,G-RPT-0019,report.section.CH2-PE-010,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
