blocker_id,source_gate,category,description,affected_modules,current_status,evidence_required,evidence_location,model_resolvable,human_action_required,resolution_status,decision_id,notes
PA-OQ-001,GATE-NR-01,道示条文,道示 R7 (I〜V) 条文・表・式の目視確認が未実施。画像PDFのみでテキスト層なし。,all_checks (VER/LS/LV/DTS),BLOCKED,対象巻の条文・表番号・式の人間目視確認記録,local-archive/restricted-pdf/bridge-standards/260726_設計基準/,NO,YES (人間目視確認),READY_FOR_HUMAN_REVIEW,DEC-PB-0004 (P2),確認票 02_standard_visual_review_workbook.md 作成済み (2026-08-02)。PDF は画像スキャンでテキスト層なし。目視完了まで数値採択しない
PA-OQ-002,GATE-NR-01,ライセンスPDF所在,外部参照パス /home/masaharu/Projects/bridge-standards-research/260726_設計基準/ が現環境に存在しない。実在パスは local-archive/restricted-pdf/bridge-standards/260726_設計基準/。,00_source_inventory.csv,BLOCKED,実在パスの参照整合確認と正本パス確定,local-archive/restricted-pdf/bridge-standards/260726_設計基準/,YES (実在確認済み),NO (パス確定のみ),RESOLVED,DEC-PB-0003 (P1),P1 で実在確認。source inventory の file_path は既に実在パスを記録。restricted-pdf 11 行・apollo unknown-rights 21 行すべてパス存在。配布禁止・権利注記を遵守
PA-OQ-003,GATE-NR-01,JIS,JIS 番号が 1 件も確定していない (JIS-001..034)。材料強度・鋼種の確定に必須。,material (DS-03),BLOCKED,ライセンス JIS 一次資料の取得と番号確認,license_jis_source (未取得),NO,YES (一次資料取得+確認),READY_FOR_HUMAN_REVIEW,DEC-PB-0004 (P2),取得計画 03_errata_and_jis_acquisition_plan.md 作成済み (2026-08-02)。34 行全て合成プレースホルダ。道示引用 JIS の目視特定が必要
PA-OQ-004,GATE-NR-01,正誤表,2026-03-31 正誤表の電子/紙未反映項目の内容把握が未実施。,edition (DS-01),BLOCKED,公式正誤表 PDF の内容確認記録,https://www.road.or.jp/img/books/corrigenda/pdf/20260331.pdf,NO,YES (内容確認),READY_FOR_HUMAN_REVIEW,DEC-PB-0004 (P2),URL 到達性のみモデル確認済み (HTTP 200 / 771KB)。内容抽出・適用は未実施。02/03 の確認票・計画に反映
PA-OQ-005,GATE-NR-03,設計計算例,非合成RC床版鋼鈑桁（多主桁）の道示 R7 対応正式計算例がローカルに存在しない。現存は合成桁・箱桁 (H29) のみ。,all_checks,BLOCKED,正式計算例または独立検算資料の入手,local-archive/restricted-pdf（現存は H29 合成・箱桁のみ）,NO,YES (計算例入手 or 独立検算),READY_FOR_HUMAN_REVIEW,DEC-PB-0006 (P4),P4 で Golden 独立検証実行計画 05 を作成済み (2026-08-02)。独立誘導・承認は未実施
PA-OQ-006,GATE-NR-03,独立計算結果,独立機関・ツールによる計算結果 (analytical golden / external machine evidence) が未取得。,all_checks,BLOCKED,EA-03 外部実行パッケージの実行結果,evidence-collection EA-03/EA-04,NO,YES (外部実行),READY_FOR_HUMAN_REVIEW,DEC-PB-0006 (P4),P4 で独立検証実行計画 05 を作成済み (2026-08-02)。EA-03 実行・証跡取得は未実施
PA-OQ-007,GATE-NR-01,再凍結完全性,phase1_design_expansion_refreeze に decision_log.md / open_questions_and_blockers.md が存在しない。,phase1_design_expansion_refreeze,BLOCKED,既存文書（scope_and_architecture_freeze 等）からの安全な状態確認,docs/apollo/phase1_design_expansion_refreeze/,PARTIAL (存在確認済み),NO (既存文書の状態記録),PARTIALLY_RESOLVED,DEC-PB-0003 (P1),P1 で存在確認。decision_log.md / open_questions_and_blockers.md は実在しない。無いものを捏造せず「不在」を記録し、決定情報は scope_and_architecture_freeze / implementation_sequence / local_verification_report の本文に埋め込まれていることを確認。復元は Phase A+ の正本から参照整合で行う
PA-OQ-008,GATE-NR-01,単位体積重量,VVS02 のユーザー入力単位重量 (steelUnitWeight / rcUnitWeight) を正式値へ昇格しない。正式値は道示採択を待つ。,steel_weight / dead_load,BLOCKED,道示 II/III の材料値採択,P2 材料確認票,NO,YES (材料値確認),READY_FOR_HUMAN_REVIEW,DEC-PB-0004 (P2),確認票 VR-R7-I-003 の対象 (単位体積重量)。目視完了まで正式値へ昇格しない
PA-OQ-009,GATE-NR-02,解析方式,主桁・床組・ブレースの解析モデル化（荷重分配・剛域・偏心等）の方式と解析器物理契約が未決定。,analysis (04_analysis_model_rules.md),BLOCKED,解析器同一性・物理契約の文書化と機械証跡,backend/engine/,PARTIAL (コード観察可能),NO (リポジトリ側はコード観察完了。外部契約は人間/外部証跡),PARTIALLY_RESOLVED,DEC-PB-0005 (P3),P3 で solver 契約 04 を作成 (2026-08-02)。リポジトリ solver の入出力・DOF・座標・要素剛性・荷重・反力・部材端力・IF3 チェックサム/stale をコード・テスト観察で文書化。外部解析器契約・単位束縛・浮動小数点再現性は BLOCKED 維持
PA-OQ-010,GATE-NR-01,旧Apollo版,旧Apollo マニュアルの版・発行年が不明。,legacy_reference (MT-*),BLOCKED (参考 REFERENCE_ONLY),版確定は数値根拠としては不要。REFERENCE_ONLY 維持。,local-archive/unknown-rights/apollo/,NO (数値根拠として不要),NO (機能構成の参考のみ),RESOLVED (REFERENCE_ONLY 維持),DEC-PB-0003 (P1),P1 で unknown-rights 21 行のパス存在確認。全マニュアル REFERENCE_ONLY、機能構成・処理順の参考のみ。数値根拠へ昇格しない
