scenario_id,probe_id,canonical_scenario_ref,blocker_id,required_operator_input,required_invocation,required_input_artifact,checksum_requirement,acceptance_criteria,package_status,execution_status
AN-ERR-001,AN-PRB-001,Valid completion,AN-BLK-002,REQUIRED_OPERATOR_INPUT,Vendor-supported captured invocation,Minimal valid fixed fixture,SHA-256 of executable input outputs and logs,Success signal plus fresh checksum-bound parseable outputs and no failure diagnostic,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-002,AN-PRB-002,Missing input,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Fixed invocation with missing path,Recorded nonexistent path,SHA-256 of executable and retained artifacts,Non-success is explicit and no authoritative output exists,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-003,AN-PRB-003,Malformed node input,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Fixed invocation,Checksum-fixed malformed node fixture,SHA-256 of executable input and outputs,Malformed node input cannot result in authoritative success,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-004,AN-PRB-005,Unsupported feature,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Fixed invocation,Checksum-fixed unsupported-feature fixture,SHA-256 of executable input and outputs,Unsupported scope is explicit with no silent omission,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-005,AN-PRB-011,License unavailable,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Vendor-approved procedure,Minimal valid fixed fixture,SHA-256 of executable input and logs,Failure cannot be mistaken for analysis success,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-006,AN-PRB-021,License expired,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Vendor-approved procedure,Minimal valid fixed fixture,SHA-256 of executable input and logs,Expired state is distinguishable from valid completion,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-007,AN-PRB-009,Timeout,AN-BLK-007,REQUIRED_OPERATOR_INPUT,Supported invocation with controlled supervisor timeout,Long-running fixed fixture,SHA-256 of executable input logs and partial files,Timeout is non-success and publishes no authoritative result,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-008,AN-PRB-010,Cancellation,AN-BLK-007,REQUIRED_OPERATOR_INPUT,Vendor-supported cancellation path,Long-running fixed fixture,SHA-256 of executable input logs and partial files,Cancel is non-success and cleanup is complete,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-009,AN-PRB-022,Crash or signal termination,AN-BLK-007,REQUIRED_OPERATOR_INPUT,Fixed invocation,Controlled vendor-approved failure fixture or captured incident,SHA-256 of executable input and retained artifacts,Crash cannot publish or retain selectable success output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-010,AN-PRB-008,Output collision,AN-BLK-006,REQUIRED_OPERATOR_INPUT,Fixed invocation,Valid fixture plus seeded output set,SHA-256 of executable input seed and outputs,Overwrite behavior is deterministic and never mixes runs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-011,AN-PRB-013,Malformed native output,AN-BLK-006,REQUIRED_OPERATOR_INPUT,Documented import invocation,Controlled corrupt copy of genuine output,SHA-256 of genuine corrupt imported artifacts,Output rejected without CSV PDF mock or stale fallback,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-012,AN-PRB-012,Concurrent license exhaustion,AN-BLK-007,REQUIRED_OPERATOR_INPUT,Two simultaneous supported invocations,Two checksum-distinct valid fixtures,SHA-256 of all executables inputs logs and outputs,Each run has unambiguous status and no cross-run data,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-013,AN-PRB-006,Zero-size model,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Fixed invocation,Checksum-fixed empty model accepted by parser,SHA-256 of executable input and retained artifacts,Fail-closed with no successful or stale output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-014,AN-PRB-014,Locale and encoding difference,AN-BLK-003,REQUIRED_OPERATOR_INPUT,Same invocation under two supported locales,Same checksum-fixed minimal model,SHA-256 of executable input and each locale output,Locale either preserves semantics under declared encoding or fails explicitly,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-015,AN-PRB-015,Repeatability,AN-BLK-008,REQUIRED_OPERATOR_INPUT,Three isolated serial runs,One checksum-fixed valid fixture,SHA-256 of executable input and every output,Three runs meet predefined normalization and tolerance rules,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-ERR-016,AN-PRB-004,Malformed member input,AN-BLK-005,REQUIRED_OPERATOR_INPUT,Fixed invocation,Checksum-fixed malformed member fixture,SHA-256 of executable input and outputs,Malformed member input cannot result in authoritative success,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
