limit_id,requirement_id,quantity,limit_value,unit,comparison_rule,applicability,source,adoption_status,evidence_package,notes
LV-DS05-005,PR-DS05-005,local_buckling_slenderness_limit_pending_R7_evidence,,,,main_girder|local_buckling|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-SCOPE-P1B,comparison_rule blank: no comparison form adopted; limit_value and unit blank pending R7 evidence
LV-DS05-006,PR-DS05-006,global_buckling_slenderness_limit_pending_R7_evidence,,,,main_girder|global_buckling|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-SCOPE-P1B,comparison_rule blank: no comparison form adopted
LV-DS05-007,PR-DS05-007,lateral_torsional_buckling_limit_pending_R7_evidence,,,,main_girder|ltb|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-SCOPE-P1B,comparison_rule blank: no comparison form adopted
LV-DS05-008,PR-DS05-008,deflection_serviceability_limit_pending_R7_evidence,,,,main_girder|serviceability|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06; PKG-SCOPE-P1B,comparison_rule blank: no comparison form adopted
LV-DS05-011,PR-DS05-011,stability_slenderness_limit_pending_R7_evidence,,,,cross_girder|stability|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-SCOPE-P1B,comparison_rule blank: no comparison form adopted
LV-DS05-012,PR-DS05-012,sway_bracing_compression_slenderness_limit_pending_R7_evidence,,,,sway_bracing|compression_stability|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V,comparison_rule blank: no comparison form adopted; blocked pending supervisor Phase1B member table
LV-DS05-015,PR-DS05-015,lateral_bracing_stability_slenderness_limit_pending_R7_evidence,,,,lateral_bracing|stability|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V,comparison_rule blank: no comparison form adopted
LV-DS05-018,PR-DS05-018,rc_deck_serviceability_limit_pending_R7_evidence,,,,rc_deck|serviceability|PHASE1_REQUIRED|non_composite,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06,comparison_rule blank: no comparison form adopted
LV-DS05-019,PR-DS05-019,minimum_reinforcement_limit_pending_R7_evidence,,,,rc_deck|detailing|PHASE1_REQUIRED|non_composite,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03,comparison_rule blank: no comparison form adopted
LV-DS05-020,PR-DS05-020,bearing_pressure_limit_pending_R7_evidence,,,,bearing_boundary|PHASE1_REFERENCE,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06,comparison_rule blank: no comparison form adopted; boundary-only reference posture
LV-DS05-021,PR-DS05-021,bearing_movement_rotation_limit_pending_R7_evidence,,,,bearing_boundary|PHASE1_REFERENCE,道路橋示方書・同解説,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06,comparison_rule blank: no comparison form adopted
