trace_id,source,chapter_or_page,source_function,phase1_target,planned_module,status,numeric_authority,notes
MT-000,SuperDesigner/SuperDrawing総合マニュアル,pp.7-8,Apollo構成・設計DB・計算書連携,設計データ中心の統合アーキテクチャ,AP-DX-01/AP-DX-20,FROZEN,NOT_APPLICABLE,"旧Access/RTF構成は参考。現行はBSDD/ReportModelへ置換"
MT-001,SuperDesigner/SuperDrawing総合マニュアル,p.11,制御画面による実行順序ガイド,ワークフロー状態と実行可否表示,AP-DX-10/AP-DX-21,PLANNED,NOT_APPLICABLE,"実行推奨・可能・不可の概念を状態機械で再現"
MT-002,SuperDesigner/SuperDrawing総合マニュアル,pp.13-14,横断部材指定・計算書出力,構造部材ロールとReportModel,AP-DX-05/AP-DX-20,PLANNED,NOT_AUTHORIZED,"例示値は採用しない"
MT-003,SuperDesigner/SuperDrawing総合マニュアル,pp.18-20,設計データから3D部材・図面・材料出力,Drawing Semantic Modelと鋼重出力,AP-DX-16/AP-DX-19,PLANNED,NOT_APPLICABLE,"旧GSP/DWG変換そのものは互換対象外"
MT-004,SuperDesigner/SuperDrawing総合マニュアル,p.22,適用範囲・設計計算機能,Phase 1対象形式の境界,AP-DX-00,FROZEN,NOT_APPLICABLE,"旧製品の広い適用範囲はPhase 1へ持ち込まない"
MT-005,SuperDesigner/SuperDrawing総合マニュアル,p.23,設計単体プログラム一覧,設計機能のモジュール分割,AP-DX-11〜18,FROZEN,NOT_AUTHORIZED,"Slab/Girder/Floor/Stif/Splice等を責務分割の参考にする"
MT-006,SuperDesigner/SuperDrawing総合マニュアル,p.24,図面描画対象と制限,Phase 1図面一覧・制限表示,AP-DX-19,PLANNED,NOT_APPLICABLE,"製作詳細図完全自動化は対象外"
MT-007,Grider_I_00,全体目次,第1章〜第13章の設計フロー,Phase 1設計機能全体,AP-DX-00〜21,FROZEN,NOT_APPLICABLE,"機能分解の正本索引"
MT-010,Grider_I_01,第1章,新規作成・既存データ・計算書,プロジェクト作成・ワークフロー・成果物,AP-03/AP-DX-20,PARTIAL,NOT_APPLICABLE,"既存Apollo workspaceを再利用"
MT-020,Grider_I_02,第2章,中心線・幅員・支承線・横桁線・桁作成,GeometryModelとRoad参照,既存Road/AP-04/AP-05,PARTIAL,NOT_APPLICABLE,"現行Road/LINERと重複実装しない"
MT-021,Grider_I_02,第2章,縦断・横断・高さ・座標変換,3D形状生成と座標コンテキスト,AP-DX-02,PARTIAL,NOT_APPLICABLE,"現行3D表示を基準にIDバインディングを追加"
MT-030,Grider_I_03,第3章,床版厚・ハンチ高・ハンチ重量,RcDeck/Haunchと死荷重生成,AP-DX-04/AP-DX-08,PLANNED,NOT_AUTHORIZED,"画面例の80mm等は標準値として使わない"
MT-040,Grider_I_04,第4章,管理情報・橋梁形式・材料,ProjectAndGovernance/MaterialDefinition,AP-DX-01,PARTIAL,NOT_AUTHORIZED,"材料定数は採用決定が必要"
MT-041,Grider_I_04,第4章,構造部材・床版形状・支承条件,StructuralDesignModel,AP-DX-01/AP-DX-04/AP-DX-05,PLANNED,NOT_APPLICABLE,"部材ロールをstable IDで管理"
MT-042,Grider_I_04,第4章,路面荷重・その他荷重・水平荷重,LoadModel,既存AP-08/AP-DX-08,PARTIAL,NOT_AUTHORIZED,"荷重値・係数は未採択"
MT-043,Grider_I_04,第4章,主桁桁高・主桁断面,主桁断面セグメント,AP-DX-03,PLANNED,NOT_AUTHORIZED,"断面入力と正式照査を分離"
MT-044,Grider_I_04,第4章,垂直・水平補剛材,Stiffener entity,AP-DX-06,PLANNED,NOT_AUTHORIZED,"補剛材種類と位置の構造化"
MT-045,Grider_I_04,第4章,横桁基本寸法,床組モデル,AP-DX-05,PLANNED,NOT_AUTHORIZED,"解析部材との対応が必要"
MT-046,Grider_I_04,第4章,添接条件,Splice entity,AP-DX-07,PLANNED,NOT_AUTHORIZED,"手入力配置を先行"
MT-050,Grider_I_05,第5章,RC床版・照査位置,RcDeck check locations,AP-DX-04/AP-DX-12,PLANNED,NOT_AUTHORIZED,"照査横断をstable IDで保存"
MT-051,Grider_I_05,第5章,かぶり・フランジ厚・ハンチ内鉄筋,床版詳細入力,AP-DX-04,PLANNED,NOT_AUTHORIZED,"非合成属性を固定"
MT-052,Grider_I_05,第5章,床版荷重・主鉄筋・配力鉄筋,床版照査,AP-DX-12,PLANNED,NOT_AUTHORIZED,"採用基準と正解例が必要"
MT-053,Grider_I_05,第5章,支点補強筋,支点上床版補強,AP-DX-12,PLANNED,NOT_AUTHORIZED,"設計方式の選定が必要"
MT-060,Grider_I_06,第6章,主桁仮定剛度,解析モデル剛性生成,AP-DX-08,PARTIAL,NOT_AUTHORIZED,"断面からの剛性生成と仮定値を区別"
MT-061,Grider_I_06,第6章,横桁・対傾構仮定剛度,床組解析モデル,AP-DX-08,PLANNED,NOT_AUTHORIZED,"部材マッピングが必要"
MT-062,Grider_I_06,第6章,仮定鋼重,provisional steel weight,AP-DX-16,PLANNED,NOT_AUTHORIZED,"設計鋼重と分離"
MT-063,Grider_I_06,第6章,骨組任意指定,解析モデルoverride,将来拡張,DEFERRED,NOT_APPLICABLE,"Phase 1では限定的overrideのみ"
