conflict_id,description,subsystem_a,subsystem_b,current_behavior,evidence,resolution_plan,phase
RC-001,station->XYZ computation owned by both LINER and Apollo-side generators,LINER (coordinate3d/pointAtStationOffset),Apollo (bridge_fem_generator + structuralModelGenerator),LINER authoritative for alignment math; Apollo generators build flat straight-only grids without LINER consultation,frontend/src/liner/core/coordinate3d.ts:411 vs backend/engine/bridge_fem_generator.py:160,Alignment Connector + Geometry Engine own station->bridge-local; Apollo generators consume GeometrySnapshot,P6-1
RC-002,girder line / girder offset computed independently in 7 places (1 divergent),Apollo bridgeStructure,Apollo drawing+report+visualization,centered formula in 5 places + defaults in 1 + non-centered in report,geometryFormulas.ts:108 vs reportModelContinuous.ts:239,Geometry Engine owns girder lines; consumers read GeometrySnapshot,P6-1
RC-003,support skew computed by 2-3 snapshot producers that disagree,Substructure SupportPlacementEngine,Substructure planning UI (realtime+viewport),realtime/fallback snapshots axis-aligned and skip skew; canonical engine not used by UI,SupportPlacementEngine.ts:87 vs useSubstructureRealtimeUpdate.ts:48,Geometry Engine owns support placement; Substructure Connector consumes GeometrySnapshot,P6-1
RC-004,independent vertical elevation datums across subsystems,3D solids (Z=0 top-flange-upper-face),Drawing (y=0 bottom flange),FEM project (z=0 flat),bridgeStructureSolids.ts:77 vs drawingModel.ts:112,Coordinate contract freezes one bridge-local vertical datum; connectors map per-consumer,P6-0-C
RC-005,viewer axis convention split (z-up verbatim vs y-up swapped),Apollo solids viewer,frame-model viewer,LINER policy z=-y applied only on frame path,coordinateTransform.ts:86 vs ApolloVisualizationRenderer verbatim,3D Connector defines single display transform,P6-0-C
RC-006,m->mm conversion differs (STL rounds, DXF raw),STL export,Drawing DXF export,apolloStlExport toMillimeters round vs drawingExport toMm raw,apolloStlExport.ts:622 vs drawingExport.ts:81,Export Connector defines single unit-conversion policy,P6-0-C
RC-007,drawing set re-derives layout from raw draft (simple-span only) while BSDD/solids support continuous,Apollo drawing set,Apollo BSDD/solids,drawingSetModel computes own girder/support/crossBeam stations,drawingSetModel.ts:672 vs generateBsdd.ts,Geometry Snapshot as single layout source; drawing consumes snapshot,P6-1
RC-008,support station authority duplicated,Apollo layout contract (buildSupportsFromSpans),Drawing set + Report,three independent support-station derivations,layoutValidation.ts:26 vs drawingSetModel + reportModelContinuous,Geometry Engine owns support placement; connectors consume,P6-1
RC-009,skew units rad vs deg across substructure,frontend model + project.schema (skewRad),substructure schemas + prototype (skewAngle deg),rad on frontend, deg on schema/prototype,project.schema.json:2574 vs schemas/substructure/substructure-project.schema.json:93,Coordinate contract fixes canonical angle unit (rad); source deg preserved,P6-0-C
RC-010,hidden coordinate transforms not declared,Apollo solids (frameFromStartEnd/applySolidFrame),Viewer/export,re-orientation + quaternion-from-basis + origin shift not documented,bridgeStructureSolids.ts:457, Export apolloStlExport.ts:31,declare all transforms in coordinate/connector contracts,P6-0-C
RC-011,coordinate context confidence unknown on legacy load,persistence legacy adapter,coordinate-context contract,zero-origin synthetic context with confidenceStatus unknown,legacy/frame/adapter.ts:862,Geometry Engine establishes verified coordinate context from GeometrySnapshot,P6-1
RC-012,BridgeDefinition sign policy applied but not persisted,structuralModelGenerator sign application,ProjectModel,per-axis sign override applied to nodes with no provenance,structuralModelGenerator.ts:218,coordinate contract freezes sign; GeometrySnapshot records sign provenance,P6-0-C
