golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-AD-0001,adopted_design,adopted_section.ag1.sec-1.uflg,ENT-GIRDER-AG1,620 x 22,mm,,,SECTION_PROPERTY,"ADV-001,SRC-calculation_chapter_03_section_3_2_values-029",AD-001,calc_pdf_p297,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,AG1 Sec-1 upper flange.
G-AD-0002,adopted_design,adopted_section.ag1.sec-1.web,ENT-GIRDER-AG1,2537 x 14,mm,,,SECTION_PROPERTY,"ADV-002,SRC-calculation_chapter_03_section_3_2_values-030",AD-002,calc_pdf_p297,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,AG1 Sec-1 web.
G-AD-0003,adopted_design,adopted_section.ag1.sec-1.lflg,ENT-GIRDER-AG1,680 x 21,mm,,,SECTION_PROPERTY,"ADV-003,SRC-calculation_chapter_03_section_3_2_values-031",AD-003,calc_pdf_p297,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,,CONF-P2II-001,H29_REFERENCE,AG1 Sec-1 lower flange (calc width 680 mm; drawing 700 mm CONF-P2II-001). Adoption based on calc value; drawing plate width 700 mm differs (CONF-P2II-001).
G-AD-0004,adopted_design,adopted_section.ag1.sec-3.uflg,ENT-GIRDER-AG1,620 x 27,mm,,,SECTION_PROPERTY,"ADV-004,SRC-calculation_chapter_03_section_3_2_values-036",AD-004,calc_pdf_p297,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,AG1 Sec-3 upper flange (max positive moment).
G-AD-0005,adopted_design,adopted_section.ag1.sec-3.lflg,ENT-GIRDER-AG1,680 x 21,mm,,,SECTION_PROPERTY,"ADV-005,SRC-calculation_chapter_03_section_3_2_values-037",AD-005,calc_pdf_p297,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,,CONF-P2II-001,H29_REFERENCE,AG1 Sec-3 lower flange. Adoption based on calc value; drawing plate width 700 mm differs (CONF-P2II-001).
G-AD-0006,adopted_design,adopted_section.ag1.sec-6.uflg,ENT-GIRDER-AG1,620 x 39,mm,,,SECTION_PROPERTY,"ADV-006,SRC-calculation_chapter_03_section_3_2_values-048",AD-006,calc_pdf_p297,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,"AG1 Sec-6 upper flange (support, max negative moment)."
G-AD-0007,adopted_design,adopted_section.ag1.sec-6.lflg,ENT-GIRDER-AG1,680 x 47,mm,,,SECTION_PROPERTY,"ADV-007,SRC-calculation_chapter_03_section_3_2_values-049",AD-007,calc_pdf_p297,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,,CONF-P2II-001,H29_REFERENCE,AG1 Sec-6 lower flange SM520-H (support). Adoption based on calc value; drawing plate width 700 mm differs (CONF-P2II-001).
G-AD-0008,adopted_design,adopted_dimension.bridge_length,ENT-DECK,134.001,m,134.001,m,bridge_length,"CH1-VAL-005,GEO-001,DWG-DIM-S001-001",AD-037,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Overall bridge length on ACL; drawing 134001 mm.
G-AD-0009,adopted_design,adopted_dimension.girder_length_ag1,ENT-DECK,133.151,m,133.151,m,girder_length,"CH1-VAL-006,GEO-008",AD-038,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Girder length AG1 (calc 133.151 m; drawing 133151 mm).
G-AD-0010,adopted_design,adopted_dimension.girder_length_ag2,ENT-DECK,132.847,m,132.847,m,girder_length,"SRC-calculation_chapter_03_section_3_2_values-020,GEO-008",AD-039,calc_pdf_p297,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Girder length AG2 (calc 132.847 m; drawing 132847 mm).
G-AD-0011,adopted_design,adopted_dimension.span_1,ENT-DECK,40.201,m,40.201,m,span_length,"CH1-VAL-007,GEO-002,DWG-DIM-S001-003",AD-040,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Span length 1 (ACL).
G-AD-0012,adopted_design,adopted_dimension.span_2,ENT-DECK,51.000,m,51.000,m,span_length,"CH1-VAL-008,GEO-003,DWG-DIM-S001-003",AD-041,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Span length 2 (ACL).
G-AD-0013,adopted_design,adopted_dimension.span_3,ENT-DECK,40.200,m,40.200,m,span_length,"CH1-VAL-009,GEO-004,DWG-DIM-S001-003",AD-042,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Span length 3 (ACL).
G-AD-0014,adopted_design,adopted_dimension.total_width,ENT-DECK,8.010,m,8.010,m,total_width,"CH1-VAL-010,GEO-005,DWG-DIM-S009-006",AD-043,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Deck total width; drawing 8031.7/8010.3/8010 mm at S1/S2/PR1.
G-AD-0015,adopted_design,adopted_dimension.effective_width,ENT-DECK,7.000,m,7.000,m,effective_width,"CH1-VAL-011,GEO-006",AD-044,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Effective roadway width 7.000 m (calc only).
G-AD-0016,adopted_design,adopted_dimension.girder_spacing,ENT-DECK,4500,mm,4.5,m,girder_spacing,"DWG-DIM-S001-004,CH1-TBL-064",AD-045,calc_pdf_p10,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Main girder spacing 4500 mm.
G-AD-0017,adopted_design,adopted_dimension.girder_height,ENT-DECK,2700,mm,2.7,m,girder_height,"DWG-DIM-S001-005,SRC-calculation_chapter_03_section_3_2_values-009",AD-046,calc_pdf_p293,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Reference girder height 2700 mm.
G-AD-0018,adopted_design,adopted_dimension.deck_thickness,ENT-DECK,230,mm,0.23,m,deck_thickness,"CH1-VAL-022,CH2-VAL-022,DWG-DIM-S009-007",AD-047,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Composite deck thickness 230 mm.
G-AD-0019,adopted_design,adopted_dimension.pavement_thickness,ENT-DECK,80,mm,0.08,m,DIMENSION,"CH1-VAL-021,DWG-DIM-S009-008",AD-048,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Pavement thickness 80 mm.
G-AD-0020,adopted_design,adopted_dimension.stud_size,ENT-DECK,φ16×160,mm,,,DIMENSION,"ADV-008,CH2-VAL-030",AD-049,calc_pdf_p19,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Composite-deck stud size phi16x160 mm.
G-AD-0021,adopted_design,adopted_dimension.main_rebar,ENT-DECK,D19@100,,,,IDENTIFIER,"ADV-009,CH2-VAL-034",AD-050,calc_pdf_p20,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Composite slab main reinforcement D19@100.
G-AD-0022,adopted_design,adopted_dimension.distribution_rebar_support,ENT-DECK,D22@125,,,,IDENTIFIER,"ADV-010,CH2-VAL-037",AD-051,calc_pdf_p20,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Distribution rebar at intermediate support D22@125.
G-AD-0023,adopted_design,adopted_dimension.rib_height,ENT-DECK,100,mm,0.1,m,DIMENSION,"ADV-016,CH2-VAL-028",AD-052,calc_pdf_p19,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Composite deck lateral rib height 100 mm.
G-AD-0024,adopted_design,adopted_material.steel_sm490y,ENT-GIRDER-AG1,SM490Y,,,,steel_grade,"MATSEC-004,CH1-VAL-027,CH2-VAL-009",AD-008,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Main structural steel grade.
G-AD-0025,adopted_design,adopted_material.steel_sm400,ENT-GIRDER-AG1,SM400,,,,steel_grade,"MATSEC-005,CH1-VAL-028",AD-009,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Mild steel grade.
G-AD-0026,adopted_design,adopted_material.steel_sm520,ENT-GIRDER-AG1,SM520,,,,steel_grade,"MATSEC-003,CH1-VAL-026",AD-010,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,High-strength steel grade.
G-AD-0027,adopted_design,adopted_material.steel_ss400,ENT-GIRDER-AG1,SS400,,,,steel_grade,"MATSEC-006,CH1-VAL-029",AD-011,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,General structural steel grade.
G-AD-0028,adopted_design,adopted_material.steel_sm520h,ENT-GIRDER-AG1,SM520-H,,,,steel_grade,"SRC-calculation_chapter_03_section_3_2_values-006,ADV-007",AD-012,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,High-strength steel for thick plates (47 mm LFLG Sec-6).
G-AD-0029,adopted_design,adopted_material.rebar_sd345,ENT-GIRDER-AG1,SD345,,,,MATERIAL_PROPERTY,"MATSEC-013,CH1-VAL-033",AD-013,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Rebar grade.
G-AD-0030,adopted_design,adopted_material.concrete_deck_ck30,ENT-GIRDER-AG1,30,N/mm2,30,N/mm2,concrete_strength,"MATSEC-010,CH1-VAL-030,CH2-VAL-020",AD-014,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Concrete design strength for composite deck / wrapping.
G-AD-0031,adopted_design,adopted_material.concrete_wall_rail_ck24,ENT-GIRDER-AG1,24,N/mm2,24,N/mm2,concrete_strength,CH1-VAL-031,AD-015,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Concrete design strength wall rail.
G-AD-0032,adopted_design,adopted_material.elastic_modulus_steel,ENT-GIRDER-AG1,2.0e8,kN/m2,2.0e8,kN/m2,elastic_modulus,"MATSEC-001,CAL-VAL-P00149-001",AD-016,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Steel Young's modulus E=2.0e8 kN/m2.
G-AD-0033,adopted_design,adopted_material.shear_modulus_steel,ENT-GIRDER-AG1,7.7e7,kN/m2,7.7e7,kN/m2,shear_modulus,"MATSEC-002,CAL-VAL-P00149-002",AD-017,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Steel shear modulus G=7.7e7 kN/m2.
G-AD-0034,adopted_design,adopted_material.yield_strength_sm490y,ENT-GIRDER-AG1,355,N/mm2,355,N/mm2,yield_strength,"MATSEC-007,CAL-VAL-P01285-001,CH2-VAL-011",AD-018,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,SM490Y yield point sigma_y.
G-AD-0035,adopted_design,adopted_material.tensile_strength_sm490y,ENT-GIRDER-AG1,490,N/mm2,490,N/mm2,MATERIAL_PROPERTY,"MATSEC-008,CAL-VAL-P01285-002",AD-019,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,SM490Y tensile strength sigma_su.
