item_id,toc_id,title,software_category,current_liner_relation,road_geometry_relation,bridge_relation,rule_engine_relation,priority,confidence,reason
SM001,T011,用語の定義,ADMINISTRATIVE;STRUCTURAL_REQUIREMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ADMINISTRATIVE, 構造要求",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM002,T012,道路構造令における用語,ADMINISTRATIVE;STRUCTURAL_REQUIREMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ADMINISTRATIVE, 構造要求",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM003,T013,本書における用語,ADMINISTRATIVE;STRUCTURAL_REQUIREMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ADMINISTRATIVE, 構造要求",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM004,T019,地域の弾力的な基準の運用,EXCEPTION_RULE;ADMINISTRATIVE,将来機能として接続可能性あり,"例外規定, ADMINISTRATIVE",NO,YES,C,HIGH,本文確認後に照査
SM005,T022,第2章 道路の機能確保のための道路構造,STRUCTURAL_REQUIREMENT;ADMINISTRATIVE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"構造要求, ADMINISTRATIVE",NO,YES,C,HIGH,本文確認後に照査
SM006,T023,交通機能と道路構造,STRUCTURAL_REQUIREMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,構造要求,NO,YES,B,HIGH,本文確認後に照査
SM007,T024,自動車の交通機能と道路構造,STRUCTURAL_REQUIREMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,構造要求,NO,YES,B,HIGH,本文確認後に照査
SM008,T025,歩行者・自転車の交通機能と道路構造,SIDEWALK;BICYCLE,将来機能として接続可能性あり,"歩道, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM009,T032,第3章 地域の状況に応じた道路構造,ROAD_CLASSIFICATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,道路区分,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM010,T033,地域の状況に応じた高速道路等の構造,ROAD_CLASSIFICATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,道路区分,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM011,T034,高規格幹線道路の構造,ROAD_CLASSIFICATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,道路区分,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM012,T035,重要物流道路の構造,ROAD_CLASSIFICATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,道路区分,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM013,T036,地域高規格道路の構造,ROAD_CLASSIFICATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,道路区分,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM014,T037,都市の状況に応じた道路構造,ROAD_CLASSIFICATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,道路区分,NO,YES,C,HIGH,本文確認後に照査
SM015,T038,都心部道路の構造,ROAD_CLASSIFICATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,道路区分,NO,YES,C,HIGH,本文確認後に照査
SM016,T039,中心市街地・商店街等道路の構造,ROAD_CLASSIFICATION,将来機能として接続可能性あり,道路区分,NO,YES,C,HIGH,本文確認後に照査
