feature_id,disposition,phase_note,rationale,blocker_ids,related_requirement_ids
F4-P1-001,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-002,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-003,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-004,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-005,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-006,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-007,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-008,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-009,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-010,PHASE1_SUPPORTING,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-011,PHASE1_SUPPORTING,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-012,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-013,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-014,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-015,PHASE1_SUPPORTING,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-016,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-017,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-018,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-019,OUT_OF_PRODUCT_SCOPE,2+,Legacy external desktop dependency (handoff adoption_candidate); OSS uses JSON/IF3/CSV/PDF/DXF per P03.,,
F4-P1-020,PHASE1_SUPPORTING,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-021,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-022,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-023,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-024,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-025,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-026,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-027,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-028,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-029,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-030,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-031,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-032,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-033,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-034,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-035,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-036,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-037,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-038,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-039,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-040,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-041,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-042,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-043,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-044,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-045,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-046,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-047,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-048,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-049,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-050,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-051,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-052,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-053,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-054,PHASE1_SUPPORTING,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-055,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-056,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-057,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-058,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-059,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-060,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-061,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-062,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-063,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-064,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-065,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-066,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-067,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-068,DUPLICATE_ALIAS,1,Listed in feature_aliases.csv as same_name_multi_evidence alias.,,
F4-P1-069,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P1-070,UNKNOWN,TBD,不等径間・支間中央等の言及あり。単純桁1径間の専用制約の明記は要追加確認,,
F4-P1-071,UNKNOWN,TBD,設計データ入力に斜角専用セクションは先頭目次では未確認。線形/横断関連の可能性,,
F4-P1-072,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-001,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-002,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-003,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-004,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-005,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-006,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-007,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-008,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-009,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
F4-P2-010,PHASE1_REQUIRED,1,Within Phase1 straight equal-depth non-composite RC slab plate-girder workflow.,BLK-S1-001,
