review_id,stage,review_area,adverse_hypothesis,evidence,result,resolution,residual_blocker,reviewer
IR-001,DS-00 through DS-05,Continuation governance,Completed stages were silently re-executed or their verdicts changed,Git history and unchanged DS-00 through DS-05 authority files,PASS,Reuse-only baseline retained and no previous-stage correction was required,,Codex Independent Reviewer (substitute)
IR-002,DS-00 through DS-09,Duplicate authority,A second current design-standard authority was created,README authority declaration and stage directories,PASS,README remains the single current integration entry and stage files remain subordinate,,Codex Independent Reviewer (substitute)
IR-003,DS-01 through DS-05,Unsourced engineering numerics,Bibliographic digits were mistaken for adopted engineering values,Edition register evidence fields and DS-03 through DS-05 adoption/value scans,PASS,Metadata numerics are distinguished from engineering design numerics; adopted unsourced engineering numerics count is zero,,Codex Independent Reviewer (substitute)
IR-004,DS-01 through DS-05,Legacy contamination,Historical H29/H31 or allowable-stress references became current authority,Adoption statuses plus legacy exclusion prose,PASS,Legacy occurrences remain reference exclusion or historical-control context only,,Codex Independent Reviewer (substitute)
IR-005,DS-06,Analyzer identity,Repository solver HTTP analyzer IF3 and external Analyzer were conflated,analyzer_identity_register.csv and analyzer_physical_io_spec.md,CHANGES_REQUIRED_RESOLVED,Seven identities are separated and external relationships remain evidence-blocked,AN-BLK-001,Codex Independent Reviewer (substitute)
IR-006,DS-06,Manual versus machine evidence,Manual workflow statements were promoted to observed physical I/O,analyzer_evidence_register.csv and analyzer_blocker_register.csv,PASS_WITH_RESIDUAL_BLOCKER,Manual evidence is reference-only and no machine-observed claim is adopted,AN-BLK-001;AN-BLK-002,Codex Independent Reviewer (substitute)
IR-007,DS-06,Success and staleness,Exit zero or an existing file could publish a stale result,analyzer_error_exit_license_matrix.csv and probes AN-PRB-005/009/013,PASS_WITH_RESIDUAL_BLOCKER,Success requires freshness provenance parseability and authoritative source binding,AN-BLK-005;AN-BLK-006,Codex Independent Reviewer (substitute)
IR-008,DS-06,License and negative behavior,License failure could be normalized as successful analysis,error and license matrix negative scenarios,PASS_WITH_RESIDUAL_BLOCKER,License state must be distinguishable and cannot publish success,AN-BLK-005,Codex Independent Reviewer (substitute)
IR-009,DS-06,Coordinates signs and member ends,Local/global axes DOF I/J or reaction signs were inferred,unit_coordinate_dof_convention.md and AN-PRB-016 through AN-PRB-018,PASS_WITH_RESIDUAL_BLOCKER,Repository conventions are labeled non-authoritative for external software and asymmetric probes are mandatory,AN-BLK-004,Codex Independent Reviewer (substitute)
IR-010,DS-06,Temporary files concurrency and recovery,Partial output locks or processes could leak across jobs,AN-PRB-009 through AN-PRB-012 and AN-PRB-022,PASS_WITH_RESIDUAL_BLOCKER,Isolation cleanup crash recovery and mixed-output rejection acceptance criteria are explicit,AN-BLK-007,Codex Independent Reviewer (substitute)
IR-011,DS-06,Output authority,CSV PDF or mock artifacts could bypass live IF3 authority,AN-BLK-009 and analyzer_physical_io_spec.md,PASS_WITH_RESIDUAL_BLOCKER,Derived exports declare lineage and mock or stale sources cannot be authoritative,AN-BLK-009,Codex Independent Reviewer (substitute)
IR-012,DS-07,Circular Golden,Apollo output alone could approve an Apollo Golden,golden_governance.md and 16 NOT_APPROVED approval rows,PASS,No catalog case is approved and independent parent-oracle rules are mandatory,,Codex Independent Reviewer (substitute)
IR-013,DS-07,Analytical independence,Analytical expected values could inherit implementation conventions,analytical_golden_spec.md and GOLD-BLK-001,PASS_WITH_RESIDUAL_BLOCKER,Two independent derivations plus signed conventions and checksums are required,GOLD-BLK-001,Codex Independent Reviewer (substitute)
IR-014,DS-07,Tolerance inflation,Tolerances could be widened after observing mismatches,tolerance_policy.md and GOLD-BLK-002,PASS_WITH_RESIDUAL_BLOCKER,Absolute relative zero display internal rounding and conversion rules are separately predeclared,GOLD-BLK-002,Codex Independent Reviewer (substitute)
IR-015,DS-07,Reproducibility and identity,A single unversioned reference run could be called reproducible,reference_software_golden_spec.md and golden_case_catalog.csv,PASS_WITH_RESIDUAL_BLOCKER,Fixed identity checksums and three executions are required; current reproducibility counts remain zero,GOLD-BLK-003;GOLD-BLK-005,Codex Independent Reviewer (substitute)
IR-016,DS-07,Approval separation,Regression Goldens could be self-approved,golden_approval_register.csv and approved_regression_golden_spec.md,PASS_WITH_RESIDUAL_BLOCKER,Proposer and approver separation plus independent parent oracle is required,GOLD-BLK-004;GOLD-BLK-008,Codex Independent Reviewer (substitute)
IR-017,DS-08,Semantic versus numeric parity,A numeric match could imply semantic parity or vice versa,semantic_parity_spec.md and numeric_parity_spec.md,PASS,The two decisions have independent gates and neither can promote the other,,Codex Independent Reviewer (substitute)
IR-018,DS-08,Coordinate sign and I/J transformation,Axis swaps or end reversals could be accepted without proof,sign_coordinate_member_end_conventions.md and PAR-BLK-003,PASS_WITH_RESIDUAL_BLOCKER,Only predeclared invertible matrices permutations and sign maps with equilibrium checks are allowed,PAR-BLK-003,Codex Independent Reviewer (substitute)
IR-019,DS-08,Display and unit comparison,Displayed rounded values or incompatible units could produce false parity,numeric_parity_spec.md and parity_case_catalog.csv,PASS_WITH_RESIDUAL_BLOCKER,Producer precision unit conversion and near-zero rules precede comparison,PAR-BLK-005;PAR-BLK-008,Codex Independent Reviewer (substitute)
IR-020,DS-08,Comparator false PASS,Missing extra duplicate empty or malformed data could be ignored,numeric_parity_spec.md and PAR-BLK-006,CHANGES_REQUIRED_RESOLVED,Symmetric coverage uniqueness finiteness mapping and tolerance failure rules are fail-closed,PAR-BLK-006,Codex Independent Reviewer (substitute)
IR-021,DS-08,Version and machine evidence,Manual text or repository samples could stand in for a fixed SPACER run,spacer_version_evidence_register.csv and parity_approval_register.csv,PASS_WITH_RESIDUAL_BLOCKER,All 15 actual parity approvals remain blocked and reference identity is required,PAR-BLK-001;PAR-BLK-005,Codex Independent Reviewer (substitute)
IR-022,DS-09,Blocker completeness,DS-06 through DS-08 blockers could be omitted from the final gate,unresolved_evidence_requirements.csv and source blocker registers,PASS,Exact set equality covers 10 Analyzer 8 Golden and 8 parity blocker IDs,,Codex Independent Reviewer (substitute)
IR-023,DS-09,Verdict consistency,Document completion could be misreported as numeric readiness or prior tokens could drift,final_verdicts.md and numeric_release_gate.md,CHANGES_REQUIRED_RESOLVED,Canonical DS-07 and DS-08 tokens restored exactly; document and numeric gates remain separate,,Codex Independent Reviewer (substitute)
IR-024,DS-09,Marker scan,Quoted historical or prohibition terms could be misreported as live open items,final_design_freeze_report.md validation method,PASS,Context-aware scan reports live fields separately and classifies intentional prose occurrences,,Codex Independent Reviewer (substitute)
IR-025,DS-09,Release conjunction,A majority or waiver could override a failed numeric gate,numeric_release_gate.md,PASS,Every release predicate is conjunctive and default-empty values fail closed,,Codex Independent Reviewer (substitute)
