Requirement_ID,Feature,Source_Document,Planned_Work_Package,Planned_Source_Area,Planned_Test_Type,Electron_Test,Completion_Gate,Status
U3-REQ-CRUD-001,Project CRUD,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-A","frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/workspace.ts; frontend/src/App.tsx","unit; integration; Electron manual","Create/open/rename/save snapshot path","U3-GATE-CRUD",PLANNED
U3-REQ-CRUD-002,Project CRUD,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-A","frontend/src/apollo/workspace.ts; frontend/src/apollo/ApolloPhase1Shell.tsx","unit; negative integration; Electron manual","Delete confirm and malformed snapshot rejection","U3-GATE-CRUD",PLANNED
U3-REQ-IMPX-001,Import / Export,"unit3/00_scope/unit3_scope_freeze.md; unit3/01_architecture/unit3_persistence_and_guard_contract.md","U3-B","frontend/src/App.tsx; frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/unit2Draft.ts","unit; integration; fixture round-trip","Export/import JSON through native dialogs","U3-GATE-IMPX",PLANNED
U3-REQ-IMPX-002,Import / Export,"unit3/00_scope/unit3_scope_freeze.md; unit3/01_architecture/unit3_persistence_and_guard_contract.md","U3-B","frontend/src/apollo/unit2Draft.ts; desktop/electron/dialogIpc.ts","unit; negative fixtures; Electron manual","Reject invalid import without mutating draft","U3-GATE-IMPX",PLANNED
U3-REQ-HIST-001,Undo / Redo,"unit3/01_architecture/unit3_history_and_selection_contract.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-C","frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/history.ts","unit; integration","Undo single and transactional edits with keyboard","U3-GATE-HIST",PLANNED
U3-REQ-HIST-002,Undo / Redo,"unit3/01_architecture/unit3_history_and_selection_contract.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-C","frontend/src/apollo/history.ts; frontend/src/App.tsx","unit; integration; negative","Redo invalidation after new action and boundary resets","U3-GATE-HIST",PLANNED
U3-REQ-SEL-001,Multi Select,"unit3/01_architecture/unit3_history_and_selection_contract.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-D","frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/selection.ts","unit; integration; keyboard","Ctrl/Cmd additive and Shift range selection","U3-GATE-SEL",PLANNED
U3-REQ-SEL-002,Multi Select,"unit3/01_architecture/unit3_history_and_selection_contract.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-D; U3-G","frontend/src/apollo/selection.ts; frontend/src/apollo/ApolloPhase1Shell.tsx","unit; integration; negative","Project switch reset and filtered hidden selection behavior","U3-GATE-SEL",PLANNED
U3-REQ-CLIP-001,Copy / Paste,"unit3/01_architecture/unit3_history_and_selection_contract.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-E","frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/clipboard.ts","unit; integration","Copy and paste supported selection with remap","U3-GATE-CLIP",PLANNED
U3-REQ-CLIP-002,Copy / Paste,"unit3/01_architecture/unit3_history_and_selection_contract.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-E","frontend/src/apollo/clipboard.ts; frontend/src/apollo/ApolloPhase1Shell.tsx","unit; negative integration","Reject invalid or cross-policy paste atomically","U3-GATE-CLIP",PLANNED
U3-REQ-BULK-001,Bulk Edit,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-F","frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/bulkEdit.ts","unit; integration","Apply confirmed bulk edit as one transaction","U3-GATE-BULK",PLANNED
U3-REQ-BULK-002,Bulk Edit,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-F","frontend/src/apollo/bulkEdit.ts; frontend/src/apollo/ApolloPhase1Shell.tsx","unit; negative integration","Reject mixed or invalid bulk edits before mutation","U3-GATE-BULK",PLANNED
U3-REQ-FIND-001,Search / Filter,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-G","frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/searchFilter.ts","unit; integration","Search by id/name/type with visible counts","U3-GATE-FIND",PLANNED
U3-REQ-FIND-002,Search / Filter,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-G; U3-D","frontend/src/apollo/searchFilter.ts; frontend/src/apollo/selection.ts","unit; integration; negative","No-result state and hidden-selection retention","U3-GATE-FIND",PLANNED
U3-REQ-NAV-001,Validation Navigator,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-H","frontend/src/apollo/ApolloPhase1Shell.tsx; frontend/src/apollo/validationNavigator.ts; frontend/src/apollo/unit2Draft.ts","unit; integration","Navigate first/next/previous issue and focus field","U3-GATE-NAV",PLANNED
U3-REQ-NAV-002,Validation Navigator,"unit3/00_scope/unit3_scope_freeze.md; unit3/00_scope/unit3_acceptance_criteria.csv","U3-H; U3-B","frontend/src/apollo/validationNavigator.ts; frontend/src/apollo/unit2Draft.ts","unit; integration; negative","Revalidate and remove stale issues without reload","U3-GATE-NAV",PLANNED
