parity_case_id,parity_type,phase1_status,source_model,reference_software,reference_version,apollo_version,compared_quantity,mapping_rule,coordinate_rule,member_end_rule,sign_rule,unit,absolute_tolerance,relative_tolerance,zero_threshold,expected_status,evidence,approval_status,blocker_id,internal_precision,display_precision,rounding_rule,comparison_algorithm,excluded_quantity,transformation_evidence,mismatch_classification,input_checksum,output_checksum,exclusion_decision,exclusion_impact,additional_blocker_ids
PAR-001,INPUT_SEMANTIC_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Checksum-fixed minimal native model required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,All native input entities and settings,Predeclared field mapping required,Matrix required,I-J mapping required,Sign map required,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native input and transformation bundle required,NOT_APPROVED,PAR-BLK-002,REQUIRED,REQUIRED,REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-002,MODEL_TOPOLOGY_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Checksum-fixed asymmetric topology model required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,Nodes members incidence releases and offsets,Bijective identity map required,Matrix required,I-J mapping required,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native and Apollo topology bundle required,NOT_APPROVED,PAR-BLK-002,REQUIRED,REQUIRED,REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-003,MATERIAL_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Checksum-fixed material model required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,Material and section properties,Bijective property map required,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,DS-03 source plus native material bundle required,NOT_APPROVED,PAR-BLK-007,REQUIRED,REQUIRED,REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-004,SUPPORT_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Checksum-fixed rotated-support model required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,Constraints springs basis and reaction meaning,Bijective support map required,Support matrix required,NOT_APPLICABLE,Reaction action map required,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native support and positive-probe bundle required,NOT_APPROVED,PAR-BLK-003,REQUIRED,REQUIRED,REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-005,MEMBER_STIFFNESS_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Checksum-fixed asymmetric member model required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,Area inertias torsion shear releases offsets and orientation,Bijective member/property map required,Local basis matrix required,I-J mapping required,Action sign map required,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native formulation and probe bundle required,NOT_APPROVED,PAR-BLK-003,REQUIRED,REQUIRED,REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-006,LOAD_CASE_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Checksum-fixed one-case model required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,Case identity loads directions and applications,Bijective case/entity map required,Load basis matrix required,I-J mapping for member loads,Load sign map required,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native load-case mapping bundle required,NOT_APPROVED,PAR-BLK-004,REQUIRED,REQUIRED,REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-007,LOAD_COMBINATION_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Checksum-fixed asymmetric two-case combination required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,Combination identity components coefficients and results,Bijective combination map required,Load basis matrix required,I-J mapping where applicable,Coefficient and result sign map required,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native combination mapping bundle required,NOT_APPROVED,PAR-BLK-004,REQUIRED,REQUIRED,REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-008,ANALYSIS_NUMERIC_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Approved Golden and parity model required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,Complete full-precision result set,Approved identity map required,Approved matrices required,Approved I-J map required,Approved sign map required,REQUIRED,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Three native runs and Apollo result bundle required,NOT_APPROVED,PAR-BLK-005,REQUIRED,REQUIRED,REQUIRED,DS08_NUMERIC_COMPONENT_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-009,DISPLACEMENT_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Positive displacement/rotation probe suite required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,All six node displacement and rotation components,Bijective node/case map required,DOF matrix required,NOT_APPLICABLE,Rotation sign map required,m;rad,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Full-precision displacement bundle required,NOT_APPROVED,PAR-BLK-005,REQUIRED,REQUIRED,REQUIRED,DS08_NUMERIC_COMPONENT_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
PAR-010,MEMBER_FORCE_PARITY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Asymmetric I-J positive component suite required,SPACER,REQUIRED,98778e9054c0003be9b7eedf3e53ab48ace222fe,All twelve signed I/J end-force components,Bijective member/case map required,Local basis matrix required,I-J permutation required,End-action sign vector required,kN;kN_m,REQUIRED,REQUIRED,REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Full-precision member-force and equilibrium bundle required,NOT_APPROVED,PAR-BLK-005,REQUIRED,REQUIRED,REQUIRED,DS08_NUMERIC_COMPONENT_V1,NONE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,NONE,NONE,PAR-BLK-001;PAR-BLK-006
