note_id,pdf_page,subsection,category,note_text
N01,292,3.2.1,design_policy,"Limit state 1 for tension can be omitted; only limit state 3 is checked (tension side limit is same or stricter than LS1)"
N02,292,3.2.1,design_policy,"Compression side checked at limit state 3, deemed not to exceed limit state 1"
N03,292,3.2.1,design_policy,"Combined bending+shear checked at limit state 1, deemed not to exceed limit state 3"
N04,291,3.2.1,material,"Steel materials: SM520, SM490Y, SM400. Plates >40mm use constant yield point steel (except sole plates)"
N05,291,3.2.1,geometry,"Flange width constant: upper 620mm, lower 680mm. Web thickness constant: 14mm"
N06,291,3.2.1,geometry,"Flange plate thickness relief direction: upper flange downward, lower flange upward"
N07,291,3.2.1,geometry,"Minimum plate thickness difference: 2mm (based on filler plate thickness). Max flange thickness difference: ≤1/2 of thicker plate (max 25mm)"
N08,291,3.2.1,filler,"Filler plate thickness: 2.3mm minimum, increments: 2.3, 3.2, 4.5, 6mm then 1mm steps"
N09,291,3.2.1,stress,"Allowable stress margin: approximately 5 N/mm²"
N10,291,3.2.1,buckling,"Upper flange: fixed to concrete deck, no lateral buckling considered (local buckling only)"
N11,291,3.2.1,buckling,"Lower flange: both lateral torsional buckling and local buckling considered"
N12,291,3.2.1,composite,"Composite stress check at web top and bottom edges (considers flange thickness via stress gradient from APOLLO program)"
N13,291,3.2.1,stiffener,"Horizontal stiffener: single stage, position based on reference girder height"
N14,291,3.2.1,stiffener,"Intermediate vertical stiffeners: basically divide panel points into 4 equal parts"
N15,291,3.2.1,splice,"Splice position: basically at center between vertical stiffeners (panel point divided into 4)"
N16,291,3.2.1,bolt,"Field splice bolts: TCB M22(S10T). Inorganic zinc-rich paint coating considered"
N17,291,3.2.1,bolt,"Splice plate area ≥ base material area. Bolt hole 24.5φ (25φ for tension tear-out check)"
N18,291,3.2.1,weld,"Upper flange splice plate: 50mm recess from flange edge (for composite slab clearance)"
N19,291,3.2.1,weld,"Lower flange splice plate: 5mm recess from flange edge"
N20,291,3.2.1,weld,"Fillet weld max 10mm (per Aichi 'Bridge Design Guide 3-33'). Over 10mm use partial penetration weld"
N21,291,3.2.1,weld,"Bearing stiffeners/crossbeam joints: fillet weld up to 12mm allowed for workability"
N22,291,3.2.1,accuracy,"Assumed vs actual stiffness ratio: ≤10% per panel point, ≤5% span average"
N23,291,3.2.1,accuracy,"Assumed vs actual steel weight ratio: ≤10% (per Aichi guideline 3-4)"
N24,291,3.2.1,program,"Design program: APOLLO Super Designer (Yokogawa Technical Information)"
N25,290,3.2.1,splice,"Flange splice plates: ensure cross-sectional area and bending stiffness ≥ base material"
N26,379,3.2.4,weld,"Fillet weld: Inorganic zinc-rich paint coating considered; Vfk reduction factor α applied"
N27,382,3.2.4,bolt,"Bolt arrangement dimensions: UFLG width 620mm with bolt gage lines at 140,90,90 spacing (75mm edge distance)"
N28,350,3.2.2.2,purpose,"Dead load section determination is for out-of-plane bending moment calculation from transverse loads at mid-span and intermediate supports"
N29,666,3.2.15,sole_plate,"Sole plate: material grade ≥ bearing shear key grade. >40mm: constant yield point steel NOT used"
N30,666,3.2.15,sole_plate,"Fillet weld on all 4 sides of sole plate. Weld size ≥ √2t from sole plate center thickness"
N31,666,3.2.15,sole_plate,"Level 2 seismic horizontal force from dynamic analysis used for weld verification"
N32,666,3.2.15,sole_plate,"Shear key bearing check not required (verified at 175% shear strain for shear key in performance test)"
N33,669,3.2.16,weight,"Steel weight comparison: Actual (311.594t) / Assumed (325.566t) = 95.7% [OK] within 10% limit"
N34,669,3.2.16,weight,"AG1: 133.303m × 12.000kN/m = 1599.636kN ; AG2: 132.847m × 12.000kN/m = 1594.164kN ; Total: 3193.800kN = 325.566t"
N35,662,3.2.14,weld,"When bending stress ≤45% of limit, weld size determined by shear stress only"
N36,382,3.2.4,bolt,"Bolt design: needs both limit state 1 (slip) and limit state 3 (bolt fracture) checks"
