source_requirement_id,layer,topic,required_for,minimum_content,preferred_content,current_candidate,current_status,blocks_geometry,blocks_model,blocks_analysis,blocks_design_check,blocks_report,priority,search_keywords,publisher_candidate,notes
RSQ-L0-01,L0,曲線橋の適用範囲・定義,scoping and terminology,適用範囲と用語の定義,曲線橋の設計体系,"spacer-clone docs",MISSING,FALSE,FALSE,FALSE,FALSE,FALSE,P1,曲線橋 適用範囲 定義,道路協会,""
RSQ-L1-01,L1,単円曲線,horizontal alignment implementation,半径・方向・中心角の定義,複合線形の組合せ規則,"liner core geometry/arc.ts",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,単円 曲線 線形,道路協会,""
RSQ-L1-02,L1,クロソイド,horizontal alignment implementation,パラメータと曲率の定義,精度基準と許容誤差,"liner core geometry/clothoid.ts",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,クロソイド 線形 パラメータ,道路協会,""
RSQ-L1-03,L1,複合線形,horizontal alignment,要素接続規則,C0/C1/G2連続性,"liner core geometry/horizontal.ts",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,複合線形 連続性,道路協会,""
RSQ-L1-04,L1,測点・方位角・曲率,station/offset,測点定義,曲率連続性と逆投影,"liner core station/",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,測点 方位角 曲率,道路協会,""
RSQ-L1-05,L1,offset line・主桁線,main girder geometry,主桁線のオフセット定義,曲線上の桁線方向,"liner core coordinate3d.ts",PARTIAL,TRUE,FALSE,FALSE,FALSE,FALSE,P0,主桁線 オフセット,橋梁協会,主桁線はスカラオフセットのみで曲線方向なし
RSQ-L1-06,L1,横断線・片勾配・拡幅,cross section,横断テンプレート,片勾配の遷移,"liner core crossfallResolution.ts",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,横断 片勾配 拡幅,道路協会,""
RSQ-L1-07,L1,縦断,vertical alignment,縦断勾配・縦断曲線,クレスト・サグ,"liner core geometry/vertical.ts",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,縦断 勾配,道路協会,""
RSQ-L1-08,L1,局所T/N/B・3D座標,3D geometry,局所座標系定義,曲線上の局所フレーム,"liner core vector.ts",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,局所座標 3D,道路協会,""
RSQ-L1-09,L1,曲率ゼロ極限,straight bridge regression,曲率0の直線桁への退化,数値安定性,"liner core geometry/",AVAILABLE,FALSE,FALSE,FALSE,FALSE,FALSE,P0,曲率 ゼロ 極限,技術研究所,""
