candidate_id,rule_id,domain,name,source_asset_id,condition,input,constraint,formula,output,exception,warning,unit,priority,liner_module,bridge_interface,implementation_readiness,requires_more_research,confidence,notes
CAND-01,RO-001;RO-002,ROAD_CLASSIFICATION,道路区分決定,DOC-X0-0145,道路の種類・地域・地形・計画交通量,道路の種類；計画交通量；地域（都市/地方）；地形,種級区分表（第1種〜第4種・級別）,UNKNOWN,種級区分,高速自動車国道の特例,UNKNOWN,-,P0,module:road-class,road_classification,READY_FOR_SPEC,NO,HIGH,表1-1の値で実装可能
CAND-02,RO-003,DESIGN_SPEED,設計速度決定,DOC-X0-0145,道路の種級区分・地形,種級区分；地形（平地/山地）,設計速度表（第13条）,UNKNOWN,設計速度（km/h）,右欄（山地）は特別理由時,UNKNOWN,km/h,P0,module:design-speed,UNKNOWN,READY_FOR_SPEC,NO,HIGH,設計速度表の値で実装可能
CAND-03,RO-004,DESIGN_VEHICLE,設計車両諸元,DOC-X0-0145,道路の区分,普通/小型道路の区分,設計車両諸元表（第4条）,UNKNOWN,設計車両諸元（全長・全幅・軸距等）,重要物流道路は別,UNKNOWN,m,P0,module:shared/vehicle,girder_interface,READY_FOR_SPEC,NO,MEDIUM,諸元表の要確認
CAND-04,RO-005;RO-006;RO-007,LANE_WIDTH,車線幅員決定,DOC-X0-0145,種級・設計速度,種級区分；普通/小型,車線幅員表（第5条・表2-4）,UNKNOWN,車線幅員（m）,0.25m縮小条件・大型車混入率30%,UNKNOWN,m,P0,module:cross-section,UNKNOWN,READY_FOR_SPEC,NO,MEDIUM,表セル一部要確認
CAND-05,RO-008;RO-009,MEDIAN,中央帯幅員決定,DOC-X0-0145,種級区分,種級区分,中央帯幅員表（第6条）・側帯幅員表,UNKNOWN,中央帯幅員・側帯幅員（m）,長大区間・高架で縮小可,UNKNOWN,m,P0,module:cross-section,UNKNOWN,READY_FOR_SPEC,NO,MEDIUM,表セル一部要確認
CAND-06,RO-010,SHOULDER_WIDTH,路肩幅員決定,DOC-X0-0145,種級区分・普通/小型,種級区分；普通/小型,路肩幅員表（第13条）,UNKNOWN,路肩幅員（m）,付加追越車線等・長大50m・高架で縮小可,UNKNOWN,m,P0,module:cross-section,UNKNOWN,READY_FOR_SPEC,NO,MEDIUM,表セル一部要確認
CAND-07,RO-011;RO-012;RO-013;RO-014;RO-015,CURVE_RADIUS,最小曲線半径照査,DOC-X0-0145,設計速度・片勾配・横摩擦係数,設計速度V；横摩擦係数f；片勾配i,表3-2/3-3/3-4/3-5/3-6,R=V^2/(127(f+i/100)),最小曲線半径R（m）・望ましい値,地形等で片勾配10%縮小可,R＜規定値は警告,m,P0,module:alignment/horizontal,UNKNOWN,READY_FOR_SPEC,NO,HIGH,表3-5・3-6の値で実装可能
CAND-08,RO-016,CURVE_LENGTH,最小曲線長照査,DOC-X0-0145,設計速度,設計速度,2秒走行距離程度,UNKNOWN,最小曲線長（m）,交角小で縮小可,UNKNOWN,m,P0,module:alignment/horizontal,UNKNOWN,NEEDS_RESEARCH,YES,MEDIUM,数値表が未取得
CAND-09,RO-017;RO-018;LIN-001;LIN-002,TRANSITION_CURVE,緩和区間・クロソイド設定,DOC-X0-0145;DOC-X0-0035,屈曲部・第4種例外,設計速度；曲線半径；すりつけ,緩和区間の設置・クロソイドA,UNKNOWN,緩和曲線長・A値,第4種は省略可（特別理由）,UNKNOWN,-,P0,module:alignment/clothoid,UNKNOWN,READY_FOR_SPEC,NO,HIGH,LINERのA要素設定（A=350 R=3000等）
CAND-10,RO-019;RO-020;RO-021,SUPERELEVATION,片勾配設定,DOC-X0-0145,設計速度・曲線半径・地域,設計速度；曲線半径；雪寒の度,最大片勾配表（第16条）,R=V^2/(g(f+i/100)) 等,片勾配（%）,第4種は省略可,UNKNOWN,%,P0,module:alignment/superelevation,UNKNOWN,READY_FOR_SPEC,NO,MEDIUM,最大片勾配10%/6%
CAND-11,RO-022;RO-023;RO-024;LIN-004,WIDENING,曲線部拡幅量,DOC-X0-0145;DOC-X0-0035,設計車両・曲線半径,設計車両；曲線半径,操向作用回転半径の理論,w=w(cosecα−cotα) 等,拡幅量（m）,第3・4種は省略可；小型道路は2.5m基準,UNKNOWN,m,P0,module:alignment/widening,UNKNOWN,NEEDS_RESEARCH,YES,MEDIUM,詳細式の確認が必要
CAND-12,RO-025;RO-026,SIGHT_DISTANCE,視距照査,DOC-X0-0145,設計速度,設計速度,視距表（第19条）,UNKNOWN,視距（m）,UNKNOWN,視距＜表値は警告,m,P1,module:alignment/verification,UNKNOWN,READY_FOR_SPEC,NO,MEDIUM,V=30の値要確認
CAND-13,RO-027,LONGITUDINAL_GRADE,縦断勾配照査,DOC-X0-0145,種級・設計速度,種級区分；設計速度,縦断勾配表（第20条）,UNKNOWN,最大縦断勾配（%）,右欄（山地）は特別理由時,勾配＞表値は警告,%,P0,module:alignment/vertical,UNKNOWN,READY_FOR_SPEC,NO,MEDIUM,表セル一部要確認
