golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0005,girder_line.ag1,ENT-GIRDER-AG1,AG1,,AG1,,member_id,"DWG-MEM-AG1,STRMOD-011",GEO-006,,DWG-S021,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder line AG1 (drawing sheets 21-29)
GIN-0006,girder_line.ag2,ENT-GIRDER-AG2,AG2,,AG2,,member_id,"DWG-MEM-AG2,STRMOD-012",GEO-007,,DWG-S030,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder line AG2 (drawing sheets 30-38)
GIN-0007,girder_line.girder_spacing,ENT-LINE-ACL,4500,mm,4.5,m,girder_spacing,"DWG-DIM-S001-004,GEO-010",GEO-008,,DWG-S001,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Main girder spacing 4500 mm (drawing)
GIN-0008,girder_line.girder_height,ENT-GIRDER-AG1,2700,mm,2.7,m,girder_height,"DWG-DIM-S001-005,SRC-calculation_chapter_03_section_3_2_values-010",GEO-009,,DWG-S001,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Girder height 2700 mm (drawing sheet 1; section 3.2.1 reference_girder_height)
GIN-0009,girder_line.panel_points_AG1,ENT-GIRDER-AG1,,,,,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-TBL-P00141-003,CAL-TBL-P00141-004,CAL-FIG-P00142-001,STRMOD-004",GEO-010,calc_pdf_p141,,CALCULATION,MEDIUM,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence,,,H29_REFERENCE,AG1 panel points 1001-1027; first/last node coordinates extracted
GIN-0010,girder_line.panel_points_AG2,ENT-GIRDER-AG2,,,,,COORDINATE,"CAL-TBL-P00141-005,CAL-TBL-P00141-006,CAL-TBL-P00141-007,CAL-TBL-P00141-008,CAL-FIG-P00142-001,STRMOD-005",GEO-011,calc_pdf_p141,,CALCULATION,MEDIUM,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence,,,H29_REFERENCE,AG2 panel points 2001-2027; first/last node coordinates extracted
GIN-0011,grid_point.1001.X,ENT-GIRDER-AG1,1.21766,m,1.21766,m,COORDINATE,CAL-TBL-P00141-001,GEO-012,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1001 X coordinate
GIN-0012,grid_point.1001.Y,ENT-GIRDER-AG1,1.47689,m,1.47689,m,COORDINATE,CAL-TBL-P00141-002,GEO-013,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1001 Y coordinate
GIN-0013,grid_point.1027.X,ENT-GIRDER-AG1,132.76045,m,132.76045,m,COORDINATE,CAL-TBL-P00141-003,GEO-014,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1027 X coordinate
GIN-0014,grid_point.1027.Y,ENT-GIRDER-AG1,1.55372,m,1.55372,m,COORDINATE,CAL-TBL-P00141-004,GEO-015,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1027 Y coordinate
GIN-0015,grid_point.2001.X,ENT-GIRDER-AG2,1.46395,m,1.46395,m,COORDINATE,CAL-TBL-P00141-005,GEO-016,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2001 X coordinate
GIN-0016,grid_point.2001.Y,ENT-GIRDER-AG2,-3.02859,m,-3.02859,m,COORDINATE,CAL-TBL-P00141-006,GEO-017,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2001 Y coordinate
