implementation_id,rule_id,priority,dependency,module,reason,risk,estimated_complexity,x3_scope,notes
IP-001,X2-R-001,P0,-,LINER/INPUT,道路区分は全Ruleの前提,LOW,SMALL,P0,
IP-002,X2-R-002,P0,X2-R-001,LINER/INPUT,設計速度は全線形Ruleの前提,LOW,SMALL,P0,
IP-003,X2-R-007,P0,X2-R-002,LINER/ALIGNMENT,最小曲線半径はコアRule,MEDIUM,MEDIUM,P0,
IP-004,X2-R-009,P0,X2-R-007,LINER/ALIGNMENT,片勾配,MEDIUM,MEDIUM,P0,
IP-005,X2-R-011,P0,X2-R-002,LINER/ALIGNMENT,縦断勾配,MEDIUM,MEDIUM,P0,
IP-006,X2-R-012,P0,X2-R-011,LINER/ALIGNMENT,縦断曲線,MEDIUM,MEDIUM,P0,
IP-007,X2-R-010,P1,X2-R-002,LINER/ALIGNMENT,視距,LOW,SMALL,P1,
IP-008,X2-R-013,P0,-,LINER/CROSS-SECTION,横断勾配,LOW,SMALL,P0,
IP-009,X2-R-004,P0,X2-R-001,LINER/CROSS-SECTION,車線幅員,LOW,SMALL,P0,
IP-010,X2-R-005,P0,X2-R-001,LINER/CROSS-SECTION,中央帯,LOW,SMALL,P0,
IP-011,X2-R-006,P0,X2-R-001,LINER/CROSS-SECTION,路肩,LOW,SMALL,P0,
IP-012,X2-R-003,P0,-,LINER/INPUT,設計車両,LOW,SMALL,P0,
IP-013,X2-R-008,P0,X2-R-002,LINER/ALIGNMENT,緩和区間,MEDIUM,MEDIUM,P0,
IP-014,X2-R-014,P1,X2-R-010,LINER/ALIGNMENT,視距警告,LOW,SMALL,P1,
IP-015,X2-R-015,P1,X2-R-012,LINER/LDIST,格点間距離,LOW,MEDIUM,P1,
IP-016,X2-R-016,P1,-,LINER/STATION,測点補正,LOW,SMALL,P1,
IP-017,X2-R-017,P1,-,LINER/OUTPUT,座標変換,LOW,SMALL,P1,
IP-018,X2-R-018,P2,X2-R-007,LINER/ALIGNMENT,例外ルール,MEDIUM,MEDIUM,P2,
