requirement_id,feature_id,title_or_summary,gap_bucket,gap_description,proposed_owner,phase,dependency_ids,standard_dependency,analyzer_dependency,blocker_ids,evidence_ids,confidence,notes
REQ-5C-0001,F4-P1-007,unit_system:単位系選択: NO_AUTO_NUMERIC_DETERMINATION,MINOR_EXTENSION,Unit system selection UI/governance absent; CAP-ENG-002 UnitContext infra only.,frame_ui,1,CAP-ENG-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-001;REQ-5C-0001;stage5b/evidence/DOC-RBS-I_pdfp0386_300dpi-R5B-PKG003-0002c-386.png,MEDIUM,READY location-only; no numeric freeze.
REQ-5C-0002,F4-P2-010,slab_load_input:床版設計荷重指定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,RC slab design load input module absent; CAP-FRM-007 loads exist for frame only.,slab_design,1,CAP-FRM-007;CAP-RDD-002,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-002,RDY-002;REQ-5C-0002;stage5b/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,HIGH,Phase1 non-composite RC slab scope.
REQ-5C-0003,F4-P5-015,live_load:路面荷重: NO_AUTO_NUMERIC_DETERMINATION,BLOCKED_BY_STANDARD,Live-load numeric rules not freezable; partial load-case infra via CAP-FRM-005/007.,loads_team,1,CAP-FRM-005;CAP-FRM-007,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-004,RDY-003;REQ-5C-0003;stage5b/evidence/DOC-RBS-I_pdfp0232_300dpi-R5B-PKG003-0236c-232.png,HIGH,Term 路面荷重 mapped to live load per handoff.
REQ-5C-0013,F4-P1-051,standard_section:単位重量・物理定数データ: NO_AUTO_NUMERIC_DETERMINATION,BLOCKED_BY_STANDARD,Material unit-weight/constants table not adoptable; CAP-EXT-003 JIS HOLD.,materials_governance,1,CAP-EXT-003,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-002;BLK-S1-005,RDY-004;REQ-5C-0013;stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0001.png,HIGH,Location memo only in READY.
REQ-5C-0021,F4-P3-008,section_check:断面チェック機能: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Section-check workflow (Girder/Section) not in narrow Phase1; no OSS splice/section design.,section_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-005;REQ-5C-0021;stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0009.png,HIGH,P03: no APOLLO section design capability.
REQ-5C-0022,F4-P3-010,splice:添接計算の実行: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice execution module absent; deferred past Phase1 girder design.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-006;REQ-5C-0022;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0010.png,HIGH,
REQ-5C-0023,F4-P3-010,splice:添接計算の実行: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice calculation variant absent; same as REQ-5C-0022.,splice_design,2+,REQ-5C-0022,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-007;REQ-5C-0023;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0011.png,HIGH,
REQ-5C-0024,F4-P3-011,splice_bolt:フランジボルト配置変更方法1: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Flange bolt layout change workflow absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-008;REQ-5C-0024;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0012.png,HIGH,
REQ-5C-0025,F4-P3-014,splice_plate:添接板厚不足時の再計算: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice plate thickness auto-recalc absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-009;REQ-5C-0025;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0013.png,HIGH,
REQ-5C-0026,F4-P3-016,splice_plate:フランジ材端修正方法(母材-5mm): NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Flange end correction (母材-5mm) absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-010;REQ-5C-0026;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0014.png,HIGH,
