requirement_id,requirement,source,design_document,register_row,implementation_ap,validation_method,golden_case,parity_case,status,blocker
RTM-001,Single current design-standard authority,DS-00 user governance,README.md,README authority declaration,AP-00 governance,Full document link and duplicate-authority scan,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,
RTM-002,R7 target standard selection and edition policy,DS-01,01_target_standard/target_standard_freeze.md,edition_and_errata_register.csv,Numeric implementation not authorized,Source/register validation,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE_WITH_EVIDENCE_BLOCKER,BLK-S1-001;BLK-S1-003;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06
RTM-003,JIS identity and edition mapping,DS-02,02_jis/jis_gap_resolution_report.md,JIS-001 through JIS-034,Numeric implementation not authorized,34-row schema/status/source validation,GOLD-015,PAR-003,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLK-S1-002
RTM-004,Material property governance,DS-03,03_materials/material_source_report.md,MAT-DS03-001 through MAT-DS03-044,Numeric implementation not authorized,Register completeness and no-adopted-numeric scan,GOLD-015,PAR-003,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLK-S1-005
RTM-005,Load model governance,DS-04,04_loads/load_governance_report.md,LM-DS04-001 through LM-DS04-014,Numeric implementation not authorized,Register and phase/adoption separation check,GOLD-010,PAR-006,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLK-S1-004
RTM-006,Load factor governance,DS-04,04_loads/load_governance_report.md,LF-DS04-001 through LF-DS04-010,Numeric implementation not authorized,Source/locator/value status scan,GOLD-015,PAR-006,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLK-S1-004
RTM-007,Load combination governance,DS-04,04_loads/load_governance_report.md,COMB-ROW-DS04-001 and SX-DS04-001 through 005,Numeric implementation not authorized,Combination shell and rule-class validation,GOLD-010,PAR-007,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLK-S1-004
RTM-008,Performance requirement coverage,DS-05,05_verification/phase1_verification_scope.md,PR-DS05-001 through PR-DS05-028,Numeric implementation not authorized,Requirement/status/applicability validation,GOLD-015,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V;PKG-DS03;PKG-DS04;PKG-DS06;PKG-SCOPE-P1B
RTM-009,Limit-state coverage,DS-05,05_verification/phase1_verification_scope.md,LS-DS05-001 through LS-DS05-023,Numeric implementation not authorized,Requirement foreign-key and scope validation,GOLD-015,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V;PKG-DS03;PKG-DS04;PKG-DS06;PKG-SCOPE-P1B
RTM-010,Verification equations and factors,DS-05,05_verification/phase1_verification_scope.md,VER-DS05-001 through VER-DS05-023,Numeric implementation not authorized,Blank-unsourced-numeric and source-status scan,GOLD-015,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V;PKG-DS03;PKG-DS04;PKG-DS06
RTM-011,Limit values and deemed rules,DS-05,05_verification/phase1_verification_scope.md,LV-DS05 rows and DTS-DS05 rows,Numeric implementation not authorized,Register/source/status validation,GOLD-015,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V;PKG-DS03;PKG-DS06
RTM-012,Analyzer identity separation,DS-06,06_analyzer/analyzer_physical_io_spec.md,AN-ID-001 through AN-ID-007,AP-11 IF3 remains separate,Identity enum and evidence review,NOT_APPLICABLE,PAR-001,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLK-S1-011;AN-BLK-001
RTM-013,Analyzer invocation and files,DS-06,06_analyzer/analyzer_physical_io_spec.md,AN-PRB-001 through AN-PRB-008,No external adapter authorization,Probe and blocker exact-field validation,NOT_APPLICABLE,PAR-001,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-002;AN-BLK-006
RTM-014,Analyzer units and representation,DS-06,06_analyzer/unit_coordinate_dof_convention.md,AN-PRB-014 and AN-BLK-003,IF3 labels are non-authoritative for external units,Unit/convention completeness check,GOLD-001,PAR-009,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-003
RTM-015,Analyzer coordinates DOF I-J and signs,DS-06,06_analyzer/unit_coordinate_dof_convention.md,AN-PRB-016 through AN-PRB-018,Repository conventions only,Transformation/probe coverage check,GOLD-004;GOLD-005,PAR-012,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-004
RTM-016,Analyzer error exit and license,DS-06,06_analyzer/analyzer_physical_io_spec.md,AN-ERR-001 through AN-ERR-016,No license-success inference,Scenario/probe FK and exact evidence validation,GOLD-014,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
RTM-017,Analyzer concurrency cleanup recovery,DS-06,06_analyzer/analyzer_physical_io_spec.md,AN-PRB-009 through AN-PRB-012 and AN-PRB-022,No product concurrency claim,Probe completeness and failure acceptance review,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
RTM-018,Analyzer reproducibility and authority,DS-06,06_analyzer/analyzer_physical_io_spec.md,AN-PRB-015 and AN-BLK-008 through 009,IF3 live-source gate retained,Repeatability/checksum/authority review,GOLD-016,PAR-008,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-008;AN-BLK-009
