path,current_responsibility,proposed_ui_responsibility,expected_change_type,reason,inbound_dependencies,outbound_dependencies,tests_affected,regression_risk,data_schema_risk,authorization_risk,recommended_PR,edit_classification,confidence,evidence
frontend/src/apollo/ApolloPhase1Shell.tsx,Mode/step orchestration; header; mounts Guided+WF+panels+Viewer,Recompose header groups; dirty indicator; remount strategy Guided vs Workflow; layout panes/tabs,layout+chrome+mounting,Central UI surface for UR-01..UR-13,ApolloRouteHost.tsx; ApolloPhase1Shell.test.tsx,37 imports incl Viewer3D WorkflowControl GuidedModeShell panels navigation visualization workspace,UT-SHELL; E2E all apollo-*; JP3 screenshots,HIGH,NONE if persistence APIs untouched,LOW if banner text only,Step 6-UI-1 then UI-2/3/4/5 slices,DIRECT,HIGH,P0-A inventory; inbound=2 outbound=37; basics co-mount L2441-2505
frontend/src/styles.css,Apollo header/layout/WF/Guided/responsive styles,Header role styles; sticky footer; 2-pane/tablet/mobile tabs; WF master-detail CSS,css-layout,All visual separation depends on CSS classes,global stylesheet (App),N/A (CSS),Visual E2E screenshots; mobile a11y,HIGH,NONE,NONE,Step 6-UI-1..5 (scoped sections),DIRECT,HIGH,apollo-* blocks ~L5744+; media 1200/900/800; guided-nav not sticky L6710
frontend/src/apollo/guided/GuidedModeShell.tsx,G01-G15 chrome progress footer diagnostics,Integrated progress UI; sticky footer; reduce tech aside primacy,presentation+layout,UR-05 UR-06 UR-12,guided/index.ts → ApolloPhase1Shell,slides chrome workflow i18n AuthorizationBanner TechnicalDetails,UT-GUIDED; E2E-S5-FINAL S5R JP3C,HIGH,NONE,LOW (banner presentation),Step 6-UI-2,DIRECT,HIGH,footer L155-183; progress L74-91; CSS not sticky
frontend/src/apollo/components/WorkflowControlScreen.tsx,Renders all WF cards vertically,Master-detail shell: list + selected detail,structure+state_ui,UR-10 UR-11 UR-13,ApolloPhase1Shell; WorkflowControlScreen.test,buildWorkflowStateModel ProgressSummary StepCard AuthorizationBanner,UT-WF-UI; E2E-S4A S4B,HIGH,NONE (model derived),LOW,Step 6-UI-4,DIRECT,HIGH,maps model.steps L49-58
frontend/src/apollo/components/WorkflowStepCard.tsx,Full card body status CTA diagnostics,Reuse as detail pane and/or compact list row variant,presentation+optional_split,UR-10 UR-11,WorkflowControlScreen; tests,StatusBadge DiagnosticsPanel i18n TechnicalDetails,UT-WF-UI; E2E-S4A,MEDIUM,NONE,NONE,Step 6-UI-4,DIRECT,HIGH,article per step L25-88
frontend/src/apollo/components/WorkflowProgressSummary.tsx,Aggregate status counts,Keep; optionally denser for master-detail header,presentation,UR-10,WorkflowControlScreen,i18n status labels,UT-WF-UI; E2E-S4A,LOW,NONE,NONE,Step 6-UI-4,DIRECT,HIGH,testid apollo-wf-progress-summary
frontend/src/apollo/components/WorkflowDiagnosticsPanel.tsx,Inline diagnostics on each card,Priority/fold in detail pane,presentation,UR-11,WorkflowStepCard,i18n TechnicalDetails,UT-WF-UI; E2E-S4A,MEDIUM,NONE,NONE,Step 6-UI-4,DIRECT,MEDIUM,embedded in StepCard body
frontend/src/apollo/components/AuthorizationBanner.tsx,L1 auth banner + L3 fold,Compact variant / density props for global vs panel,presentation_api,UR-04 UR-12,17+ panel/guided/wf consumers,i18n getAuthorizationBannerLines TechnicalDetails,UT-I18N; many E2E auth,MEDIUM,NONE,MEDIUM (must keep NOT_GRANTED meaning),Step 6-UI-1,DIRECT,HIGH,inbound_count=17; catalog-backed
frontend/src/apollo/components/TechnicalDetails.tsx,Collapsed L3 disclosure,Reuse for auth/provisional detail; styling only,presentation,UR-04 UR-12,19 consumers,i18n button labels,JP3 L3 collapse scans,LOW,NONE,LOW,Step 6-UI-1,DIRECT,HIGH,inbound_count=19
frontend/src/apollo/__tests__/ApolloPhase1Shell.test.tsx,Shell RTL coverage,Update selectors for header/layout/mounting,test_update,Chrome DOM will change,N/A,ApolloPhase1Shell,self,MEDIUM,NONE,NONE,with each UI PR touching shell,DIRECT,HIGH,751+ lines; mocks Viewer3D
