evidence_id,package_relative_path,source_document_id,source_edition,source_pdf_page,source_book_page,feature_id,requirement_id,validation_rule_id,topic,usage,sha256,license_note,grok_review_status,notes
EVH-001,evidence/images/DOC-RBS-I_pdfp0386_300dpi-R5B-PKG003-0002c-386.png,DOC-RBS-I,UNKNOWN,386,UNKNOWN,F4-P1-007,REQ-5C-0001,VAL-REQ-5C-0001,unit_system:単位系選択,READY_REQUIREMENT_SUPPORT,c49f323459b1afdba6800e1c215a45382e1a5f163fba3fa6891d023a28500eef,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-002,evidence/images/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,DOC-RBS-I,UNKNOWN,233,UNKNOWN,F4-P2-010,REQ-5C-0002,VAL-REQ-5C-0002,slab_load_input:床版設計荷重指定,READY_REQUIREMENT_SUPPORT,6393d903a644f0ff9bde2b1142429028c3c33b8f7ce450fd12110c37f7b18659,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-003,evidence/images/DOC-RBS-I_pdfp0232_300dpi-R5B-PKG003-0236c-232.png,DOC-RBS-I,UNKNOWN,232,UNKNOWN,F4-P5-015,REQ-5C-0003,VAL-REQ-5C-0003,live_load:路面荷重,READY_REQUIREMENT_SUPPORT,cc318517840b422f21e0c203d13a42a777d8d6cab52f5991ea24db092e9de54a,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-004,evidence/images/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0001.png,DOC-RBS-II,UNKNOWN,117,UNKNOWN,F4-P1-051,REQ-5C-0013,VAL-REQ-5C-0013,standard_section:単位重量・物理定数データ,READY_REQUIREMENT_SUPPORT,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-005,evidence/images/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0009.png,DOC-RBS-II,UNKNOWN,117,UNKNOWN,F4-P3-008,REQ-5C-0021,VAL-REQ-5C-0021,section_check:断面チェック機能,READY_REQUIREMENT_SUPPORT,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-006,evidence/images/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0010.png,DOC-RBS-II,UNKNOWN,303,UNKNOWN,F4-P3-010,REQ-5C-0022,VAL-REQ-5C-0022,splice:添接計算の実行,READY_REQUIREMENT_SUPPORT,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-007,evidence/images/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0011.png,DOC-RBS-II,UNKNOWN,303,UNKNOWN,F4-P3-010,REQ-5C-0023,VAL-REQ-5C-0023,splice:添接計算の実行,READY_REQUIREMENT_SUPPORT,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-008,evidence/images/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0012.png,DOC-RBS-II,UNKNOWN,303,UNKNOWN,F4-P3-011,REQ-5C-0024,VAL-REQ-5C-0024,splice_bolt:フランジボルト配置変更方法1,READY_REQUIREMENT_SUPPORT,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-009,evidence/images/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0013.png,DOC-RBS-II,UNKNOWN,303,UNKNOWN,F4-P3-014,REQ-5C-0025,VAL-REQ-5C-0025,splice_plate:添接板厚不足時の再計算,READY_REQUIREMENT_SUPPORT,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-010,evidence/images/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0014.png,DOC-RBS-II,UNKNOWN,303,UNKNOWN,F4-P3-016,REQ-5C-0026,VAL-REQ-5C-0026,splice_plate:フランジ材端修正方法(母材-5mm),READY_REQUIREMENT_SUPPORT,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
EVH-011,evidence/images/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0015.png,DOC-RBS-II,UNKNOWN,303,UNKNOWN,F4-P3-017,REQ-5C-0027,VAL-REQ-5C-0027,splice_check:添接計算実行方法,READY_REQUIREMENT_SUPPORT,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,Internal verification; originals not bundled; confirm redistribution rights,SPOTCHECKED_OK,
