blocker_id,source_document,affected_area,current_status,exact_missing_evidence,executable_now,external_dependency,required_tool,required_license,required_input,expected_output,acceptance_criteria,planned_stage,notes
AN-BLK-001,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity version build architecture module hosting and relationship among historical Analyzer SPACER STATICS and repository solver,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed executable or service on authorized machine,Vendor identity facility and SHA-256 tool,Named valid entitlement if product requires it,No model required for product identity and minimal copied model only for module identity,Executable service and module metadata version output and installation manifest,Each product module process and service is uniquely distinguished and every claimed relationship or non-equivalence is supported,STAGE-02,EA-03 provides templates and verify tooling only; EXT-ID-001 through EXT-ID-003
AN-BLK-002,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Invocation and physical files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Exact command service request arguments environment working directory input output master work temporary file set naming overwrite encoding newline decimal and scientific notation,REQUIRES_EXTERNAL_SOFTWARE,Identity fixed by AN-BLK-001,EA-01 harness and checksum tool,Named valid entitlement,Checksum-fixed minimal valid model with provenance,Vendor-supported invocation captured verbatim,Raw stdout stderr exit plus recursive before-after file manifests and all native artifacts,Fresh output is parseable bound to current input and complete under documented success rules,STAGE-02,execution_runbook.md; AN-PRB-001
AN-BLK-003,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Units and textual representation,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Repository input-unit binding and conversion plus native unit declarations encoding locale decimal exponent and internal versus display precision,REQUIRES_EXTERNAL_SOFTWARE,Repository API and IF3 plus identity fixed by AN-BLK-001,EA-01 harness,Named valid entitlement for external runs,Dimensioned minimal fixtures under supported unit and locale settings,Repository API probe and vendor-supported serial invocations under recorded locales,Repository requests raw and IF3 results native inputs outputs reports metadata and raw byte captures,Every input and result quantity has a bound unit conversion rule and locale changes are deterministic or rejected,STAGE-02,AN-PRB-014 locale probe in positive_probe_catalog.csv
AN-BLK-004,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Coordinates DOF I-J and signs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Machine-observed global local support bases DOF order member-end order and force moment reaction signs,REQUIRES_EXTERNAL_SOFTWARE,Identity fixed by AN-BLK-001,EA-01 harness,Named valid entitlement,Positive unit-load and asymmetric member fixtures with hand equilibrium checks,Vendor-supported invocation for each signed component,Native model and result artifacts plus coordinate displays and equilibrium worksheet,All bases orders and signs are uniquely mapped and equilibrium closes within predeclared tolerance,STAGE-02,AN-PRB-016 through AN-PRB-018
AN-BLK-005,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Error exit and license,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Exit status stdout stderr error files and license signals for valid and negative probes,REQUIRES_EXTERNAL_SOFTWARE,Identity fixed by AN-BLK-001,EA-01 harness,Named valid entitlement plus vendor-approved unavailable-license test method,Fixtures AN-PRB-001 through AN-PRB-006 and AN-PRB-011,Fixed vendor-supported invocations,Per-probe process status logs license artifacts and file deltas,Each failure class is distinguishable and cannot yield authoritative success,STAGE-02,negative_probe_catalog.csv traces AN-ERR-001..016
AN-BLK-006,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Staleness overwrite and malformed output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native run identifier provenance overwrite atomicity stale detection and parser failure behavior,REQUIRES_EXTERNAL_SOFTWARE,Identity fixed by AN-BLK-001 plus repository ingestion service,EA-01 harness detect_stale_outputs,Named valid entitlement,Genuine output set seeded stale set and controlled corrupt copies,Supported run then documented ingestion invocation,Before-after manifests temp lock backup files and ingestion diagnostics,Only current checksum-bound complete output is selectable and corrupt output fails closed,STAGE-02,AN-PRB-007 AN-PRB-008 AN-PRB-013
AN-BLK-007,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Timeout cancellation concurrency cleanup and recovery,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Process tree behavior locks temp ownership license seats cleanup and crash recovery,REQUIRES_EXTERNAL_SOFTWARE,Identity fixed by AN-BLK-001,EA-01 harness capture_process_result,Named entitlement with documented concurrency limits,Two distinct valid fixtures and approved long-running or failure fixture,Vendor-supported start cancel and concurrent operations,Per-run process trees file manifests logs locks dumps and post-cleanup state,No mixed output orphan process stale lock or publishable partial result remains,STAGE-02,AN-PRB-009 AN-PRB-010 AN-PRB-012 AN-PRB-022
AN-BLK-008,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Reproducibility,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Deterministic fields allowed metadata variance and repeat-run numeric stability,REQUIRES_EXTERNAL_SOFTWARE,Identity fixed by AN-BLK-001,EA-01 compare_repeated_runs,Named valid entitlement,One checksum-fixed representative valid fixture,Three isolated serial runs with identical recorded settings,Complete outputs logs manifests and normalized comparison record,Three runs satisfy predeclared exact-field and numeric-tolerance policy after only approved metadata normalization,STAGE-02,reproducibility_runbook.md; exactly 3 repeat slots
AN-BLK-009,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,CSV PDF and mock authority,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Authoritative native result lineage plus producer version full component coverage rounding rules and proof that mock or derived exports cannot bypass source freshness,REQUIRES_EXTERNAL_SOFTWARE,Selected external identity plus repository IF3 ingestion and export paths,EA-01 harness and repository export tools,Named valid entitlement,One checksum-fixed valid run with native output IF3 CSV PDF and mock-negative fixture,Vendor-supported run followed by documented repository import and exports,Native outputs IF3 resource derived exports diagnostics and source binding record,IF3 binds the fresh native result while CSV PDF and mock data remain derived non-authoritative and omitted or rounded fields are declared,STAGE-02,Not claimed by EA-03 tooling package
AN-BLK-010,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Load case and combination mapping,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native and repository identifiers case and combination components coefficients ordering result contexts and unsupported behavior,REQUIRES_EXTERNAL_SOFTWARE,Selected external identity plus identified repository import adapter,EA-01 harness,Named valid entitlement,Checksum-fixed one-case fixture and asymmetric two-case one-combination fixture,Vendor-supported runs followed by documented repository import,Native inputs outputs logs IF3 load contexts diagnostics and mapping worksheets,Case mapping is one-to-one and combination is explicitly mapped with coefficients or rejected without flattening,STAGE-02,AN-PRB-019 AN-PRB-020
EXT-ID-001,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,Historical APOLLO Analyzer external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity build architecture and relationship to repository solver and SPACER identities,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed executable or service on authorized machine,Vendor identity facility and SHA-256 tool,Named valid entitlement if required,No model required for identity capture,Executable or service metadata version output architecture publisher and installation manifest,Identity and relationship evidence uniquely distinguish this subsystem from every other candidate,STAGE-02,analyzer_identity_capture.md; AN-ID-004
