candidate_id,domain,field_path,semantic_class,adoption_status,phase3_action,disposition
RP-134,report,report.formula.CH2-FML-002,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-135,report,report.formula.CH2-FML-003,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-137,report,report.formula.CH2-FML-005,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-138,report,report.formula.CH2-FML-006,DERIVED_VALUE,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-139,report,report.formula.CH2-FML-007,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-140,report,report.formula.CH2-FML-008,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-141,report,report.formula.CH2-FML-009,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-142,report,report.formula.CH2-FML-010,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-143,report,report.formula.CH2-FML-011,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-247,report,report.formula.CAL-FML-P00121-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-248,report,report.formula.CAL-FML-P00121-002,DERIVED_VALUE,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-249,report,report.formula.CAL-FML-P00121-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-250,report,report.formula.CAL-FML-P00122-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
