manual_id,filename,document_title,product,module,bridge_type,document_type,stage3_class,priority,phase1_function,reason_for_selection,expected_evidence,related_manual_ids,dependency_type,stage4_extraction_target,revision_status,known_limitations,evidence_page,classification_basis,unknowns
MAN-001,Grider_I_00.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / TOC_MASTER,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,project_management,非合成鈑桁TOC_MASTER。シリーズ目次冊。Stage4の章マップ,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: project_management,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-002,Grider_I_01.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第１章 はじめに,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,project_management|bridge_basic_conditions,非合成鈑桁第１章 はじめに。起動・コントロール・入力方針,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: project_management|bridge_basic_conditions,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-003,Grider_I_02.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第２章 線形計算,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,alignment|cross_section_lines|girder_layout,非合成鈑桁第２章 線形計算。Align連携・線形,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: alignment|cross_section_lines|girder_layout,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-004,Grider_I_03.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第３章 ハンチ計算,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,haunch|rc_slab,非合成鈑桁第３章 ハンチ計算。ハンチ・床版厚関連,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: haunch|rc_slab,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-005,Grider_I_04.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第４章 設計データ入力・変更,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,bridge_basic_conditions|girder_layout|standard_section|dead_load|live_load|arbitrary_load,非合成鈑桁第４章 設計データ入力・変更。基本条件・形状・荷重,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: bridge_basic_conditions|girder_layout|standard_section|dead_load|live_load|arbitrary_load,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-006,Grider_I_05.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第５章 ＲＣ床版,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,rc_slab,非合成鈑桁第５章 ＲＣ床版。RC床版設計,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: rc_slab,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-007,Grider_I_06.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第６章 格子解析,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,analysis_model|analyzer_link|section_force_import|dead_load,非合成鈑桁第６章 格子解析。Analyzer連携・断面力,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: analysis_model|analyzer_link|section_force_import|dead_load,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-008,Grider_I_07.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第７章 断面計算,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,main_girder|girder_section|stress_check,非合成鈑桁第７章 断面計算。主桁断面,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: main_girder|girder_section|stress_check,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-009,Grider_I_08.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第８章 添接計算,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,splice,非合成鈑桁第８章 添接計算。主桁添接,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: splice,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-010,Grider_I_09.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第９章 たわみ剛比,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,main_girder|stress_check,非合成鈑桁第９章 たわみ剛比。たわみ・剛比,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: main_girder|stress_check,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
