verification_id,requirement_id,failure_mode,response_quantity,resistance_quantity,equation_summary,comparison_rule,load_side_factors,resistance_side_factors,adjustment_factors,applicability,excluded_conditions,source_document,source_volume,source_clause,source_table,adoption_status,evidence_location
VER-DS05-001,PR-DS05-001,bending_failure_candidate,design_section_moment_pending_DS06,design_bending_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted; response/resistance quantity tokens non-authoritative; response-to-check conversion owned by DS-06
VER-DS05-002,PR-DS05-002,shear_failure_candidate,design_shear_force_pending_DS06,design_shear_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
VER-DS05-003,PR-DS05-003,axial_failure_candidate,design_axial_force_pending_DS06,design_axial_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
VER-DS05-004,PR-DS05-004,combined_bending_axial_failure_candidate,design_combined_forces_pending_DS06,design_interaction_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
VER-DS05-005,PR-DS05-005,local_buckling_candidate,design_local_stress_resultant_pending_DS06,design_local_buckling_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted; slenderness limit in LV-DS05-005 blocked separately
VER-DS05-006,PR-DS05-006,global_buckling_candidate,design_global_stress_resultant_pending_DS06,design_global_buckling_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
VER-DS05-007,PR-DS05-007,lateral_torsional_buckling_candidate,design_ltb_response_pending_DS06,design_ltb_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
VER-DS05-008,PR-DS05-008,serviceability_excess_candidate,design_displacement_curvature_pending_DS06,serviceability_not_applicable_resistance_side,,,DS04_load_factor_and_combination_chain_blocked,not_applicable_resistance_side,,main_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted; limit in LV-DS05-008
VER-DS05-009,PR-DS05-009,bending_failure_candidate,design_section_moment_pending_DS06,design_bending_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,cross_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
VER-DS05-010,PR-DS05-010,shear_failure_candidate,design_shear_force_pending_DS06,design_shear_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,cross_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
