feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-4-001,cross_girder,横桁設計,NONE,Phase1_required,横桁設計,横桁断面・添接形状・補剛材,NONE,NONE,NONE,必須,NONE,プログラム実行,NONE,NONE,NONE,設計計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,3,NONE,2.横桁設計,NONE,NONE,NONE,Evidence,横桁設計プログラムを起動して、断面力計算・断面計算/添接計算・補剛材計算の3つを実行,NONE,NONE,NONE,NONE,extracted
F4-4-002,cross_girder,横桁断面力計算,NONE,Phase1_required,横桁断面力計算,グループ部材番号,NONE,NONE,NONE,必須（任意グルーピング可）,NONE,自動設定,NONE,NONE,NONE,計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,4,NONE,2.1断面力計算,NONE,NONE,NONE,Evidence,横桁断面力プログラムを起動、グループ部材に正負数字でグルーピング指定,NONE,NONE,NONE,NONE,extracted
F4-4-003,cross_girder,横桁断面計算,NONE,Phase1_required,横桁断面計算,断面形状・上フランジ・腹板,NONE,NONE,NONE,必須,NONE,手動指定,NONE,NONE,NONE,断面計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,5,NONE,2.2断面計算/添接計算,NONE,NONE,NONE,Evidence,Ｉ断面計算プログラムを起動、断面形状指定を指定として上フランジ～腹板項目に断面形状指定,NONE,NONE,NONE,NONE,extracted
F4-4-004,cross_girder,横桁添接計算,NONE,Phase1_required,横桁添接計算,添接条件,NONE,NONE,NONE,必須,NONE,手動指定,NONE,NONE,NONE,添接計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,6,NONE,2.2(2)添接計算,NONE,NONE,NONE,Evidence,添接プログラムを起動、添接設計の詳細は別マニュアル参照,NONE,添接計算の詳細は別マニュアル,NONE,NONE,extracted
F4-4-005,cross_girder,横桁補剛材計算,NONE,Phase1_required,横桁補剛材計算,補剛材,NONE,NONE,NONE,必須,NONE,プログラム実行,NONE,NONE,NONE,補剛材計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,6,NONE,2.3補剛材計算,NONE,NONE,NONE,Evidence,補剛材計算プログラムを起動、詳細は主桁中間補剛材マニュアル参照,NONE,詳細は別マニュアル参照,NONE,NONE,extracted
F4-4-006,sway_bracing,対傾構設計,NONE,Phase1_required,対傾構設計,対傾構断面・連結形状,NONE,NONE,NONE,必須,NONE,プログラム実行,NONE,NONE,NONE,設計計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,7,NONE,3.対傾構・横構,NONE,NONE,NONE,Evidence,対傾構・横構プログラムを起動、メイン画面が表示,NONE,NONE,NONE,NONE,extracted
F4-4-007,sway_bracing,対傾構骨組み寸法,NONE,Phase1_required,対傾構骨組み寸法,H1～H3（骨組み寸法）,NONE,NONE,NONE,必須,NONE,手動指定,NONE,NONE,NONE,計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,7,NONE,3.1対傾構骨組み寸法を指定する方法,NONE,NONE,NONE,Evidence,設計条件-計算条件でH1～H3を指定、端対傾構は斜材軸押え位置も確認,NONE,NONE,NONE,NONE,extracted
F4-4-008,sway_bracing,対傾構水平荷重載荷方法,NONE,Phase1_required,対傾構水平荷重載荷方法,水平荷重Pの載荷方法,NONE,NONE,NONE,必須,NONE,手動指定,NONE,NONE,NONE,計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,8,NONE,3.2対傾構水平荷重の載荷軸力分担を指定する方法,NONE,NONE,NONE,Evidence,設計条件-計算条件で水平荷重Pの載荷方法を指定,NONE,NONE,NONE,NONE,extracted
F4-4-009,sway_bracing,対傾構断面指定,NONE,Phase1_required,対傾構断面指定,断面形状・形鋼番号,NONE,NONE,NONE,必須（◎指定）,NONE,手動指定,NONE,NONE,NONE,計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,8,NONE,3.3(1)各対傾構の断面を指定する方法,NONE,NONE,NONE,Evidence,各項目タグ右上の◎指定を選択、断面形状および形鋼番号を指定,NONE,NONE,NONE,NONE,extracted
F4-4-010,lateral_bracing,横構断面指定,NONE,Phase1_required,横構断面指定,弦材断面・形鋼番号・ボルト本数,NONE,NONE,NONE,必須（◎指定）,NONE,手動指定,NONE,NONE,NONE,計算書,NONE,NONE,NONE,NONE,NONE,MAN-011,9,NONE,3.3(2)横構断面を指定する方法,NONE,NONE,NONE,Evidence,弦材の断面◎指定を選択、断面形状および形鋼番号を指定、ボルト本数も指定可,NONE,NONE,NONE,NONE,extracted
