asset_id,file_name,relative_source_path,page_count,text_layer_status,toc_status,ocr_required,priority,notes
DOC-X0-0032,001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,liner-future-research/sources/design_examples/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,84,YES,UNKNOWN,NO,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。
DOC-X0-0033,鋼鈑桁橋_図面例.pdf,liner-future-research/sources/design_examples/鋼鈑桁橋_図面例.pdf,143,YES,UNKNOWN,NO,P1,鋼鈑桁橋の図面例（143頁）。
DOC-X0-0034,鋼鈑桁橋_設計計算例.pdf,liner-future-research/sources/design_examples/鋼鈑桁橋_設計計算例.pdf,2226,YES,UNKNOWN,NO,P1,鋼鈑桁橋の設計計算例（2226頁）。上部工計算の参照。
DOC-X0-0035,JIP-LINER_マニュアル.pdf,liner-future-research/sources/manuals/JIP-LINER_マニュアル.pdf,183,YES,UNKNOWN,NO,P0,JIP-LINER本体の操作マニュアル。LINER機能の正本。
DOC-X0-0036,001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,liner-future-research/sources/repository/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,84,YES,UNKNOWN,NO,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。
DOC-X0-0039,JIP-LINER_マニュアル.pdf,liner-future-research/sources/repository/マニュアル/JIP-LINER_マニュアル.pdf,183,YES,UNKNOWN,NO,P0,JIP-LINER本体の操作マニュアル。LINER機能の正本。
DOC-X0-0040,SPACER操作マニュアル.pdf,liner-future-research/sources/repository/マニュアル/SPACER操作マニュアル.pdf,199,YES,UNKNOWN,NO,P1,SPACER操作マニュアル。
DOC-X0-0041,001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,spacer-clone-liner-r1-planning/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,84,YES,UNKNOWN,NO,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。
DOC-X0-0056,JIP-LINER_マニュアル.pdf,spacer-clone-liner-r1-planning/マニュアル/JIP-LINER_マニュアル.pdf,183,YES,UNKNOWN,NO,P0,JIP-LINER本体の操作マニュアル。LINER機能の正本。
DOC-X0-0057,SPACER操作マニュアル.pdf,spacer-clone-liner-r1-planning/マニュアル/SPACER操作マニュアル.pdf,199,YES,UNKNOWN,NO,P1,SPACER操作マニュアル。
DOC-X0-0058,001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,spacer-clone/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,84,YES,UNKNOWN,NO,P0,LINERの計算書サンプル（高架橋）。入力→出力の流れの参照。
DOC-X0-0060,2021_デザインデータブック.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/2021_デザインデータブック.pdf,306,NO,UNKNOWN,YES,P2,設計データブック。テキスト層なし(OCR必須)。
DOC-X0-0061,20220101_合成桁の設計例と解説令和4年1月_日本橋梁建設協会.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/20220101_合成桁の設計例と解説令和4年1月_日本橋梁建設協会.pdf,233,NO,UNKNOWN,YES,P1,合成桁の設計例。テキスト層なし(OCR必須)。
DOC-X0-0062,20220102_令和4年1月 鋼橋構造詳細の手引き(改訂3版).pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/20220102_令和4年1月 鋼橋構造詳細の手引き(改訂3版).pdf,127,NO,UNKNOWN,YES,P1,鋼橋構造詳細。テキスト層なし(OCR必須)。
DOC-X0-0063,H31道路橋支承便覧.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/H31道路橋支承便覧.pdf,616,NO,UNKNOWN,YES,P1,支承便覧。テキスト層なし(OCR必須)。
DOC-X0-0064,R2鋼道路橋設計便覧.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/R2鋼道路橋設計便覧.pdf,325,NO,UNKNOWN,YES,P1,鋼道路橋設計便覧。テキスト層なし(OCR必須)。
DOC-X0-0065,令和3年6月_細幅箱桁橋の設計例と解説～道示　平成29年11月版対応.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/令和3年6月_細幅箱桁橋の設計例と解説～道示　平成29年11月版対応.pdf,129,NO,UNKNOWN,YES,P1,細幅箱桁橋の設計例。テキスト層なし(OCR必須)。
DOC-X0-0066,道路橋示方書・同解説　Ⅰ　共通編.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅰ　共通編.pdf,388,NO,UNKNOWN,YES,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。
DOC-X0-0067,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,821,NO,UNKNOWN,YES,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。
DOC-X0-0068,道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.pdf,519,NO,UNKNOWN,YES,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。
DOC-X0-0069,道路橋示方書・同解説　Ⅳ　下部構造編.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅳ　下部構造編.pdf,740,NO,UNKNOWN,YES,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。
DOC-X0-0070,道路橋示方書・同解説　Ⅴ　上下部接続部編.pdf,spacer-clone/local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅴ　上下部接続部編.pdf,210,NO,UNKNOWN,YES,P0,道示本体。テキスト層なし(OCR必須)。APOLLO/上部工の基準の正本。
DOC-X0-0071,Grider_I_00.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_00.pdf,2,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0072,Grider_I_01.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_01.pdf,14,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0073,Grider_I_02.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_02.pdf,19,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0074,Grider_I_03.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_03.pdf,7,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0075,Grider_I_04.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_04.pdf,34,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0076,Grider_I_05.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_05.pdf,11,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0077,Grider_I_06.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_06.pdf,12,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0078,Grider_I_07.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_07.pdf,29,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0079,Grider_I_08.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_08.pdf,23,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0080,Grider_I_09.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_09.pdf,6,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0081,Grider_I_10.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_10.pdf,17,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0082,Grider_I_11.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_11.pdf,15,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0083,Grider_I_12.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_12.pdf,6,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0084,Grider_I_13.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_13.pdf,14,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0085,CompGrd_I_00.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_00.pdf,2,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
DOC-X0-0086,CompGrd_I_01.pdf,spacer-clone/local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_01.pdf,13,YES,UNKNOWN,NO,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。
