orphan_id,candidate_id_or_source_id,entity_id,description,reason,notes
ORPH-C-001,GEO-005,ENT-LINE-ACL,alignment.station candidate has empty source_record_ids (station not extracted in Phase 2-I).,Candidate with no linkable source record (per source_to_candidate_contract section 4).,adoption_status=HUMAN_CONFIRMATION_REQUIRED; phase3_action=HUMAN_VALIDATION.
ORPH-S-0001,CAL-VAL-P00117-001,,value calc_pdf_p117 section=CAL-SEC-3.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0002,CAL-VAL-P00117-002,,value calc_pdf_p117 section=CAL-SEC-3.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0003,CAL-VAL-P00119-002,,value calc_pdf_p119 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0004,CAL-VAL-P00119-005,,value calc_pdf_p119 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0005,CAL-VAL-P00121-001,,value calc_pdf_p121 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0006,CAL-VAL-P00121-002,,value calc_pdf_p121 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0007,CAL-VAL-P00121-003,,value calc_pdf_p121 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0008,CAL-VAL-P00135-003,,value calc_pdf_p135 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0009,CAL-VAL-P00135-005,,value calc_pdf_p135 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0010,CAL-VAL-P00135-007,,value calc_pdf_p135 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0011,CAL-VAL-P00135-008,,value calc_pdf_p135 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0012,CAL-VAL-P00135-009,,value calc_pdf_p135 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0013,CAL-VAL-P00135-010,,value calc_pdf_p135 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0014,CAL-VAL-P00135-011,,value calc_pdf_p135 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0015,CAL-VAL-P00140-003,,value calc_pdf_p140 section=CAL-SEC-3.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0016,CAL-VAL-P00149-003,,value calc_pdf_p149 section=CAL-SEC-3.1.6,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0017,CAL-VAL-P00685-001,,value calc_pdf_p685 section=CAL-SEC-3.3.3,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0018,CAL-VAL-P00685-002,,value calc_pdf_p685 section=CAL-SEC-3.3.3,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0019,CAL-VAL-P00685-003,,value calc_pdf_p685 section=CAL-SEC-3.3.3,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0020,CAL-VAL-P00685-004,,value calc_pdf_p685 section=CAL-SEC-3.3.3,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0021,CAL-VAL-P00685-006,,value calc_pdf_p685 section=CAL-SEC-3.3.3,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0022,CAL-VAL-P00686-003,,value calc_pdf_p686 section=CAL-SEC-3.3.3,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0023,CAL-VAL-P00686-004,,value calc_pdf_p686 section=CAL-SEC-3.3.3,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0024,CAL-VAL-P00766-001,,value calc_pdf_p766 section=CAL-SEC-3.4.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0025,CAL-VAL-P00767-001,,value calc_pdf_p767 section=CAL-SEC-3.4.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0026,CAL-VAL-P00767-002,,value calc_pdf_p767 section=CAL-SEC-3.4.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
