feature_category,manual_id,stage3_class,priority,classification,notes
alignment,MAN-003,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
alignment,MAN-021,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
analysis_model,MAN-007,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
analyzer_link,MAN-007,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
analyzer_link,MAN-021,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
analyzer_link,MAN-062,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
arbitrary_load,MAN-005,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
bearing,NONE,UNDECIDED,P3,Unknown,専用分冊未確認。設計データ章(MAN-005)内の可能性→Stage4確認
bridge_basic_conditions,MAN-002,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
bridge_basic_conditions,MAN-005,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
calculation_report,MAN-021,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
calculation_report,MAN-061,PHASE1_SUPPORT,P1,Evidence,from chapter/role mapping Stage3
calculation_report,MAN-062,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
calculation_report,MAN-063,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
cross_girder,MAN-011,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
cross_section_lines,MAN-003,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
dead_load,MAN-005,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
dead_load,MAN-007,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
diaphragm,NONE,FUTURE,P3,Unknown,鈑桁Phase1では支点ダイヤ必須か未確認。Sdiaは単体一覧に存在(MAN-021)
drawing,MAN-021,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
floor_system,MAN-011,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
girder_layout,MAN-003,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
girder_layout,MAN-005,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
girder_section,MAN-008,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
girder_section,MAN-061,PHASE1_SUPPORT,P1,Evidence,from chapter/role mapping Stage3
girder_section,MAN-062,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
haunch,MAN-004,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
lateral_bracing,MAN-011,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
live_load,MAN-005,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
main_girder,MAN-008,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
main_girder,MAN-010,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
main_girder,MAN-062,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
material_output,MAN-021,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
project_management,MAN-001,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
project_management,MAN-002,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
project_management,MAN-021,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
quantity,MAN-013,PHASE1_CORE,P1,Evidence,from chapter/role mapping Stage3
rc_slab,MAN-004,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
rc_slab,MAN-006,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
section_force_import,MAN-007,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
splice,MAN-009,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
splice,MAN-063,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
standard_section,MAN-005,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
stiffener,MAN-012,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
stress_check,MAN-008,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
stress_check,MAN-010,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
stress_check,MAN-014,PHASE1_CORE,P1,Evidence,from chapter/role mapping Stage3
stress_check,MAN-061,PHASE1_SUPPORT,P1,Evidence,from chapter/role mapping Stage3
stress_check,MAN-062,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
sway_bracing,MAN-011,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
unit_system,MAN-021,PHASE1_CORE,P0,Evidence,from chapter/role mapping Stage3
