blocker_id,source_document,affected_area,current_status,exact_missing_evidence,executable_now,external_dependency,required_tool,required_license,required_input,expected_output,acceptance_criteria,planned_stage,notes
BLK-S1-001,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 Target-standard metadata facets,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Official titles colophons publication metadata versions publisher and volume identity,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed R7 volumes and publisher metadata,PDF viewer evidence register and SHA-256 tool,Authorized R7 access,Per-volume title and colophon manifest inputs,Licensed per-volume title and colophon manifest with checksums and DS-01 evidence locators,Every current facet has an exact identity edition locator checksum and recorded decision,STAGE-01,Predecessor for DS-02 through DS-05 locator chain; SG-001
BLK-S1-002,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-02 JIS identities and editions,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,All 34 historical gap identities editions citation relations and equivalence decisions,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed JIS primary sources,JIS source access PDF viewer and SHA-256 tool,Authorized JIS access,Per-row primary JIS packages JIS-001 through JIS-034,Per-row primary JIS packages and supervisor decisions linked to JIS-001 through JIS-034,Every applicable row has exact standard edition locator relation and decision,STAGE-01,34 blocked rows in jis_source_register.csv; SG-002
BLK-S1-003,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 Supporting-manual edition map,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,R7 relationship of R2 steel and H31 bearing manuals and permitted topic scope,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed supporting-manual prefaces,PDF viewer evidence register and SHA-256 tool,Authorized supporting-manual access,Publisher preface evidence for each manual,Publisher preface evidence and explicit Phase 1 citation-scope decision for each manual,Every supporting manual has an edition relationship and approved limited role,STAGE-01,SG-001 linked
BLK-S1-004,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-04/DS-05 Numeric adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-quantity source locators for loads factors equations and limits,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed R7 clauses and tables,Authorized standards source evidence register and checksum tools,Authorized R7 access,Verified R7 clause/table package for each engineering quantity,Verified R7 clause/table package and adoption decision for every engineering quantity,Every adopted engineering numeric has exact source locator unit applicability and decision,STAGE-01,Blocks DS-04 and DS-05; SG-004 SG-005 SG-006 SG-007 SG-008
BLK-S1-005,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-03 Material property adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Resolved JIS product grade plus R7 reference chain for material values,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed JIS and R7 material references,Authorized JIS/R7 source evidence register and checksum tools,Authorized R7 and JIS access,MAT-DS03 blocked property row inventory from material_properties_register.csv,Per-property primary-source manifest for MAT-DS03 rows with edition locators units and SHA-256,Each in-scope property has source locator edition unit applicability and decision,STAGE-01,39 blocked property rows; SG-003
BLK-S1-006,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 through DS-05 Traceability locators,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Verified page table and clause locators for every adopted record,REQUIRES_PRIMARY_STANDARD_SOURCE,Human-verified source pages,PDF viewer evidence register and checksum tools,Authorized source access,Adopted register row inventory from DS-02 through DS-05,Human-verified locator manifest linked to each adopted register row with page table clause locators and SHA-256,Every adopted record resolves to exact edition page table or clause evidence,STAGE-01,Cross-stage locator gate for DS-02 through DS-05
BLK-S1-007,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 Historical Apollo baseline,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Decision on historical Apollo edition versus current target and traceability-label impact,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Supervisor workshop and lawful manual review,Document review facility and checksum tool,Authorized Apollo manual access if required,Historical Apollo edition labels and current target edition inventory,Signed historical-baseline decision with supporting Apollo manual edition evidence,All historical labels have a documented non-normative relationship to the current target,STAGE-01,SG-013; BLOCKS_NUMERIC_RELEASE
BLK-S1-008,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 through DS-05 Image-export source quality,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Human-verified locators for cited image-export pages,REQUIRES_PRIMARY_STANDARD_SOURCE,Visual review of cited image pages,PDF viewer evidence register and checksum tools,Authorized source access,Cited image-export page inventory from DS registers,Per-citation visual review log or approved searchable replacement manifest with checksums,Every cited image page is visually verified and checksum-bound,STAGE-01,SG-001 linked
BLK-S1-009,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-00/DS-01 Evidence rights,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Internal-use and redistribution rights for evidence extracts,NOT_APPLICABLE,Legal and organizational compliance review,Compliance record facility,Organizational authority,Retained evidence extract inventory and publisher package license terms,Written receiving-organization compliance decision linked to package license terms,Permitted storage access and redistribution scope is explicit for every retained extract,STAGE-01,SG-013; BLOCKS_EVIDENCE_DISTRIBUTION not numeric release alone
DTR-06,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 R7 errata,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-volume publisher or MLIT errata status and dated sheets,REQUIRES_PRIMARY_STANDARD_SOURCE,Official publisher or MLIT errata bulletins,Browser PDF viewer evidence register and checksum tools,Authorized R7 access,R7 edition row inventory awaiting errata verification,Official per-volume errata manifest linked to edition rows with dated bulletin checksums,Every volume has current dated errata state checksum and application decision,STAGE-01,SG-001 linked
