connector_id,from_system,to_system,current_file,input_type,output_type,coordinate_transform,ownership,duplication,status,proposed_future_role
CONN-001,LINER,Apollo bridgeStructure,frontend/src/liner/core/coordinate3d.ts:411 pointAtStationOffset,alignment+station+offset,XYZ point + azimuth,station/offset->XYZ (authoritative LINER),LINER,none,EXISTS,Alignment Connector core
CONN-002,LINER,BridgeDefinition,frontend/src/bridgeDefinition/adapters/fromLinerBridge.ts:87,domain draft,LinerBridge,stations/offsets/lengths passthrough (length=end-start),BridgeDefinition adapter,none,EXISTS,Geometry Input Adapter input
CONN-003,BridgeDefinition,ProjectModel(frontend),frontend/src/bridgeDefinition/generator/structuralModelGenerator.ts:238,BridgeDefinition,ProjectModel nodes,station->X offset->Y Z=0(+sign),Apollo frontend,DUP-008/009,EXISTS,Geometry Snapshot consumer (structural)
CONN-004,BridgeProject(backend),ProjectModel(backend),backend/engine/bridge_fem_generator.py:136,BridgeProject,ProjectModel nodes,station->X offset->Y Z=0,Apollo backend,DUP-008/009,EXISTS,Geometry Snapshot consumer (structural)
CONN-005,Apollo bridgeStructure,BSDD,frontend/src/apollo/bridgeStructure/generateBsdd.ts,BridgeStructureInputDraft,BSDD document,station/offset passthrough + girder offset formula,Apollo,DUP-002,EXISTS,Geometry Input Adapter output
CONN-006,BSDD,3D solids,frontend/src/apollo/visualization/bridgeStructureSolids.ts:580,BSDD+layout,Solid geometry params,station/offset->solid XYZ (verbatim z-up),Apollo solids,none,EXISTS,3D Connector input
CONN-007,BSDD,STL,frontend/src/apollo/export/apolloStlExport.ts:95,BSDD solids,STL(mm),m->mm round + origin shift,Apollo export,DUP-016/025,EXISTS,Export Connector
CONN-008,BridgeStructureInputDraft,Drawing,frontend/src/apollo/drawing/drawingSetModel.ts:672,raw draft,DrawingModel,re-derives stations/offsets,Apollo drawing,DUP-004/018,EXISTS,Geometry Snapshot consumer (drawing)
CONN-009,BridgeStructureInputDraft,Report,frontend/src/apollo/report/reportModelContinuous.ts:239,raw draft,ReportModel,re-derives girder offsets (non-centered),Apollo report,DUP-007,EXISTS,Geometry Snapshot consumer (report)
CONN-010,LINER,Substructure,frontend/src/substructure/SupportPlacementEngine.ts:87,LINER coordinate input,SupportPlacementSnapshot,LINER XYZ + skew transverse,LINER+substructure,canonical,EXISTS,Geometry Snapshot support entity consumer
CONN-011,LINER,Substructure(realtime),frontend/src/substructure/planning/useSubstructureRealtimeUpdate.ts:48,station/offset,SupportPlacementSnapshot,naive axis-aligned,Substructure UI,DUP-011,EXISTS(bug),remove; use CONN-010
CONN-012,Substructure,3D,frontend/src/substructure/geometryBase.ts:68 localToWorld,snapshot,SolidTransform,local->world via basis,Substructure,none,EXISTS,Substructure Connector
CONN-013,ProjectModel,Viewer,frontend/src/viewer/threeUtils.ts:65 createNodeMap,project nodes,viewer vectors,y-up swap + z=-y,LINER/viewer policy,DUP-013,EXISTS,3D Connector (frame path)
CONN-014,BSDD solids,Viewer,frontend/src/viewer/renderers/ApolloVisualizationRenderer.ts,apollo solid params,renderer,verbatim z-up,Apollo solids,EXISTS,3D Connector (apollo path)
CONN-015,ProjectModel,Substructure,frontend/src/substructure/model.ts SupportPlacement(liner/direct_xyz),project substructure,SupportPlacementSnapshot,direct_xyz passthrough / liner via LINER,Substructure,EXISTS,Geometry Snapshot support entity
CONN-016,ProjectModel,Save/Load,frontend/src/contracts/persistence/saveDocument.ts:27,project JSON,atomic store,verbatim passthrough,Persistence,none,EXISTS,Common Bridge Data Model save/load boundary
CONN-017,ProjectModel,Frame analysis document,frontend/src/contracts/legacy/frame/adapter.ts:216,project-model,frame document,verbatim + synthetic coordinateContext(unknown),Persistence,DUP-030,EXISTS,Geometry Snapshot -> Structural connector
